Date : 6/19/2020	Time : 00:31:07	
C:\UVWINLAB\AT_NMR_bfr_pH_14.8_3-16-2020_r11U1.SP	
20.00	-0.0006
20.50	-0.0004
21.00	-0.0003
21.50	-0.0001
22.00	0.0001
22.50	0.0004
23.00	0.0004
23.50	0.0008
24.00	0.0010
24.50	0.0011
25.00	0.0015
25.50	0.0016
26.00	0.0021
26.50	0.0023
27.00	0.0026
27.50	0.0028
28.00	0.0034
28.50	0.0034
29.00	0.0039
29.50	0.0041
30.00	0.0046
30.50	0.0049
31.00	0.0051
31.50	0.0058
32.00	0.0060
32.50	0.0065
33.00	0.0069
33.50	0.0075
34.00	0.0080
34.50	0.0084
35.00	0.0089
35.50	0.0095
36.00	0.0103
36.50	0.0111
37.00	0.0116
37.50	0.0125
38.00	0.0135
38.50	0.0146
39.00	0.0151
39.50	0.0163
40.00	0.0173
40.50	0.0188
41.00	0.0207
41.50	0.0226
42.00	0.0245
42.50	0.0268
43.00	0.0291
43.50	0.0314
44.00	0.0343
44.50	0.0369
45.00	0.0399
45.50	0.0435
46.00	0.0469
46.50	0.0505
47.00	0.0543
47.50	0.0580
48.00	0.0620
48.50	0.0657
49.00	0.0693
49.50	0.0733
50.00	0.0767
50.50	0.0802
51.00	0.0837
51.50	0.0867
52.00	0.0893
52.50	0.0912
53.00	0.0933
53.50	0.0951
54.00	0.0967
54.50	0.0980
55.00	0.0992
55.50	0.1005
56.00	0.1013
56.50	0.1019
57.00	0.1026
57.50	0.1033
58.00	0.1039
58.50	0.1045
59.00	0.1050
59.50	0.1053
60.00	0.1057
60.50	0.1061
61.00	0.1066
61.50	0.1069
62.00	0.1072
62.50	0.1076
63.00	0.1080
