Date : 9/8/2018	Time : 21:33:13	
C:\UVWINLAB\DNA41U1.SP	
15.00	0.5869
15.50	0.5874
16.00	0.5880
16.50	0.5886
17.00	0.5891
17.50	0.5895
18.00	0.5903
18.50	0.5913
19.00	0.5915
19.50	0.5923
20.00	0.5929
20.50	0.5937
21.00	0.5945
21.50	0.5951
22.00	0.5962
22.50	0.5977
23.00	0.5986
23.50	0.5999
24.00	0.6005
24.50	0.6016
25.00	0.6030
25.50	0.6045
26.00	0.6056
26.50	0.6066
27.00	0.6082
27.50	0.6098
28.00	0.6112
28.50	0.6133
29.00	0.6153
29.50	0.6168
30.00	0.6191
30.50	0.6212
31.00	0.6234
31.50	0.6255
32.00	0.6288
32.50	0.6313
33.00	0.6339
33.50	0.6361
34.00	0.6388
34.50	0.6423
35.00	0.6457
35.50	0.6482
36.00	0.6515
36.50	0.6556
37.00	0.6586
37.50	0.6625
38.00	0.6672
38.50	0.6721
39.00	0.6760
39.50	0.6798
40.00	0.6840
40.50	0.6895
41.00	0.6931
41.50	0.6975
42.00	0.7004
42.50	0.7046
43.00	0.7082
43.50	0.7116
44.00	0.7143
44.50	0.7155
45.00	0.7192
45.50	0.7217
46.00	0.7243
46.50	0.7265
47.00	0.7276
47.50	0.7305
48.00	0.7306
48.50	0.7327
49.00	0.7332
49.50	0.7343
50.00	0.7358
50.50	0.7357
51.00	0.7361
51.50	0.7377
52.00	0.7386
52.50	0.7386
53.00	0.7389
53.50	0.7404
54.00	0.7406
54.50	0.7411
55.00	0.7418
55.50	0.7419
56.00	0.7417
56.50	0.7429
57.00	0.7429
57.50	0.7441
58.00	0.7443
58.50	0.7442
59.00	0.7444
59.50	0.7462
60.00	0.7475
60.50	0.7468
61.00	0.7480
61.50	0.7486
62.00	0.7487
62.50	0.7484
63.00	0.7491
63.50	0.7505
64.00	0.7504
64.50	0.7516
65.00	0.7521
Date : 9/8/2018	Time : 22:40:47	


Date : 9/8/2018	Time : 22:40:47	
C:\UVWINLAB\DNA41D1.SP	
