Date : 6/5/2019	Time : 23:48:40	
C:\UVWINLAB\DNA1081U1.SP	
15.00	0.5586
15.50	0.5592
16.00	0.5600
16.50	0.5611
17.00	0.5622
17.50	0.5634
18.00	0.5641
18.50	0.5651
19.00	0.5666
19.50	0.5680
20.00	0.5691
20.50	0.5706
21.00	0.5721
21.50	0.5735
22.00	0.5751
22.50	0.5769
23.00	0.5787
23.50	0.5805
24.00	0.5826
24.50	0.5846
25.00	0.5864
25.50	0.5885
26.00	0.5907
26.50	0.5929
27.00	0.5956
27.50	0.5978
28.00	0.6002
28.50	0.6032
29.00	0.6063
29.50	0.6096
30.00	0.6122
30.50	0.6161
31.00	0.6194
31.50	0.6233
32.00	0.6265
32.50	0.6308
33.00	0.6345
33.50	0.6385
34.00	0.6423
34.50	0.6457
35.00	0.6495
35.50	0.6521
36.00	0.6554
36.50	0.6582
37.00	0.6613
37.50	0.6634
38.00	0.6660
38.50	0.6679
39.00	0.6695
39.50	0.6713
40.00	0.6723
40.50	0.6738
41.00	0.6753
41.50	0.6763
42.00	0.6773
42.50	0.6784
43.00	0.6791
43.50	0.6800
44.00	0.6804
44.50	0.6809
45.00	0.6814
45.50	0.6820
46.00	0.6826
46.50	0.6830
47.00	0.6834
47.50	0.6838
48.00	0.6841
48.50	0.6846
49.00	0.6850
49.50	0.6853
50.00	0.6856
50.50	0.6860
51.00	0.6863
51.50	0.6866
52.00	0.6869
52.50	0.6873
53.00	0.6877
53.50	0.6879
54.00	0.6883
54.50	0.6886
55.00	0.6889
55.50	0.6892
56.00	0.6895
56.50	0.6899
57.00	0.6903
57.50	0.6905
58.00	0.6909
58.50	0.6912
59.00	0.6918
59.50	0.6920
60.00	0.6923
