Date : 5/24/2019	Time : 02:48:04	
C:\UVWINLAB\DNA1001U1.SP	
15.00	0.5846
15.50	0.5848
16.00	0.5852
16.50	0.5854
17.00	0.5860
17.50	0.5864
18.00	0.5870
18.50	0.5875
19.00	0.5881
19.50	0.5887
20.00	0.5892
20.50	0.5895
21.00	0.5902
21.50	0.5902
22.00	0.5906
22.50	0.5909
23.00	0.5914
23.50	0.5919
24.00	0.5928
24.50	0.5937
25.00	0.5942
25.50	0.5947
26.00	0.5952
26.50	0.5958
27.00	0.5964
27.50	0.5971
28.00	0.5979
28.50	0.5988
29.00	0.5998
29.50	0.6010
30.00	0.6021
30.50	0.6036
31.00	0.6051
31.50	0.6067
32.00	0.6085
32.50	0.6102
33.00	0.6122
33.50	0.6145
34.00	0.6167
34.50	0.6191
35.00	0.6215
35.50	0.6240
36.00	0.6270
36.50	0.6300
37.00	0.6340
37.50	0.6376
38.00	0.6413
38.50	0.6457
39.00	0.6496
39.50	0.6538
40.00	0.6587
40.50	0.6634
41.00	0.6676
41.50	0.6723
42.00	0.6763
42.50	0.6796
43.00	0.6850
43.50	0.6890
44.00	0.6921
44.50	0.6963
45.00	0.7002
45.50	0.7040
46.00	0.7069
46.50	0.7096
47.00	0.7118
47.50	0.7140
48.00	0.7158
48.50	0.7174
49.00	0.7187
49.50	0.7199
50.00	0.7209
50.50	0.7219
51.00	0.7227
51.50	0.7236
52.00	0.7242
52.50	0.7249
53.00	0.7256
53.50	0.7262
54.00	0.7267
54.50	0.7272
55.00	0.7276
55.50	0.7282
56.00	0.7287
56.50	0.7292
57.00	0.7297
57.50	0.7300
58.00	0.7304
58.50	0.7309
59.00	0.7314
59.50	0.7319
60.00	0.7321
60.50	0.7327
61.00	0.7332
61.50	0.7338
62.00	0.7340
62.50	0.7345
63.00	0.7351
63.50	0.7356
64.00	0.7360
64.50	0.7365
65.00	0.7370
65.50	0.7373
66.00	0.7380
66.50	0.7383
67.00	0.7386
67.50	0.7391
68.00	0.7396
68.50	0.7401
69.00	0.7406
69.50	0.7410
70.00	0.7416
70.50	0.7420
71.00	0.7426
71.50	0.7431
72.00	0.7438
72.50	0.7443
73.00	0.7448
73.50	0.7454
74.00	0.7459
74.50	0.7464
75.00	0.7466
Date : 5/24/2019	Time : 04:04:44	


Date : 5/24/2019	Time : 04:04:44	
C:\UVWINLAB\DNA1001D1.SP	
