Date : 5/30/2019	Time : 11:33:48	
C:\UVWINLAB\DNA931U1.SP	
18.00	0.6343
18.50	0.6348
19.00	0.6353
19.50	0.6357
20.00	0.6359
20.50	0.6361
21.00	0.6366
21.50	0.6367
22.00	0.6369
22.50	0.6371
23.00	0.6376
23.50	0.6378
24.00	0.6381
24.50	0.6385
25.00	0.6387
25.50	0.6389
26.00	0.6393
26.50	0.6396
27.00	0.6400
27.50	0.6404
28.00	0.6409
28.50	0.6414
29.00	0.6420
29.50	0.6427
30.00	0.6433
30.50	0.6439
31.00	0.6448
31.50	0.6455
32.00	0.6464
32.50	0.6472
33.00	0.6482
33.50	0.6491
34.00	0.6501
34.50	0.6511
35.00	0.6523
35.50	0.6532
36.00	0.6546
36.50	0.6559
37.00	0.6574
37.50	0.6590
38.00	0.6609
38.50	0.6629
39.00	0.6647
39.50	0.6668
40.00	0.6689
40.50	0.6704
41.00	0.6730
41.50	0.6755
42.00	0.6788
42.50	0.6816
43.00	0.6846
43.50	0.6862
44.00	0.6898
44.50	0.6937
45.00	0.6967
45.50	0.6987
46.00	0.7029
46.50	0.7073
47.00	0.7103
47.50	0.7139
48.00	0.7168
48.50	0.7202
49.00	0.7231
49.50	0.7258
50.00	0.7285
50.50	0.7307
51.00	0.7329
51.50	0.7352
52.00	0.7368
52.50	0.7386
53.00	0.7399
53.50	0.7413
54.00	0.7425
54.50	0.7435
55.00	0.7446
55.50	0.7454
56.00	0.7463
56.50	0.7472
57.00	0.7479
57.50	0.7485
58.00	0.7491
58.50	0.7497
59.00	0.7501
59.50	0.7509
60.00	0.7514
60.50	0.7519
61.00	0.7523
61.50	0.7528
62.00	0.7531
62.50	0.7536
63.00	0.7543
63.50	0.7547
64.00	0.7551
64.50	0.7555
65.00	0.7560
65.50	0.7562
66.00	0.7567
66.50	0.7571
67.00	0.7574
67.50	0.7578
68.00	0.7584
68.50	0.7588
69.00	0.7592
69.50	0.7594
70.00	0.7599
70.50	0.7603
71.00	0.7606
71.50	0.7610
72.00	0.7616
72.50	0.7617
73.00	0.7622
73.50	0.7624
74.00	0.7628
74.50	0.7631
75.00	0.7636
Date : 5/30/2019	Time : 12:54:39	


Date : 5/30/2019	Time : 12:54:39	
C:\UVWINLAB\DNA931D1.SP	
