Date : 12/6/2018	Time : 22:59:54	
C:\UVWINLAB\DNA121U1.SP	
15.00	0.5848
15.50	0.5850
16.00	0.5853
16.50	0.5857
17.00	0.5855
17.50	0.5856
18.00	0.5859
18.50	0.5861
19.00	0.5861
19.50	0.5865
20.00	0.5868
20.50	0.5870
21.00	0.5876
21.50	0.5873
22.00	0.5883
22.50	0.5877
23.00	0.5885
23.50	0.5883
24.00	0.5888
24.50	0.5894
25.00	0.5894
25.50	0.5896
26.00	0.5898
26.50	0.5903
27.00	0.5905
27.50	0.5907
28.00	0.5912
28.50	0.5918
29.00	0.5920
29.50	0.5932
30.00	0.5929
30.50	0.5946
31.00	0.5951
31.50	0.5955
32.00	0.5961
32.50	0.5967
33.00	0.5977
33.50	0.5988
34.00	0.5999
34.50	0.6005
35.00	0.6022
35.50	0.6031
36.00	0.6046
36.50	0.6057
37.00	0.6070
37.50	0.6093
38.00	0.6111
38.50	0.6130
39.00	0.6151
39.50	0.6179
40.00	0.6205
40.50	0.6232
41.00	0.6269
41.50	0.6296
42.00	0.6332
42.50	0.6362
43.00	0.6406
43.50	0.6444
44.00	0.6487
44.50	0.6525
45.00	0.6567
45.50	0.6610
46.00	0.6652
46.50	0.6691
47.00	0.6730
47.50	0.6762
48.00	0.6795
48.50	0.6823
49.00	0.6853
49.50	0.6881
50.00	0.6907
50.50	0.6926
51.00	0.6944
51.50	0.6963
52.00	0.6968
52.50	0.6984
53.00	0.6986
53.50	0.6989
54.00	0.7002
54.50	0.7013
55.00	0.7012
55.50	0.7024
56.00	0.7029
56.50	0.7036
57.00	0.7037
57.50	0.7044
58.00	0.7058
58.50	0.7056
59.00	0.7063
59.50	0.7070
60.00	0.7076
60.50	0.7086
61.00	0.7079
61.50	0.7083
62.00	0.7083
62.50	0.7095
63.00	0.7098
63.50	0.7100
64.00	0.7111
64.50	0.7114
65.00	0.7113
Date : 12/7/2018	Time : 00:03:17	


Date : 12/7/2018	Time : 00:03:17	
C:\UVWINLAB\DNA121D1.SP	
65.00	0.7148
64.50	0.7148
64.00	0.7144
63.50	0.7145
63.00	0.7135
62.50	0.7133
62.00	0.7131
61.50	0.7128
61.00	0.7136
60.50	0.7123
60.00	0.7126
59.50	0.7119
59.00	0.7121
58.50	0.7115
58.00	0.7109
57.50	0.7111
57.00	0.7103
56.50	0.7103
56.00	0.7094
55.50	0.7083
55.00	0.7075
54.50	0.7071
54.00	0.7061
53.50	0.7039
53.00	0.7041
52.50	0.7042
