offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
3.600000000000000000e+03,1.000000000000000000e+02,-2.456202941432045606e+01,-2.456202941432045606e+01,-6.951318718444840670e+02,-6.951318718444840670e+02,-2.853322115743726073e+00,-6.831000343666495382e+02,-1.972741235867306386e+01,-1.972741235867306386e+01,-2.853149282650865093e+00
3.569849246231155576e+03,1.000000000000000000e+02,-2.456191629037083857e+01,-2.456191629037083857e+01,-6.951316896448133775e+02,-6.951316896448133775e+02,-2.853548992787223515e+00,-6.831003981368367022e+02,-1.972730196995189544e+01,-1.972730196995189544e+01,-2.853370060095262506e+00
3.539698492462311606e+03,1.000000000000000000e+02,-2.456180026117725745e+01,-2.456180026117725745e+01,-6.951315018732884710e+02,-6.951315018732884710e+02,-2.853781807438418916e+00,-6.831007729236354180e+02,-1.972718875139980810e+01,-1.972718875139980810e+01,-2.853596497202515181e+00
3.509547738693466727e+03,1.000000000000000000e+02,-2.456168122641019380e+01,-2.456168122641019380e+01,-6.951313083004888540e+02,-6.951313083004888540e+02,-2.854020770297822640e+00,-6.831011591759036037e+02,-1.972707260548168051e+01,-1.972707260548168051e+01,-2.853828789033765911e+00
3.479396984924623212e+03,1.000000000000000000e+02,-2.456155908138088861e+01,-2.456155908138088861e+01,-6.951311086850928405e+02,-6.951311086850928405e+02,-2.854266101472710648e+00,-6.831015573655761273e+02,-1.972695343043506000e+01,-1.972695343043506000e+01,-2.854067139124294883e+00
3.449246231155778787e+03,1.000000000000000000e+02,-2.456143371680264664e+01,-2.456143371680264664e+01,-6.951309027730967500e+02,-6.951309027730967500e+02,-2.854518031100624853e+00,-6.831019679890982843e+02,-1.972683112003687711e+01,-1.972683112003687711e+01,-2.854311759929029524e+00
3.419095477386935272e+03,1.000000000000000000e+02,-2.456130501854978831e+01,-2.456130501854978831e+01,-6.951306902970109149e+02,-6.951306902970109149e+02,-2.854776799909577001e+00,-6.831023915689688693e+02,-1.972670556335106085e+01,-1.972670556335106085e+01,-2.854562873295651393e+00
3.388944723618090393e+03,1.000000000000000000e+02,-2.456117286739026895e+01,-2.456117286739026895e+01,-6.951304709750002075e+02,-6.951304709750002075e+02,-2.855042659814558625e+00,-6.831028286553993212e+02,-1.972657664451776327e+01,-1.972657664451776327e+01,-2.854820710967155062e+00
3.358793969849245968e+03,1.000000000000000000e+02,-2.456103713871922878e+01,-2.456103713871922878e+01,-6.951302445099586294e+02,-6.951302445099586294e+02,-2.855315874555021338e+00,-6.831032798280918996e+02,-1.972644424244117545e+01,-1.972644424244117545e+01,-2.855085515116149608e+00
3.328643216080401999e+03,1.000000000000000000e+02,-2.456089770225432289e+01,-2.456089770225432289e+01,-6.951300105884793084e+02,-6.951300105884793084e+02,-2.855596720373377639e+00,-6.831037456981588321e+02,-1.972630823054259963e+01,-1.972630823054259963e+01,-2.855357538913008586e+00
3.298492462311557119e+03,1.000000000000000000e+02,-2.456075442173872148e+01,-2.456075442173872148e+01,-6.951297688797972114e+02,-6.951297688797972114e+02,-2.855885486743560797e+00,-6.831042269101824331e+02,-1.972616847643621441e+01,-1.972616847643621441e+01,-2.855637047130540118e+00
3.268341708542713604e+03,1.000000000000000000e+02,-2.456060715459466337e+01,-2.456060715459466337e+01,-6.951295190346127129e+02,-6.951295190346127129e+02,-6.831047241444397287e+02,-1.972602484160779568e+01,-1.972602484160779568e+01,-2.856182477147230170e+00,-2.855924316787729289e+00
3.238190954773869180e+03,1.000000000000000000e+02,-2.456045575157216376e+01,-2.456045575157216376e+01,-6.951292606838251231e+02,-6.951292606838251231e+02,-2.856488009906125392e+00,-6.831052381192980647e+02,-1.972587718108206900e+01,-1.972587718108206900e+01,-2.856219637835551772e+00
3.208040201005025665e+03,1.000000000000000000e+02,-2.456030005637603608e+01,-2.456030005637603608e+01,-6.951289934371893651e+02,-6.951289934371893651e+02,-2.856802419071182264e+00,-6.831057695938018242e+02,-1.972572534305527370e+01,-1.972572534305527370e+01,-2.856523313887990856e+00
3.177889447236180786e+03,1.000000000000000000e+02,-2.456013990525497093e+01,-2.456013990525497093e+01,-6.951287168818221289e+02,-6.951287168818221289e+02,-2.857126055379452634e+00,-6.831063193704663945e+02,-1.972556916849816844e+01,-1.972556916849816844e+01,-2.856835663001717762e+00
3.147738693467336361e+03,1.000000000000000000e+02,-2.455997512658564119e+01,-2.455997512658564119e+01,-6.951284305806252632e+02,-6.951284305806252632e+02,-2.857459287276076676e+00,-6.831068882982974628e+02,-1.972540849074562175e+01,-1.972540849074562175e+01,-2.857157018508149626e+00
3.117587939698492391e+03,1.000000000000000000e+02,-2.455980554038865193e+01,-2.455980554038865193e+01,-6.951281340705695584e+02,-6.951281340705695584e+02,-2.857802502014787027e+00,-6.831074772760583755e+02,-1.972524313505027749e+01,-1.972524313505027749e+01,-2.857487729901956985e+00
