Date : 10/17/2019	Time : 21:30:20	
C:\UVWINLAB\DNA121U1.SP	
18.00	0.6084
18.20	0.6085
18.40	0.6085
18.60	0.6085
18.80	0.6085
19.00	0.6087
19.20	0.6087
19.40	0.6087
19.60	0.6089
19.80	0.6088
20.00	0.6087
20.20	0.6088
20.40	0.6090
20.60	0.6090
20.80	0.6091
21.00	0.6091
21.20	0.6090
21.40	0.6091
21.60	0.6091
21.80	0.6092
22.00	0.6092
22.20	0.6093
22.40	0.6093
22.60	0.6093
22.80	0.6095
23.00	0.6096
23.20	0.6095
23.40	0.6096
23.60	0.6098
23.80	0.6099
24.00	0.6099
24.20	0.6101
24.40	0.6101
24.60	0.6102
24.80	0.6103
25.00	0.6104
25.20	0.6103
25.40	0.6104
25.60	0.6105
25.80	0.6106
26.00	0.6107
26.20	0.6106
26.40	0.6109
26.60	0.6107
26.80	0.6108
27.00	0.6108
27.20	0.6109
27.40	0.6109
27.60	0.6111
27.80	0.6112
28.00	0.6111
28.20	0.6114
28.40	0.6114
28.60	0.6115
28.80	0.6116
29.00	0.6116
29.20	0.6116
29.40	0.6118
29.60	0.6119
29.80	0.6121
30.00	0.6121
30.20	0.6123
30.40	0.6124
30.60	0.6126
30.80	0.6128
31.00	0.6128
31.20	0.6129
31.40	0.6131
31.60	0.6132
31.80	0.6133
32.00	0.6137
32.20	0.6136
32.50	0.6140
32.70	0.6142
33.00	0.6144
33.20	0.6145
33.50	0.6146
33.70	0.6148
34.00	0.6148
34.20	0.6151
34.50	0.6153
34.70	0.6157
35.00	0.6158
35.20	0.6159
35.50	0.6164
35.70	0.6164
36.00	0.6168
36.20	0.6170
36.50	0.6175
36.70	0.6177
37.00	0.6180
37.20	0.6183
37.50	0.6186
37.70	0.6188
38.00	0.6196
38.20	0.6198
38.50	0.6203
38.70	0.6206
39.00	0.6210
39.20	0.6211
39.50	0.6216
39.70	0.6221
40.00	0.6227
40.20	0.6231
40.50	0.6237
40.70	0.6237
41.00	0.6248
41.20	0.6253
41.50	0.6257
41.70	0.6264
42.00	0.6272
42.20	0.6277
42.50	0.6283
42.70	0.6283
43.00	0.6299
43.20	0.6303
43.50	0.6311
43.70	0.6317
44.00	0.6323
44.20	0.6329
44.50	0.6340
44.70	0.6340
45.00	0.6359
45.20	0.6366
45.50	0.6378
45.70	0.6382
46.00	0.6396
46.20	0.6403
46.50	0.6414
46.70	0.6414
47.00	0.6437
47.20	0.6446
47.50	0.6462
47.70	0.6470
48.00	0.6483
48.20	0.6492
48.50	0.6509
48.70	0.6509
49.00	0.6531
49.20	0.6541
49.50	0.6559
49.70	0.6565
50.00	0.6580
50.20	0.6588
50.50	0.6604
50.70	0.6604
51.00	0.6629
51.20	0.6639
51.50	0.6659
51.70	0.6664
52.00	0.6681
52.20	0.6687
52.50	0.6701
52.70	0.6701
53.00	0.6725
53.20	0.6734
53.50	0.6748
53.70	0.6755
54.00	0.6766
54.20	0.6772
54.50	0.6784
54.70	0.6784
55.00	0.6803
55.20	0.6810
55.50	0.6819
55.70	0.6826
56.00	0.6837
56.20	0.6842
56.50	0.6852
56.70	0.6852
57.00	0.6864
57.20	0.6870
57.50	0.6878
57.70	0.6882
58.00	0.6887
58.20	0.6890
58.50	0.6896
58.70	0.6896
59.00	0.6906
59.20	0.6910
59.50	0.6916
59.70	0.6916
60.00	0.6921
60.20	0.6926
60.50	0.6930
60.70	0.6930
61.00	0.6934
61.20	0.6938
61.50	0.6941
61.70	0.6942
62.00	0.6947
62.20	0.6948
62.50	0.6950
62.70	0.6950
63.00	0.6955
63.20	0.6959
63.50	0.6960
63.70	0.6963
64.00	0.6972
64.20	0.6973
64.40	0.6971
64.70	0.6979
64.90	0.6981
65.20	0.6981
65.40	0.6980
65.70	0.6982
65.90	0.6983
66.20	0.6986
66.40	0.6992
66.70	0.6994
66.90	0.6996
67.20	0.6998
67.40	0.7002
67.70	0.7003
67.90	0.7003
68.20	0.7006
68.40	0.7008
68.70	0.7007
68.90	0.7008
69.20	0.7008
69.40	0.7012
69.70	0.7010
69.90	0.7010
70.20	0.7016
70.40	0.7019
70.70	0.7018
70.90	0.7019
71.20	0.7023
71.40	0.7024
71.70	0.7021
71.90	0.7021
72.20	0.7025
72.40	0.7027
72.70	0.7032
72.90	0.7033
73.20	0.7038
73.40	0.7039
73.70	0.7043
73.90	0.7043
74.20	0.7046
74.40	0.7045
74.70	0.7044
74.90	0.7047
75.20	0.7049
75.40	0.7051
75.70	0.7053
75.90	0.7053
76.20	0.7056
76.40	0.7058
76.70	0.7062
76.90	0.7061
77.20	0.7064
77.40	0.7065
77.70	0.7067
77.90	0.7067
78.20	0.7068
78.40	0.7068
78.70	0.7070
78.90	0.7074
79.20	0.7077
79.40	0.7076
79.70	0.7078
79.90	0.7078
80.20	0.7081
80.40	0.7081
80.70	0.7083
80.90	0.7082
81.20	0.7083
81.40	0.7084
81.70	0.7086
81.90	0.7086
82.20	0.7086
82.40	0.7089
82.70	0.7090
82.90	0.7091
83.20	0.7090
83.40	0.7090
83.70	0.7089
83.90	0.7089
84.20	0.7092
84.40	0.7093
84.70	0.7094
84.90	0.7094
85.20	0.7101
85.40	0.7108
85.70	0.7100
85.90	0.7100
86.20	0.7106
86.40	0.7103
86.70	0.7102
86.90	0.7102
