Date : 10/18/2019	Time : 14:09:02	
C:\UVWINLAB\DNA81U1.SP	
28.00	0.5687
28.20	0.5687
28.40	0.5689
28.60	0.5688
28.80	0.5689
29.00	0.5691
29.20	0.5692
29.40	0.5692
29.60	0.5694
29.80	0.5695
30.00	0.5695
30.20	0.5698
30.40	0.5699
30.60	0.5700
30.80	0.5701
31.00	0.5703
31.20	0.5706
31.40	0.5707
31.60	0.5709
31.80	0.5710
32.00	0.5712
32.20	0.5712
32.50	0.5715
32.70	0.5718
33.00	0.5721
33.20	0.5723
33.50	0.5725
33.70	0.5726
34.00	0.5729
34.20	0.5731
34.50	0.5733
34.70	0.5736
35.00	0.5740
35.20	0.5739
35.50	0.5744
35.70	0.5748
36.00	0.5750
36.20	0.5754
36.50	0.5758
36.70	0.5760
37.00	0.5764
37.20	0.5766
37.50	0.5772
37.70	0.5776
38.00	0.5781
38.20	0.5783
38.50	0.5787
38.70	0.5792
39.00	0.5797
39.20	0.5800
39.50	0.5804
39.70	0.5805
40.00	0.5812
40.20	0.5817
40.50	0.5826
40.70	0.5826
41.00	0.5839
41.20	0.5843
41.50	0.5849
41.70	0.5855
42.00	0.5862
42.20	0.5867
42.50	0.5875
42.70	0.5875
43.00	0.5884
43.20	0.5891
43.50	0.5901
43.70	0.5907
44.00	0.5920
44.20	0.5928
44.50	0.5940
44.70	0.5940
45.00	0.5955
45.20	0.5963
45.50	0.5978
45.70	0.5981
46.00	0.5996
46.20	0.6005
46.50	0.6016
46.70	0.6016
47.00	0.6039
47.20	0.6047
47.50	0.6062
47.70	0.6069
48.00	0.6083
48.20	0.6091
48.50	0.6101
48.70	0.6101
49.00	0.6127
49.20	0.6132
49.50	0.6147
49.70	0.6157
50.00	0.6169
50.20	0.6179
50.50	0.6190
50.70	0.6190
51.00	0.6215
51.20	0.6221
51.50	0.6234
51.70	0.6241
52.00	0.6255
52.20	0.6261
52.50	0.6271
52.70	0.6271
53.00	0.6289
53.20	0.6296
53.50	0.6313
53.70	0.6321
54.00	0.6327
54.20	0.6332
54.50	0.6345
54.70	0.6345
55.00	0.6360
55.20	0.6361
55.50	0.6370
55.70	0.6373
56.00	0.6381
56.20	0.6387
56.50	0.6395
56.70	0.6395
57.00	0.6403
57.20	0.6408
57.50	0.6414
57.70	0.6417
58.00	0.6424
58.20	0.6428
58.50	0.6430
58.70	0.6430
59.00	0.6440
59.20	0.6444
59.50	0.6449
59.70	0.6453
60.00	0.6457
60.20	0.6459
60.50	0.6465
60.70	0.6465
61.00	0.6476
61.20	0.6479
61.50	0.6479
61.70	0.6483
62.00	0.6489
62.20	0.6492
62.50	0.6494
62.70	0.6494
63.00	0.6498
63.20	0.6502
63.50	0.6507
63.70	0.6509
64.00	0.6512
64.20	0.6517
64.40	0.6519
64.70	0.6523
64.90	0.6525
65.20	0.6527
65.40	0.6531
65.70	0.6535
65.90	0.6536
66.20	0.6543
66.40	0.6545
66.70	0.6547
66.90	0.6550
67.20	0.6552
67.40	0.6555
67.70	0.6560
67.90	0.6560
68.20	0.6566
68.40	0.6568
68.70	0.6570
68.90	0.6573
69.20	0.6577
69.40	0.6578
69.70	0.6583
69.90	0.6583
70.20	0.6588
70.40	0.6591
70.70	0.6593
70.90	0.6595
71.20	0.6599
71.40	0.6599
71.70	0.6603
71.90	0.6603
72.20	0.6609
72.40	0.6610
72.70	0.6613
72.90	0.6617
73.20	0.6616
73.40	0.6619
73.70	0.6622
73.90	0.6622
74.20	0.6626
74.40	0.6630
74.70	0.6629
74.90	0.6631
75.20	0.6636
75.40	0.6637
75.70	0.6639
75.90	0.6639
76.20	0.6642
76.40	0.6644
76.70	0.6645
76.90	0.6646
77.20	0.6648
77.40	0.6648
77.70	0.6650
77.90	0.6650
78.20	0.6651
78.40	0.6651
78.70	0.6656
78.90	0.6655
79.20	0.6657
79.40	0.6658
