Date : 9/3/2019	Time : 12:38:50	
C:\UVWINLAB\DNA01U1.SP	
15.00	0.6056
15.20	0.6060
15.40	0.6063
15.60	0.6068
15.80	0.6071
16.00	0.6075
16.20	0.6076
16.40	0.6080
16.60	0.6083
16.80	0.6085
17.00	0.6090
17.20	0.6092
17.40	0.6093
17.60	0.6098
17.80	0.6103
18.00	0.6105
18.20	0.6110
18.40	0.6113
18.60	0.6117
18.80	0.6122
19.00	0.6125
19.20	0.6130
19.40	0.6135
19.60	0.6141
19.80	0.6146
20.00	0.6149
20.20	0.6154
20.40	0.6159
20.60	0.6165
20.80	0.6173
21.00	0.6175
21.20	0.6184
21.40	0.6188
21.60	0.6194
21.80	0.6200
22.00	0.6204
22.20	0.6210
22.40	0.6216
22.60	0.6223
22.80	0.6226
23.00	0.6231
23.20	0.6239
23.40	0.6246
23.60	0.6255
23.80	0.6261
24.00	0.6267
24.20	0.6272
24.40	0.6283
24.60	0.6289
24.80	0.6297
25.00	0.6307
25.20	0.6315
25.40	0.6324
25.60	0.6332
25.80	0.6340
26.00	0.6349
26.20	0.6358
26.40	0.6369
26.60	0.6379
26.80	0.6388
27.00	0.6401
27.20	0.6411
27.40	0.6422
27.60	0.6431
27.80	0.6443
28.00	0.6454
28.20	0.6465
28.40	0.6479
28.60	0.6494
28.80	0.6504
29.00	0.6519
29.20	0.6530
29.40	0.6545
29.60	0.6559
29.80	0.6571
30.00	0.6585
30.20	0.6596
30.40	0.6613
30.60	0.6627
30.80	0.6639
31.00	0.6649
31.20	0.6665
31.40	0.6677
31.60	0.6691
31.80	0.6707
32.00	0.6723
32.20	0.6740
32.50	0.6761
32.70	0.6775
33.00	0.6800
33.20	0.6812
33.50	0.6832
33.70	0.6847
34.00	0.6869
34.20	0.6881
34.50	0.6903
34.70	0.6915
35.00	0.6931
35.20	0.6944
35.50	0.6961
35.70	0.6970
36.00	0.6988
36.20	0.6997
36.50	0.7012
36.70	0.7018
37.00	0.7033
37.20	0.7043
37.50	0.7054
37.70	0.7060
38.00	0.7074
38.20	0.7079
38.50	0.7087
38.70	0.7096
39.00	0.7103
39.20	0.7106
39.50	0.7117
39.70	0.7120
40.00	0.7129
40.20	0.7134
40.50	0.7140
40.70	0.7140
41.00	0.7152
41.20	0.7155
41.50	0.7164
41.70	0.7166
42.00	0.7172
42.20	0.7175
42.50	0.7181
42.70	0.7181
43.00	0.7192
43.20	0.7194
43.50	0.7201
43.70	0.7203
44.00	0.7208
44.20	0.7213
44.50	0.7217
44.70	0.7217
45.00	0.7226
45.20	0.7229
45.50	0.7232
45.70	0.7238
46.00	0.7241
46.20	0.7244
46.50	0.7249
46.70	0.7249
47.00	0.7257
47.20	0.7261
47.50	0.7265
47.70	0.7268
48.00	0.7270
48.20	0.7272
48.50	0.7280
48.70	0.7280
49.00	0.7289
49.20	0.7291
49.50	0.7297
49.70	0.7298
50.00	0.7303
50.20	0.7307
50.50	0.7311
50.70	0.7311
51.00	0.7319
51.20	0.7324
51.50	0.7327
51.70	0.7332
52.00	0.7336
52.20	0.7336
52.50	0.7343
52.70	0.7343
53.00	0.7349
53.20	0.7351
53.50	0.7360
53.70	0.7362
54.00	0.7369
54.20	0.7369
54.50	0.7375
54.70	0.7375
55.00	0.7381
55.20	0.7384
55.50	0.7390
55.70	0.7392
