Date : 8/31/2019	Time : 18:38:59	
C:\UVWINLAB\DNA01U1.SP	
14.00	0.6523
14.20	0.6531
14.40	0.6532
14.60	0.6537
14.80	0.6544
15.00	0.6552
15.20	0.6559
15.40	0.6565
15.60	0.6572
15.80	0.6580
16.00	0.6588
16.20	0.6598
16.40	0.6609
16.60	0.6615
16.80	0.6630
17.00	0.6634
17.20	0.6646
17.40	0.6655
17.60	0.6665
17.80	0.6677
18.00	0.6687
18.20	0.6698
18.40	0.6709
18.60	0.6719
18.80	0.6732
19.00	0.6742
19.20	0.6754
19.40	0.6766
19.60	0.6777
19.80	0.6789
20.00	0.6800
20.20	0.6810
20.40	0.6821
20.60	0.6832
20.80	0.6846
21.00	0.6855
21.20	0.6867
21.40	0.6882
21.60	0.6890
21.80	0.6902
22.00	0.6913
22.20	0.6923
22.40	0.6933
22.60	0.6944
22.80	0.6953
23.00	0.6964
23.20	0.6969
23.40	0.6980
23.60	0.6993
23.80	0.7001
24.00	0.7012
24.20	0.7019
24.40	0.7029
24.60	0.7036
24.80	0.7045
25.00	0.7054
25.20	0.7061
25.40	0.7072
25.60	0.7079
25.80	0.7087
26.00	0.7093
26.20	0.7101
26.40	0.7107
26.60	0.7116
26.80	0.7122
27.00	0.7129
27.20	0.7137
27.40	0.7144
27.60	0.7150
27.80	0.7154
28.00	0.7161
28.20	0.7165
28.40	0.7173
28.60	0.7176
28.80	0.7181
29.00	0.7186
29.20	0.7189
29.40	0.7195
29.60	0.7201
29.80	0.7204
30.00	0.7209
30.20	0.7216
30.40	0.7218
30.60	0.7221
30.80	0.7227
31.00	0.7231
31.20	0.7232
31.40	0.7241
31.60	0.7243
31.80	0.7247
32.00	0.7250
32.20	0.7255
32.50	0.7262
32.70	0.7265
33.00	0.7270
33.20	0.7275
33.50	0.7281
33.70	0.7285
34.00	0.7289
34.20	0.7292
34.50	0.7300
34.70	0.7304
35.00	0.7311
35.20	0.7314
35.50	0.7323
35.70	0.7325
36.00	0.7332
36.20	0.7336
36.50	0.7342
36.70	0.7346
37.00	0.7352
37.20	0.7352
37.50	0.7359
37.70	0.7361
38.00	0.7369
38.20	0.7373
38.50	0.7378
38.70	0.7382
39.00	0.7388
39.20	0.7392
39.50	0.7397
39.70	0.7397
40.00	0.7405
40.20	0.7410
40.50	0.7415
40.70	0.7419
41.00	0.7425
41.20	0.7429
41.50	0.7436
41.70	0.7436
42.00	0.7446
42.20	0.7450
42.50	0.7454
42.70	0.7458
43.00	0.7464
43.20	0.7468
43.50	0.7475
43.70	0.7475
44.00	0.7485
44.20	0.7488
44.50	0.7494
44.70	0.7497
45.00	0.7503
Date : 8/31/2019	Time : 19:23:24	


Date : 8/31/2019	Time : 19:23:24	
C:\UVWINLAB\DNA01D1.SP	
