Date : 8/27/2019	Time : 21:18:44	
C:\UVWINLAB\MS981U1.SP	
15.00	0.6209
15.20	0.6217
15.40	0.6223
15.60	0.6232
15.80	0.6238
16.00	0.6252
16.20	0.6258
16.40	0.6266
16.60	0.6274
16.80	0.6283
17.00	0.6293
17.20	0.6300
17.40	0.6309
17.60	0.6318
17.80	0.6330
18.00	0.6337
18.20	0.6346
18.40	0.6356
18.60	0.6368
18.80	0.6377
19.00	0.6388
19.20	0.6401
19.40	0.6414
19.60	0.6421
19.80	0.6439
20.00	0.6455
20.20	0.6466
20.40	0.6479
20.60	0.6490
20.80	0.6501
21.00	0.6516
21.20	0.6522
21.40	0.6537
21.60	0.6543
21.80	0.6557
22.00	0.6565
22.20	0.6571
22.40	0.6586
22.60	0.6597
22.80	0.6609
23.00	0.6624
23.20	0.6633
23.40	0.6652
23.60	0.6662
23.80	0.6678
24.00	0.6692
24.20	0.6706
24.40	0.6720
24.60	0.6730
24.80	0.6745
25.00	0.6758
25.20	0.6771
25.40	0.6782
25.60	0.6797
25.80	0.6804
26.00	0.6818
26.20	0.6828
26.40	0.6839
26.60	0.6848
26.80	0.6857
27.00	0.6872
27.20	0.6880
27.40	0.6891
27.60	0.6900
27.80	0.6910
28.00	0.6919
28.20	0.6928
28.40	0.6936
28.60	0.6944
28.80	0.6950
29.00	0.6960
29.20	0.6966
29.40	0.6970
29.60	0.6978
29.80	0.6983
30.00	0.6991
30.20	0.6997
30.40	0.7001
30.60	0.7011
30.80	0.7015
31.00	0.7023
31.20	0.7027
31.40	0.7034
31.60	0.7039
31.80	0.7044
32.00	0.7048
32.20	0.7056
32.50	0.7064
32.70	0.7067
33.00	0.7073
33.20	0.7078
33.50	0.7084
33.70	0.7090
34.00	0.7095
34.20	0.7102
34.50	0.7105
34.70	0.7112
35.00	0.7121
35.20	0.7121
35.50	0.7128
35.70	0.7131
36.00	0.7138
36.20	0.7143
36.50	0.7148
36.70	0.7150
37.00	0.7156
37.20	0.7161
37.50	0.7165
37.70	0.7168
38.00	0.7175
38.20	0.7177
38.50	0.7183
38.70	0.7184
39.00	0.7191
39.20	0.7195
39.50	0.7202
39.70	0.7206
40.00	0.7209
40.20	0.7214
40.50	0.7219
40.70	0.7219
41.00	0.7231
41.20	0.7232
41.50	0.7240
41.70	0.7245
42.00	0.7249
42.20	0.7254
42.50	0.7259
42.70	0.7259
43.00	0.7265
43.20	0.7269
43.50	0.7274
43.70	0.7278
44.00	0.7284
44.20	0.7289
44.50	0.7291
44.70	0.7291
45.00	0.7301
45.20	0.7306
45.50	0.7310
45.70	0.7313
46.00	0.7322
46.20	0.7324
46.50	0.7330
46.70	0.7330
47.00	0.7339
47.20	0.7345
47.50	0.7350
47.70	0.7353
48.00	0.7360
48.20	0.7361
48.50	0.7369
48.70	0.7369
49.00	0.7377
49.20	0.7378
49.50	0.7386
49.70	0.7389
50.00	0.7395
Date : 8/27/2019	Time : 22:07:25	


Date : 8/27/2019	Time : 22:07:25	
C:\UVWINLAB\MS981D1.SP	
