Date : 8/26/2019	Time : 17:12:35	
C:\UVWINLAB\MS721U1.SP	
15.00	0.6362
15.20	0.6364
15.40	0.6366
15.60	0.6369
15.80	0.6370
16.00	0.6374
16.20	0.6377
16.40	0.6381
16.60	0.6385
16.80	0.6387
17.00	0.6390
17.20	0.6393
17.40	0.6396
17.60	0.6399
17.80	0.6403
18.00	0.6410
18.20	0.6414
18.40	0.6418
18.60	0.6420
18.80	0.6425
19.00	0.6429
19.20	0.6432
19.40	0.6435
19.60	0.6441
19.80	0.6443
20.00	0.6443
20.20	0.6449
20.40	0.6453
20.60	0.6457
20.80	0.6459
21.00	0.6462
21.20	0.6465
21.40	0.6469
21.60	0.6472
21.80	0.6476
22.00	0.6479
22.20	0.6483
22.40	0.6486
22.60	0.6492
22.80	0.6495
23.00	0.6499
23.20	0.6502
23.40	0.6506
23.60	0.6509
23.80	0.6516
24.00	0.6521
24.20	0.6526
24.40	0.6528
24.60	0.6533
24.80	0.6539
25.00	0.6543
25.20	0.6549
25.40	0.6554
25.60	0.6559
25.80	0.6563
26.00	0.6567
26.20	0.6573
26.40	0.6580
26.60	0.6584
26.80	0.6590
27.00	0.6594
27.20	0.6600
27.40	0.6605
27.60	0.6609
27.80	0.6616
28.00	0.6622
28.20	0.6629
28.40	0.6637
28.60	0.6644
28.80	0.6651
29.00	0.6660
29.20	0.6668
29.40	0.6671
29.60	0.6681
29.80	0.6690
30.00	0.6699
30.20	0.6708
30.40	0.6714
30.60	0.6724
30.80	0.6733
31.00	0.6741
31.20	0.6752
31.40	0.6762
31.60	0.6773
31.80	0.6785
32.00	0.6796
32.20	0.6806
32.50	0.6820
32.70	0.6831
33.00	0.6849
33.20	0.6862
33.50	0.6884
33.70	0.6895
34.00	0.6915
34.20	0.6934
34.50	0.6961
34.70	0.6969
35.00	0.6986
35.20	0.7001
35.50	0.7023
35.70	0.7040
36.00	0.7071
36.20	0.7087
36.50	0.7119
36.70	0.7141
37.00	0.7169
37.20	0.7192
37.50	0.7224
37.70	0.7238
38.00	0.7276
38.20	0.7289
38.50	0.7304
38.70	0.7316
39.00	0.7356
39.20	0.7374
39.50	0.7410
39.70	0.7431
40.00	0.7465
40.20	0.7497
40.50	0.7527
40.70	0.7527
41.00	0.7582
41.20	0.7599
41.50	0.7630
41.70	0.7651
42.00	0.7673
42.20	0.7691
42.50	0.7717
42.70	0.7717
43.00	0.7759
43.20	0.7775
43.50	0.7795
43.70	0.7811
44.00	0.7832
44.20	0.7843
44.50	0.7860
44.70	0.7860
45.00	0.7887
45.20	0.7897
45.50	0.7913
45.70	0.7922
46.00	0.7935
46.20	0.7946
46.50	0.7957
46.70	0.7957
47.00	0.7976
47.20	0.7984
47.50	0.7994
47.70	0.8001
48.00	0.8010
48.20	0.8015
48.50	0.8026
48.70	0.8026
49.00	0.8040
49.20	0.8045
49.50	0.8051
49.70	0.8058
50.00	0.8064
50.20	0.8071
50.50	0.8079
50.70	0.8079
51.00	0.8089
51.20	0.8092
51.50	0.8103
51.70	0.8107
52.00	0.8113
52.20	0.8116
52.50	0.8123
52.70	0.8123
53.00	0.8135
53.20	0.8140
53.50	0.8147
53.70	0.8149
54.00	0.8157
54.20	0.8163
54.50	0.8169
54.70	0.8169
55.00	0.8182
55.20	0.8187
55.50	0.8192
55.70	0.8197
56.00	0.8203
56.20	0.8210
56.50	0.8215
56.70	0.8215
57.00	0.8227
57.20	0.8229
57.50	0.8239
57.70	0.8242
58.00	0.8252
58.20	0.8255
58.50	0.8261
58.70	0.8261
59.00	0.8272
59.20	0.8278
59.50	0.8285
59.70	0.8292
60.00	0.8297
60.20	0.8302
60.50	0.8309
60.70	0.8309
61.00	0.8321
61.20	0.8327
61.50	0.8336
61.70	0.8339
62.00	0.8345
62.20	0.8351
62.50	0.8358
62.70	0.8358
63.00	0.8373
63.20	0.8375
63.50	0.8384
63.70	0.8387
64.00	0.8394
64.20	0.8398
64.40	0.8403
64.70	0.8411
64.90	0.8417
65.20	0.8425
65.40	0.8429
65.70	0.8437
65.90	0.8441
66.20	0.8451
66.40	0.8455
66.70	0.8463
66.90	0.8468
67.20	0.8475
67.40	0.8480
67.70	0.8487
67.90	0.8487
68.20	0.8502
68.40	0.8505
68.70	0.8513
68.90	0.8517
69.20	0.8528
69.40	0.8533
69.70	0.8539
69.90	0.8539
70.20	0.8550
70.40	0.8555
70.70	0.8565
70.90	0.8571
71.20	0.8581
71.40	0.8583
71.70	0.8591
71.90	0.8591
72.20	0.8603
72.40	0.8612
72.70	0.8616
72.90	0.8625
73.20	0.8631
73.40	0.8636
73.70	0.8642
73.90	0.8642
74.20	0.8657
74.40	0.8661
74.70	0.8669
74.90	0.8675
75.20	0.8682
75.40	0.8687
75.70	0.8694
75.90	0.8694
76.20	0.8712
76.40	0.8712
76.70	0.8721
76.90	0.8728
77.20	0.8738
77.40	0.8742
77.70	0.8749
77.90	0.8749
78.20	0.8764
78.40	0.8769
78.70	0.8777
78.90	0.8783
79.20	0.8790
79.40	0.8798
79.70	0.8802
79.90	0.8802
80.20	0.8815
80.40	0.8821
80.70	0.8828
80.90	0.8835
81.20	0.8845
81.40	0.8850
81.70	0.8859
81.90	0.8859
82.20	0.8872
82.40	0.8880
82.70	0.8888
82.90	0.8893
83.20	0.8899
83.40	0.8910
83.70	0.8914
83.90	0.8914
84.20	0.8930
84.40	0.8935
84.70	0.8944
84.90	0.8949
85.20	0.8959
85.40	0.8963
85.70	0.8973
85.90	0.8973
86.20	0.8990
86.40	0.8995
86.70	0.9005
86.90	0.9009
