Date : 3/5/2018	Time : 23:51:47	
C:\UVWINLAB\DNA21U1.SP	
15.00	0.6255
15.50	0.6258
16.00	0.6260
16.50	0.6265
17.00	0.6262
17.50	0.6269
18.00	0.6270
18.50	0.6274
19.00	0.6277
19.50	0.6277
20.00	0.6275
20.50	0.6283
21.00	0.6286
21.50	0.6284
22.00	0.6290
22.50	0.6290
23.00	0.6292
23.50	0.6295
24.00	0.6299
24.50	0.6301
25.00	0.6311
25.50	0.6311
26.00	0.6315
26.50	0.6319
27.00	0.6320
27.50	0.6321
28.00	0.6330
28.50	0.6335
29.00	0.6334
29.50	0.6339
30.00	0.6351
30.50	0.6353
31.00	0.6356
31.50	0.6360
32.00	0.6367
32.50	0.6378
33.00	0.6379
33.50	0.6385
34.00	0.6395
34.50	0.6407
35.00	0.6410
35.50	0.6416
36.00	0.6429
36.50	0.6443
37.00	0.6445
37.50	0.6463
38.00	0.6469
38.50	0.6481
39.00	0.6495
39.50	0.6505
40.00	0.6514
40.50	0.6538
41.00	0.6552
41.50	0.6572
42.00	0.6598
42.50	0.6620
43.00	0.6626
43.50	0.6650
44.00	0.6676
44.50	0.6710
45.00	0.6738
45.50	0.6784
46.00	0.6815
46.50	0.6852
47.00	0.6888
47.50	0.6930
48.00	0.6968
48.50	0.7009
49.00	0.7039
49.50	0.7086
50.00	0.7127
50.50	0.7159
51.00	0.7202
51.50	0.7233
52.00	0.7269
52.50	0.7298
53.00	0.7331
53.50	0.7353
54.00	0.7376
54.50	0.7403
55.00	0.7423
55.50	0.7443
56.00	0.7460
56.50	0.7478
57.00	0.7496
57.50	0.7514
58.00	0.7527
58.50	0.7535
59.00	0.7548
59.50	0.7553
60.00	0.7562
60.50	0.7573
61.00	0.7579
61.50	0.7584
62.00	0.7593
62.50	0.7597
63.00	0.7600
63.50	0.7606
64.00	0.7614
64.50	0.7618
65.00	0.7617
65.50	0.7625
66.00	0.7631
66.50	0.7632
67.00	0.7642
67.50	0.7641
68.00	0.7646
68.50	0.7650
69.00	0.7646
69.50	0.7657
70.00	0.7660
70.50	0.7657
71.00	0.7663
71.50	0.7665
72.00	0.7671
72.50	0.7668
73.00	0.7677
73.50	0.7675
74.00	0.7682
74.50	0.7678
75.00	0.7683
Date : 3/6/2018	Time : 01:09:40	


Date : 3/6/2018	Time : 01:09:40	
C:\UVWINLAB\DNA21D1.SP	
