Date : 12/19/2017	Time : 09:08:16	
C:\UVWINLAB\DNA41U1.SP	
15.00	0.6438
15.50	0.6442
16.00	0.6453
16.50	0.6458
17.00	0.6465
17.50	0.6474
18.00	0.6481
18.50	0.6486
19.00	0.6495
19.50	0.6503
20.00	0.6509
20.50	0.6515
21.00	0.6525
21.50	0.6537
22.00	0.6541
22.50	0.6554
23.00	0.6561
23.50	0.6570
24.00	0.6579
24.50	0.6595
25.00	0.6601
25.50	0.6610
26.00	0.6624
26.50	0.6638
27.00	0.6644
27.50	0.6662
28.00	0.6676
28.50	0.6683
29.00	0.6698
29.50	0.6715
30.00	0.6731
30.50	0.6741
31.00	0.6756
31.50	0.6774
32.00	0.6788
32.50	0.6810
33.00	0.6822
33.50	0.6845
34.00	0.6868
34.50	0.6884
35.00	0.6907
35.50	0.6929
36.00	0.6950
36.50	0.6973
37.00	0.7002
37.50	0.7024
38.00	0.7050
38.50	0.7081
39.00	0.7119
39.50	0.7146
40.00	0.7175
40.50	0.7207
41.00	0.7240
41.50	0.7272
42.00	0.7292
42.50	0.7315
43.00	0.7350
43.50	0.7379
44.00	0.7406
44.50	0.7435
45.00	0.7453
45.50	0.7468
46.00	0.7496
46.50	0.7520
47.00	0.7528
47.50	0.7547
48.00	0.7561
48.50	0.7568
49.00	0.7583
49.50	0.7594
50.00	0.7607
50.50	0.7617
51.00	0.7613
51.50	0.7623
52.00	0.7639
52.50	0.7640
53.00	0.7653
53.50	0.7651
54.00	0.7659
54.50	0.7662
55.00	0.7664
55.50	0.7669
56.00	0.7676
56.50	0.7679
57.00	0.7684
57.50	0.7689
58.00	0.7692
58.50	0.7696
59.00	0.7702
59.50	0.7702
60.00	0.7711
60.50	0.7711
61.00	0.7711
61.50	0.7713
62.00	0.7717
62.50	0.7726
63.00	0.7730
63.50	0.7726
64.00	0.7733
64.50	0.7734
65.00	0.7740
65.50	0.7740
66.00	0.7745
66.50	0.7747
67.00	0.7747
67.50	0.7750
68.00	0.7757
68.50	0.7762
69.00	0.7763
69.50	0.7763
70.00	0.7768
Date : 12/19/2017	Time : 10:26:52	


Date : 12/19/2017	Time : 10:26:52	
C:\UVWINLAB\DNA41D1.SP	
