Date : 3/9/2018	Time : 10:22:01	
C:\UVWINLAB\DNA81U1.SP	
10.00	0.6010
10.50	0.6011
11.00	0.6018
11.50	0.6020
12.00	0.6032
12.50	0.6038
13.00	0.6042
13.50	0.6052
14.00	0.6057
14.50	0.6066
15.00	0.6075
15.50	0.6082
16.00	0.6087
16.50	0.6090
17.00	0.6096
17.50	0.6105
18.00	0.6114
18.50	0.6120
19.00	0.6131
19.50	0.6136
20.00	0.6148
20.50	0.6155
21.00	0.6166
21.50	0.6173
22.00	0.6184
22.50	0.6191
23.00	0.6202
23.50	0.6213
24.00	0.6221
24.50	0.6233
25.00	0.6238
25.50	0.6254
26.00	0.6263
26.50	0.6273
27.00	0.6292
27.50	0.6297
28.00	0.6314
28.50	0.6327
29.00	0.6342
29.50	0.6357
30.00	0.6375
30.50	0.6388
31.00	0.6410
31.50	0.6420
32.00	0.6440
32.50	0.6463
33.00	0.6480
33.50	0.6498
34.00	0.6519
34.50	0.6542
35.00	0.6566
35.50	0.6586
36.00	0.6610
36.50	0.6635
37.00	0.6655
37.50	0.6682
38.00	0.6699
38.50	0.6721
39.00	0.6747
39.50	0.6774
40.00	0.6783
40.50	0.6807
41.00	0.6830
41.50	0.6851
42.00	0.6870
42.50	0.6881
43.00	0.6899
43.50	0.6915
44.00	0.6929
44.50	0.6941
45.00	0.6957
45.50	0.6967
46.00	0.6978
46.50	0.6987
47.00	0.6996
47.50	0.7005
48.00	0.7015
48.50	0.7019
49.00	0.7032
49.50	0.7038
50.00	0.7038
50.50	0.7046
51.00	0.7049
51.50	0.7057
52.00	0.7057
52.50	0.7063
53.00	0.7066
53.50	0.7069
54.00	0.7073
54.50	0.7080
55.00	0.7084
55.50	0.7086
56.00	0.7089
56.50	0.7095
57.00	0.7094
57.50	0.7095
58.00	0.7098
58.50	0.7099
59.00	0.7103
59.50	0.7111
60.00	0.7111
60.50	0.7112
61.00	0.7115
61.50	0.7122
62.00	0.7119
62.50	0.7126
63.00	0.7126
63.50	0.7130
64.00	0.7130
64.50	0.7127
65.00	0.7139
65.50	0.7135
66.00	0.7139
66.50	0.7144
67.00	0.7147
67.50	0.7147
68.00	0.7150
68.50	0.7146
69.00	0.7152
69.50	0.7158
