Date : 3/10/2018	Time : 09:18:47	
C:\UVWINLAB\DNA01U1.SP	
8.00	0.5669
8.50	0.5677
9.00	0.5687
9.50	0.5692
10.00	0.5701
10.50	0.5705
11.00	0.5706
11.50	0.5717
12.00	0.5727
12.50	0.5733
13.00	0.5736
13.50	0.5750
14.00	0.5757
14.50	0.5767
15.00	0.5775
15.50	0.5782
16.00	0.5793
16.50	0.5805
17.00	0.5815
17.50	0.5823
18.00	0.5837
18.50	0.5848
19.00	0.5861
19.50	0.5872
20.00	0.5884
20.50	0.5905
21.00	0.5917
21.50	0.5933
22.00	0.5951
22.50	0.5970
23.00	0.5984
23.50	0.6006
24.00	0.6023
24.50	0.6045
25.00	0.6070
25.50	0.6094
26.00	0.6116
26.50	0.6141
27.00	0.6165
27.50	0.6190
28.00	0.6222
28.50	0.6251
29.00	0.6273
29.50	0.6303
30.00	0.6332
30.50	0.6357
31.00	0.6385
31.50	0.6410
32.00	0.6428
32.50	0.6457
33.00	0.6475
33.50	0.6493
34.00	0.6517
34.50	0.6523
35.00	0.6547
35.50	0.6554
36.00	0.6569
36.50	0.6578
37.00	0.6591
37.50	0.6598
38.00	0.6608
38.50	0.6612
39.00	0.6620
39.50	0.6624
40.00	0.6633
40.50	0.6637
41.00	0.6650
41.50	0.6653
42.00	0.6659
42.50	0.6660
43.00	0.6666
43.50	0.6673
44.00	0.6669
44.50	0.6680
45.00	0.6677
45.50	0.6680
46.00	0.6684
46.50	0.6692
47.00	0.6693
47.50	0.6696
48.00	0.6702
48.50	0.6705
49.00	0.6709
49.50	0.6710
50.00	0.6711
Date : 3/10/2018	Time : 10:20:24	


Date : 3/10/2018	Time : 10:20:24	
C:\UVWINLAB\DNA01D1.SP	
