Date : 9/6/2018	Time : 20:21:32	
C:\UVWINLAB\DNA01U1.SP	
15.00	0.5548
15.50	0.5555
16.00	0.5567
16.50	0.5581
17.00	0.5590
17.50	0.5601
18.00	0.5621
18.50	0.5635
19.00	0.5652
19.50	0.5679
20.00	0.5688
20.50	0.5711
21.00	0.5731
21.50	0.5750
22.00	0.5778
22.50	0.5798
23.00	0.5823
23.50	0.5856
24.00	0.5879
24.50	0.5910
25.00	0.5944
25.50	0.5975
26.00	0.6004
26.50	0.6035
27.00	0.6078
27.50	0.6114
28.00	0.6145
28.50	0.6182
29.00	0.6217
29.50	0.6252
30.00	0.6279
30.50	0.6319
31.00	0.6347
31.50	0.6374
32.00	0.6408
32.50	0.6432
33.00	0.6447
33.50	0.6480
34.00	0.6504
34.50	0.6530
35.00	0.6542
35.50	0.6558
36.00	0.6576
36.50	0.6588
37.00	0.6604
37.50	0.6614
38.00	0.6621
38.50	0.6631
39.00	0.6639
39.50	0.6652
40.00	0.6650
40.50	0.6665
41.00	0.6673
41.50	0.6676
42.00	0.6684
42.50	0.6687
43.00	0.6685
43.50	0.6694
44.00	0.6699
44.50	0.6705
45.00	0.6703
45.50	0.6712
46.00	0.6721
46.50	0.6724
47.00	0.6728
47.50	0.6733
48.00	0.6730
48.50	0.6742
49.00	0.6745
49.50	0.6748
50.10	0.6753
50.60	0.6754
51.10	0.6754
51.60	0.6763
52.10	0.6759
52.60	0.6759
53.10	0.6774
53.60	0.6778
54.10	0.6780
54.60	0.6788
55.10	0.6796
55.60	0.6802
56.10	0.6801
56.60	0.6807
57.10	0.6811
57.60	0.6815
58.10	0.6818
58.60	0.6822
59.10	0.6831
59.60	0.6833
60.10	0.6837
60.60	0.6845
61.10	0.6849
61.60	0.6853
62.10	0.6853
62.60	0.6865
63.10	0.6862
63.60	0.6877
64.10	0.6877
64.60	0.6886
65.00	0.6882
Date : 9/6/2018	Time : 21:25:15	


Date : 9/6/2018	Time : 21:25:15	
C:\UVWINLAB\DNA01D1.SP	
