Date : 9/26/2019	Time : 11:09:33	
C:\UVWINLAB\DNA21U1.SP	
17.80	0.6166
18.00	0.6166
18.20	0.6167
18.40	0.6169
18.60	0.6168
18.80	0.6171
19.00	0.6173
19.20	0.6173
19.40	0.6176
19.60	0.6178
19.80	0.6179
20.00	0.6181
20.20	0.6184
20.40	0.6185
20.60	0.6185
20.80	0.6190
21.00	0.6191
21.20	0.6192
21.40	0.6193
21.60	0.6196
21.80	0.6196
22.00	0.6200
22.20	0.6202
22.40	0.6202
22.60	0.6204
22.80	0.6208
23.00	0.6209
23.20	0.6212
23.40	0.6215
23.60	0.6217
23.80	0.6220
24.00	0.6222
24.20	0.6225
24.40	0.6227
24.60	0.6232
24.80	0.6233
25.00	0.6234
25.20	0.6239
25.40	0.6241
25.60	0.6244
25.80	0.6246
26.00	0.6251
26.20	0.6254
26.40	0.6257
26.60	0.6259
26.80	0.6262
27.00	0.6267
27.20	0.6270
27.40	0.6272
27.60	0.6276
27.80	0.6282
28.00	0.6286
28.20	0.6288
28.40	0.6292
28.60	0.6296
28.80	0.6300
29.00	0.6306
29.20	0.6308
29.40	0.6312
29.60	0.6316
29.80	0.6320
30.00	0.6325
30.20	0.6328
30.40	0.6334
30.60	0.6338
30.80	0.6345
31.00	0.6350
31.20	0.6354
31.40	0.6359
31.60	0.6365
31.80	0.6370
32.00	0.6375
32.20	0.6384
32.50	0.6392
32.70	0.6396
33.00	0.6404
33.20	0.6410
33.50	0.6420
33.70	0.6424
34.00	0.6434
34.20	0.6440
34.50	0.6451
34.70	0.6457
35.00	0.6470
35.20	0.6476
35.50	0.6486
35.70	0.6494
36.00	0.6504
36.20	0.6514
36.50	0.6524
36.70	0.6531
37.00	0.6543
37.20	0.6549
37.50	0.6562
37.70	0.6570
38.00	0.6581
38.20	0.6591
38.50	0.6604
38.70	0.6609
39.00	0.6625
39.20	0.6631
39.50	0.6645
39.70	0.6651
40.00	0.6664
40.20	0.6675
40.50	0.6688
40.70	0.6688
41.00	0.6712
41.20	0.6722
41.50	0.6731
41.70	0.6742
42.00	0.6755
42.20	0.6762
42.50	0.6776
42.70	0.6776
43.00	0.6793
43.20	0.6801
43.50	0.6812
43.70	0.6819
44.00	0.6834
44.20	0.6840
44.50	0.6849
44.70	0.6849
45.00	0.6869
45.20	0.6876
45.50	0.6889
45.70	0.6894
46.00	0.6904
46.20	0.6910
46.50	0.6919
46.70	0.6919
47.00	0.6935
47.20	0.6940
47.50	0.6949
47.70	0.6953
48.00	0.6961
48.20	0.6966
48.50	0.6975
48.70	0.6975
49.00	0.6986
49.20	0.6991
49.50	0.6996
49.70	0.7002
50.00	0.7008
50.20	0.7011
50.50	0.7018
50.70	0.7018
51.00	0.7029
51.20	0.7033
51.50	0.7038
51.70	0.7043
52.00	0.7048
52.20	0.7051
52.50	0.7055
52.70	0.7055
53.00	0.7066
53.20	0.7067
53.50	0.7072
53.70	0.7076
54.00	0.7080
54.20	0.7083
54.50	0.7088
54.70	0.7088
55.00	0.7096
55.20	0.7098
55.50	0.7103
55.70	0.7106
56.00	0.7111
56.20	0.7113
56.50	0.7117
56.70	0.7117
57.00	0.7126
57.20	0.7127
57.50	0.7130
57.70	0.7133
58.00	0.7137
58.20	0.7138
58.50	0.7144
58.70	0.7144
59.00	0.7148
59.20	0.7151
59.50	0.7156
59.70	0.7157
60.00	0.7160
60.20	0.7164
60.50	0.7168
60.70	0.7168
61.00	0.7172
61.20	0.7174
61.50	0.7178
61.70	0.7180
62.00	0.7184
62.20	0.7186
62.50	0.7189
62.70	0.7189
63.00	0.7194
63.20	0.7196
63.50	0.7199
63.70	0.7200
64.00	0.7205
64.20	0.7206
64.40	0.7209
64.70	0.7212
64.90	0.7215
65.20	0.7218
65.40	0.7220
65.70	0.7223
65.90	0.7225
66.20	0.7228
66.40	0.7229
66.70	0.7235
66.90	0.7237
67.20	0.7237
67.40	0.7240
67.70	0.7242
67.90	0.7242
68.20	0.7245
68.40	0.7248
68.70	0.7251
68.90	0.7252
69.20	0.7256
69.40	0.7258
69.70	0.7261
69.90	0.7261
70.20	0.7266
70.40	0.7267
70.70	0.7269
70.90	0.7271
71.20	0.7273
71.40	0.7277
71.70	0.7282
71.90	0.7282
72.20	0.7283
72.40	0.7285
72.70	0.7287
72.90	0.7288
73.20	0.7290
73.40	0.7292
73.70	0.7295
73.90	0.7295
74.20	0.7298
74.40	0.7299
74.70	0.7302
74.90	0.7304
75.20	0.7306
