Date : 8/10/2019	Time : 21:11:11	
C:\UVWINLAB\CG231U1.SP	
15.00	0.6209
15.20	0.6210
15.40	0.6211
15.60	0.6211
15.80	0.6214
16.00	0.6214
16.20	0.6216
16.40	0.6217
16.60	0.6216
16.80	0.6218
17.00	0.6219
17.20	0.6220
17.40	0.6220
17.60	0.6221
17.80	0.6222
18.00	0.6224
18.20	0.6224
18.40	0.6225
18.60	0.6225
18.80	0.6228
19.00	0.6230
19.20	0.6230
19.40	0.6232
19.60	0.6232
19.80	0.6233
20.00	0.6233
20.20	0.6234
20.40	0.6235
20.60	0.6237
20.80	0.6238
21.00	0.6240
21.20	0.6239
21.40	0.6242
21.60	0.6242
21.80	0.6246
22.00	0.6246
22.20	0.6247
22.40	0.6249
22.60	0.6251
22.80	0.6251
23.00	0.6253
23.20	0.6254
23.40	0.6255
23.60	0.6259
23.80	0.6259
24.00	0.6262
24.20	0.6263
24.40	0.6264
24.60	0.6266
24.80	0.6269
25.00	0.6271
25.20	0.6274
25.40	0.6274
25.60	0.6278
25.80	0.6278
26.00	0.6281
26.20	0.6279
26.40	0.6283
26.60	0.6284
26.80	0.6287
27.00	0.6289
27.20	0.6290
27.40	0.6294
27.60	0.6297
27.80	0.6298
28.00	0.6304
28.20	0.6303
28.40	0.6305
28.60	0.6307
28.80	0.6311
29.00	0.6315
29.20	0.6318
29.40	0.6319
29.60	0.6321
29.80	0.6325
30.00	0.6329
30.20	0.6332
30.40	0.6335
30.60	0.6339
30.80	0.6342
31.00	0.6344
31.20	0.6349
31.40	0.6353
31.60	0.6355
31.80	0.6357
32.00	0.6363
32.20	0.6367
32.50	0.6375
32.70	0.6378
33.00	0.6385
33.20	0.6389
33.50	0.6398
33.70	0.6401
34.00	0.6408
34.20	0.6413
34.50	0.6421
34.70	0.6427
35.00	0.6436
35.20	0.6437
35.50	0.6447
35.70	0.6454
36.00	0.6463
36.20	0.6468
36.50	0.6476
36.70	0.6484
37.00	0.6493
37.20	0.6500
37.50	0.6509
37.70	0.6517
38.00	0.6529
38.20	0.6535
38.50	0.6549
38.70	0.6558
39.00	0.6570
39.20	0.6578
39.50	0.6588
39.70	0.6594
40.00	0.6603
40.20	0.6612
40.50	0.6627
40.70	0.6627
41.00	0.6652
41.20	0.6662
41.50	0.6680
41.70	0.6691
42.00	0.6701
42.20	0.6712
42.50	0.6728
42.70	0.6728
43.00	0.6749
43.20	0.6760
43.50	0.6772
43.70	0.6784
44.00	0.6795
44.20	0.6808
44.50	0.6820
44.70	0.6820
45.00	0.6844
45.20	0.6853
45.50	0.6862
45.70	0.6870
46.00	0.6884
46.20	0.6893
46.50	0.6904
46.70	0.6904
47.00	0.6924
47.20	0.6929
47.50	0.6940
47.70	0.6948
48.00	0.6956
48.20	0.6962
48.50	0.6974
48.70	0.6974
49.00	0.6988
49.20	0.6993
49.50	0.7000
49.70	0.7007
50.00	0.7013
50.20	0.7017
50.50	0.7027
50.70	0.7027
51.00	0.7041
51.20	0.7044
51.50	0.7051
51.70	0.7054
52.00	0.7061
52.20	0.7064
52.50	0.7071
52.70	0.7071
53.00	0.7081
53.20	0.7083
53.50	0.7091
53.70	0.7095
54.00	0.7100
54.20	0.7104
54.50	0.7107
54.70	0.7107
55.00	0.7116
55.20	0.7120
55.50	0.7122
55.70	0.7123
56.00	0.7130
56.20	0.7133
56.50	0.7136
56.70	0.7136
57.00	0.7143
57.20	0.7146
57.50	0.7149
57.70	0.7153
58.00	0.7160
58.20	0.7164
58.50	0.7166
58.70	0.7166
59.00	0.7174
59.20	0.7175
59.50	0.7177
59.70	0.7181
60.00	0.7185
60.20	0.7187
60.50	0.7190
60.70	0.7190
61.00	0.7199
61.20	0.7200
61.50	0.7202
61.70	0.7207
62.00	0.7208
62.20	0.7212
62.50	0.7217
62.70	0.7217
63.00	0.7223
63.20	0.7225
63.50	0.7228
63.70	0.7228
64.00	0.7237
64.20	0.7238
64.40	0.7239
64.70	0.7243
64.90	0.7244
65.20	0.7250
65.40	0.7251
65.70	0.7254
65.90	0.7256
66.20	0.7260
66.40	0.7260
66.70	0.7266
66.90	0.7268
67.20	0.7270
67.40	0.7274
67.70	0.7277
67.90	0.7277
68.20	0.7283
68.40	0.7286
68.70	0.7289
68.90	0.7293
69.20	0.7294
69.40	0.7299
69.70	0.7302
69.90	0.7302
70.20	0.7304
70.40	0.7303
70.70	0.7306
70.90	0.7309
71.20	0.7314
71.40	0.7316
71.70	0.7319
71.90	0.7319
72.20	0.7323
72.40	0.7324
72.70	0.7325
72.90	0.7328
73.20	0.7330
73.40	0.7334
73.70	0.7335
73.90	0.7335
74.20	0.7339
74.40	0.7340
74.70	0.7343
74.90	0.7346
75.20	0.7348
75.40	0.7349
75.70	0.7352
75.90	0.7352
76.20	0.7356
76.40	0.7357
76.70	0.7359
76.90	0.7359
77.20	0.7363
77.40	0.7362
77.70	0.7368
77.90	0.7368
78.20	0.7370
78.40	0.7372
78.70	0.7372
78.90	0.7374
79.20	0.7378
79.40	0.7379
79.70	0.7381
79.90	0.7381
80.20	0.7384
80.40	0.7386
80.70	0.7389
80.90	0.7391
81.20	0.7393
81.40	0.7394
81.70	0.7397
81.90	0.7397
82.20	0.7401
82.40	0.7401
82.70	0.7402
82.90	0.7404
83.20	0.7406
83.40	0.7409
83.70	0.7410
83.90	0.7410
84.20	0.7413
84.40	0.7414
84.70	0.7416
84.90	0.7416
85.20	0.7421
85.40	0.7422
85.70	0.7425
85.90	0.7425
86.20	0.7427
86.40	0.7428
86.70	0.7431
86.90	0.7433
87.20	0.7435
87.40	0.7435
87.70	0.7436
87.90	0.7436
88.20	0.7442
88.40	0.7442
88.70	0.7445
88.90	0.7447
89.20	0.7447
89.40	0.7448
89.70	0.7450
89.90	0.7450
90.20	0.7454
90.40	0.7454
90.70	0.7456
90.90	0.7459
91.20	0.7460
91.40	0.7461
91.70	0.7461
91.90	0.7461
92.20	0.7467
92.40	0.7467
92.70	0.7470
92.90	0.7469
93.20	0.7471
