Date : 9/6/2019	Time : 10:24:01	
C:\UVWINLAB\DNA21U1.SP	
20.00	0.6601
20.20	0.6600
20.40	0.6601
20.60	0.6601
20.80	0.6597
21.00	0.6600
21.20	0.6600
21.40	0.6599
21.60	0.6600
21.80	0.6600
22.00	0.6601
22.20	0.6600
22.40	0.6600
22.60	0.6601
22.80	0.6601
23.00	0.6602
23.20	0.6601
23.40	0.6601
23.60	0.6601
23.80	0.6603
24.00	0.6602
24.20	0.6601
24.40	0.6600
24.60	0.6600
24.80	0.6600
25.00	0.6600
25.20	0.6602
25.40	0.6603
25.60	0.6602
25.80	0.6603
26.00	0.6604
26.20	0.6603
26.40	0.6605
26.60	0.6603
26.80	0.6605
27.00	0.6605
27.20	0.6604
27.40	0.6605
27.60	0.6605
27.80	0.6604
28.00	0.6604
28.20	0.6605
28.40	0.6606
28.60	0.6604
28.80	0.6605
29.00	0.6605
29.20	0.6606
29.40	0.6605
29.60	0.6605
29.80	0.6605
30.00	0.6608
30.20	0.6606
30.40	0.6606
30.60	0.6607
30.80	0.6608
31.00	0.6608
31.20	0.6608
31.40	0.6606
31.60	0.6608
31.80	0.6610
32.00	0.6608
32.20	0.6610
32.50	0.6611
32.70	0.6611
33.00	0.6611
33.20	0.6613
33.50	0.6614
33.70	0.6613
34.00	0.6618
34.20	0.6617
34.50	0.6619
34.70	0.6619
35.00	0.6620
35.20	0.6621
35.50	0.6624
35.70	0.6625
36.00	0.6626
36.20	0.6628
36.50	0.6629
36.70	0.6630
37.00	0.6633
37.20	0.6632
37.50	0.6634
37.70	0.6637
38.00	0.6639
38.20	0.6641
38.50	0.6643
38.70	0.6645
39.00	0.6648
39.20	0.6649
39.50	0.6651
39.70	0.6653
40.00	0.6654
40.20	0.6657
40.50	0.6658
40.70	0.6661
41.00	0.6664
41.20	0.6665
41.50	0.6668
41.70	0.6669
42.00	0.6674
42.20	0.6676
42.50	0.6678
42.70	0.6680
43.00	0.6682
43.20	0.6681
43.50	0.6686
43.70	0.6688
44.00	0.6693
44.20	0.6696
44.50	0.6700
44.70	0.6702
45.00	0.6708
45.20	0.6711
45.50	0.6713
45.70	0.6713
46.00	0.6723
46.20	0.6724
46.50	0.6730
46.70	0.6733
47.00	0.6739
47.20	0.6742
47.50	0.6746
47.70	0.6746
48.00	0.6756
48.20	0.6759
48.50	0.6764
48.70	0.6770
49.00	0.6778
49.20	0.6779
49.50	0.6787
49.70	0.6787
50.00	0.6797
50.20	0.6802
50.50	0.6809
50.70	0.6815
51.00	0.6821
51.20	0.6827
51.50	0.6835
51.70	0.6835
52.00	0.6851
52.20	0.6855
52.50	0.6865
52.70	0.6870
53.00	0.6878
53.20	0.6884
53.50	0.6891
53.70	0.6891
54.00	0.6911
54.20	0.6918
54.50	0.6926
54.70	0.6935
55.00	0.6946
55.20	0.6951
55.50	0.6963
55.70	0.6963
56.00	0.6989
56.20	0.6992
56.50	0.7003
56.70	0.7014
57.00	0.7025
57.20	0.7033
57.50	0.7046
57.70	0.7046
58.00	0.7078
58.20	0.7082
58.50	0.7093
58.70	0.7101
59.00	0.7116
59.20	0.7126
59.50	0.7137
59.70	0.7137
60.00	0.7163
60.20	0.7167
60.50	0.7182
60.70	0.7192
61.00	0.7208
61.20	0.7218
61.50	0.7229
61.70	0.7229
62.00	0.7252
62.20	0.7262
62.50	0.7276
62.70	0.7283
63.00	0.7296
63.20	0.7306
63.50	0.7316
63.70	0.7316
64.00	0.7336
64.20	0.7345
64.40	0.7353
64.70	0.7362
64.90	0.7374
65.20	0.7383
65.40	0.7391
65.70	0.7399
65.90	0.7408
66.20	0.7432
66.40	0.7440
66.70	0.7442
66.90	0.7455
67.20	0.7469
67.40	0.7471
67.70	0.7476
67.90	0.7482
68.20	0.7490
68.40	0.7496
68.70	0.7504
68.90	0.7510
69.20	0.7517
69.40	0.7524
69.70	0.7534
69.90	0.7543
70.20	0.7549
70.40	0.7554
70.70	0.7565
70.90	0.7567
71.20	0.7569
71.40	0.7569
71.70	0.7577
71.90	0.7583
72.20	0.7587
72.40	0.7591
72.70	0.7597
72.90	0.7597
73.20	0.7604
73.40	0.7609
73.70	0.7615
73.90	0.7616
74.20	0.7621
74.40	0.7624
74.70	0.7629
74.90	0.7629
75.20	0.7637
75.40	0.7640
75.70	0.7647
75.90	0.7649
76.20	0.7652
76.40	0.7657
76.70	0.7661
76.90	0.7661
77.20	0.7668
77.40	0.7671
77.70	0.7674
77.90	0.7678
78.20	0.7681
78.40	0.7683
78.70	0.7687
78.90	0.7687
79.20	0.7692
79.40	0.7693
79.70	0.7696
79.90	0.7699
80.20	0.7701
80.40	0.7704
80.70	0.7706
80.90	0.7706
81.20	0.7713
81.40	0.7716
81.70	0.7719
81.90	0.7719
82.20	0.7723
82.40	0.7723
82.70	0.7727
82.90	0.7727
83.20	0.7729
83.40	0.7729
83.70	0.7732
83.90	0.7732
84.20	0.7736
84.40	0.7736
84.70	0.7738
84.90	0.7738
85.20	0.7744
85.40	0.7744
85.70	0.7746
85.90	0.7749
86.20	0.7751
86.40	0.7751
86.70	0.7753
86.90	0.7753
87.20	0.7756
87.40	0.7759
87.70	0.7759
87.90	0.7761
88.20	0.7763
88.40	0.7762
88.70	0.7766
88.90	0.7766
89.20	0.7767
89.40	0.7769
89.70	0.7774
89.90	0.7776
90.20	0.7778
90.40	0.7780
90.70	0.7781
90.90	0.7781
91.20	0.7786
91.40	0.7785
91.70	0.7786
91.90	0.7787
92.20	0.7790
92.40	0.7790
92.70	0.7792
92.90	0.7792
93.20	0.7794
93.40	0.7796
93.70	0.7797
93.90	0.7798
94.20	0.7801
94.40	0.7803
94.70	0.7805
94.90	0.7805
95.20	0.7809
95.40	0.7806
95.70	0.7811
95.90	0.7813
96.20	0.7813
96.40	0.7811
96.70	0.7813
