Date : 8/6/2019	Time : 15:23:35	
C:\UVWINLAB\CG131U1.SP	
20.00	0.6023
20.20	0.6022
20.40	0.6022
20.60	0.6023
20.80	0.6023
21.00	0.6024
21.20	0.6024
21.40	0.6023
21.60	0.6023
21.80	0.6024
22.00	0.6024
22.20	0.6024
22.40	0.6024
22.60	0.6024
22.80	0.6025
23.00	0.6025
23.20	0.6026
23.40	0.6025
23.60	0.6026
23.80	0.6026
24.00	0.6026
24.20	0.6026
24.40	0.6026
24.60	0.6026
24.80	0.6026
25.00	0.6026
25.20	0.6026
25.40	0.6027
25.60	0.6026
25.80	0.6027
26.00	0.6027
26.20	0.6028
26.40	0.6029
26.60	0.6029
26.80	0.6028
27.00	0.6030
27.20	0.6031
27.40	0.6028
27.60	0.6031
27.80	0.6031
28.00	0.6031
28.20	0.6030
28.40	0.6031
28.60	0.6033
28.80	0.6033
29.00	0.6034
29.20	0.6035
29.40	0.6035
29.60	0.6034
29.80	0.6033
30.00	0.6034
30.20	0.6035
30.40	0.6035
30.60	0.6036
30.80	0.6036
31.00	0.6036
31.20	0.6038
31.40	0.6038
31.60	0.6038
31.80	0.6040
32.00	0.6040
32.20	0.6041
32.50	0.6042
32.70	0.6042
33.00	0.6042
33.20	0.6043
33.50	0.6044
33.70	0.6044
34.00	0.6044
34.20	0.6046
34.50	0.6046
34.70	0.6047
35.00	0.6048
35.20	0.6049
35.50	0.6050
35.70	0.6051
36.00	0.6052
36.20	0.6053
36.50	0.6053
36.70	0.6055
37.00	0.6057
37.20	0.6058
37.50	0.6059
37.70	0.6059
38.00	0.6061
38.20	0.6062
38.50	0.6063
38.70	0.6064
39.00	0.6067
39.20	0.6069
39.50	0.6070
39.70	0.6072
40.00	0.6074
40.20	0.6076
40.50	0.6078
40.70	0.6078
41.00	0.6080
41.20	0.6083
41.50	0.6083
41.70	0.6085
42.00	0.6089
42.20	0.6089
42.50	0.6094
42.70	0.6094
43.00	0.6099
43.20	0.6101
43.50	0.6102
43.70	0.6106
44.00	0.6112
44.20	0.6114
44.50	0.6117
44.70	0.6117
45.00	0.6124
45.20	0.6126
45.50	0.6131
45.70	0.6134
46.00	0.6139
46.20	0.6142
46.50	0.6147
46.70	0.6147
47.00	0.6157
47.20	0.6160
47.50	0.6168
47.70	0.6171
48.00	0.6178
48.20	0.6184
48.50	0.6190
48.70	0.6190
49.00	0.6204
49.20	0.6209
49.50	0.6221
49.70	0.6226
50.00	0.6235
50.20	0.6243
50.50	0.6251
50.70	0.6251
51.00	0.6272
51.20	0.6276
51.50	0.6292
51.70	0.6299
52.00	0.6311
52.20	0.6321
52.50	0.6333
52.70	0.6333
53.00	0.6359
53.20	0.6367
53.50	0.6386
53.70	0.6397
54.00	0.6412
54.20	0.6423
54.50	0.6440
54.70	0.6440
55.00	0.6472
55.20	0.6484
55.50	0.6506
55.70	0.6521
56.00	0.6542
56.20	0.6557
56.50	0.6576
56.70	0.6576
57.00	0.6613
57.20	0.6627
57.50	0.6652
57.70	0.6666
58.00	0.6692
58.20	0.6707
58.50	0.6729
58.70	0.6729
59.00	0.6763
59.20	0.6783
59.50	0.6805
59.70	0.6820
60.00	0.6842
60.20	0.6856
60.50	0.6875
60.70	0.6875
61.00	0.6910
61.20	0.6920
61.50	0.6942
61.70	0.6955
62.00	0.6975
62.20	0.6983
62.50	0.7002
62.70	0.7002
63.00	0.7027
63.20	0.7033
63.50	0.7048
63.70	0.7057
64.00	0.7072
64.20	0.7076
64.40	0.7081
64.70	0.7094
64.90	0.7098
65.20	0.7107
65.40	0.7113
65.70	0.7120
65.90	0.7127
66.20	0.7132
66.40	0.7141
66.70	0.7147
66.90	0.7153
67.20	0.7157
67.40	0.7162
67.70	0.7167
67.90	0.7167
68.20	0.7175
68.40	0.7179
68.70	0.7184
68.90	0.7185
69.20	0.7191
69.40	0.7197
69.70	0.7200
69.90	0.7200
70.20	0.7206
70.40	0.7208
70.70	0.7213
70.90	0.7216
71.20	0.7220
71.40	0.7222
71.70	0.7227
71.90	0.7227
72.20	0.7230
72.40	0.7235
72.70	0.7237
72.90	0.7240
73.20	0.7244
73.40	0.7245
73.70	0.7248
73.90	0.7248
74.20	0.7256
74.40	0.7259
74.70	0.7263
74.90	0.7265
75.20	0.7267
75.40	0.7266
75.70	0.7269
75.90	0.7269
76.20	0.7275
76.40	0.7277
76.70	0.7281
76.90	0.7283
77.20	0.7288
77.40	0.7289
77.70	0.7292
77.90	0.7292
78.20	0.7299
78.40	0.7306
78.70	0.7314
78.90	0.7315
79.20	0.7318
79.40	0.7323
79.70	0.7320
79.90	0.7320
80.20	0.7329
80.40	0.7331
80.70	0.7328
80.90	0.7335
81.20	0.7337
81.40	0.7337
81.70	0.7343
81.90	0.7343
82.20	0.7343
82.40	0.7346
82.70	0.7343
82.90	0.7342
83.20	0.7345
83.40	0.7347
83.70	0.7349
83.90	0.7349
84.20	0.7353
84.40	0.7353
84.70	0.7355
84.90	0.7358
85.20	0.7361
85.40	0.7361
85.70	0.7362
85.90	0.7362
