Date : 9/12/2019	Time : 14:02:41	
C:\UVWINLAB\DNA41U1.SP	
35.10	0.6300
35.40	0.6300
35.60	0.6298
35.90	0.6301
36.10	0.6301
36.40	0.6302
36.60	0.6304
36.90	0.6304
37.10	0.6305
37.40	0.6305
37.60	0.6307
37.90	0.6310
38.10	0.6310
38.40	0.6310
38.60	0.6312
38.90	0.6315
39.10	0.6314
39.40	0.6316
39.60	0.6319
39.90	0.6322
40.10	0.6322
40.40	0.6325
40.60	0.6325
40.90	0.6329
41.10	0.6329
41.40	0.6332
41.60	0.6333
41.90	0.6335
42.10	0.6335
42.40	0.6340
42.60	0.6341
42.90	0.6344
43.10	0.6344
43.40	0.6347
43.60	0.6350
43.90	0.6356
44.10	0.6356
44.40	0.6365
44.60	0.6367
44.90	0.6371
45.10	0.6373
45.40	0.6380
45.60	0.6383
45.90	0.6389
46.10	0.6389
46.40	0.6396
46.60	0.6400
46.90	0.6407
47.10	0.6409
47.40	0.6416
47.60	0.6418
47.90	0.6427
48.10	0.6427
48.40	0.6439
48.60	0.6446
48.90	0.6453
49.10	0.6461
49.40	0.6468
49.60	0.6473
49.90	0.6482
50.10	0.6482
50.40	0.6502
50.60	0.6508
50.90	0.6521
51.10	0.6528
51.40	0.6541
51.60	0.6549
51.90	0.6561
52.10	0.6561
52.40	0.6586
52.60	0.6596
52.90	0.6609
53.10	0.6621
53.40	0.6636
53.60	0.6647
53.90	0.6666
54.10	0.6666
54.40	0.6696
54.60	0.6706
54.90	0.6725
55.10	0.6741
55.40	0.6758
55.60	0.6775
55.90	0.6797
56.10	0.6797
56.40	0.6830
56.60	0.6852
56.90	0.6867
57.10	0.6883
57.40	0.6904
57.60	0.6919
57.90	0.6940
58.10	0.6940
58.40	0.6981
58.60	0.6998
58.90	0.7021
59.10	0.7035
59.40	0.7055
59.60	0.7074
59.90	0.7095
60.10	0.7095
60.40	0.7125
60.60	0.7141
60.90	0.7156
61.10	0.7170
61.40	0.7187
61.60	0.7200
61.90	0.7216
62.10	0.7216
62.40	0.7247
62.60	0.7256
62.90	0.7269
63.10	0.7281
63.40	0.7292
63.60	0.7298
63.90	0.7310
64.10	0.7310
64.30	0.7326
64.50	0.7326
64.70	0.7335
64.90	0.7339
65.20	0.7346
65.40	0.7352
65.70	0.7360
65.90	0.7364
66.20	0.7372
66.40	0.7381
66.70	0.7385
66.90	0.7391
67.20	0.7394
67.40	0.7397
67.70	0.7402
67.90	0.7404
68.20	0.7409
68.40	0.7415
68.70	0.7417
68.90	0.7421
69.20	0.7428
69.40	0.7430
69.70	0.7434
69.90	0.7435
70.20	0.7441
70.40	0.7443
70.70	0.7446
70.90	0.7450
71.20	0.7451
71.40	0.7453
71.70	0.7456
71.90	0.7459
72.20	0.7461
72.40	0.7463
72.70	0.7467
72.90	0.7467
73.20	0.7472
73.40	0.7476
73.70	0.7480
73.90	0.7481
74.20	0.7486
74.40	0.7486
74.70	0.7489
74.90	0.7489
75.20	0.7495
75.40	0.7494
75.70	0.7499
75.90	0.7500
76.20	0.7505
76.40	0.7511
76.70	0.7513
76.90	0.7513
77.20	0.7514
77.40	0.7517
77.70	0.7518
77.90	0.7517
78.20	0.7521
78.40	0.7523
78.70	0.7526
78.90	0.7526
79.20	0.7531
79.40	0.7534
79.70	0.7538
79.90	0.7538
80.20	0.7542
80.40	0.7546
80.70	0.7550
80.90	0.7550
81.20	0.7551
81.40	0.7554
81.70	0.7556
81.90	0.7558
82.20	0.7560
82.40	0.7564
82.70	0.7567
82.90	0.7567
83.20	0.7570
83.40	0.7572
83.70	0.7575
83.90	0.7576
84.20	0.7579
84.40	0.7581
84.70	0.7587
84.90	0.7587
85.20	0.7590
85.40	0.7591
85.70	0.7592
85.90	0.7594
86.20	0.7598
86.40	0.7599
86.70	0.7600
86.90	0.7600
87.20	0.7605
87.40	0.7607
87.70	0.7609
87.90	0.7609
88.20	0.7613
88.40	0.7614
88.70	0.7617
88.90	0.7617
89.20	0.7623
89.40	0.7624
89.70	0.7630
89.90	0.7630
90.20	0.7632
90.40	0.7633
90.70	0.7634
90.90	0.7634
91.20	0.7637
91.40	0.7640
91.70	0.7640
91.90	0.7639
92.20	0.7644
92.40	0.7644
92.70	0.7647
92.90	0.7647
93.20	0.7652
93.40	0.7651
93.70	0.7654
93.90	0.7656
94.20	0.7659
94.40	0.7659
94.70	0.7664
94.90	0.7664
95.20	0.7668
95.40	0.7673
95.70	0.7672
95.90	0.7670
96.20	0.7670
96.40	0.7672
96.70	0.7675
96.90	0.7675
97.20	0.7676
