Date : 8/6/2019	Time : 19:04:40	
C:\UVWINLAB\CG171U1.SP	
30.00	0.5829
30.20	0.5827
30.40	0.5827
30.60	0.5828
30.80	0.5828
31.00	0.5829
31.20	0.5829
31.40	0.5828
31.60	0.5829
31.80	0.5830
32.00	0.5829
32.20	0.5829
32.50	0.5831
32.70	0.5830
33.00	0.5832
33.20	0.5832
33.50	0.5831
33.70	0.5832
34.00	0.5833
34.20	0.5832
34.50	0.5832
34.70	0.5832
35.00	0.5834
35.20	0.5834
35.50	0.5834
35.70	0.5834
36.00	0.5833
36.20	0.5835
36.50	0.5834
36.70	0.5833
37.00	0.5834
37.20	0.5834
37.50	0.5835
37.70	0.5833
38.00	0.5836
38.20	0.5836
38.50	0.5836
38.70	0.5836
39.00	0.5837
39.20	0.5838
39.50	0.5839
39.70	0.5839
40.00	0.5838
40.20	0.5840
40.50	0.5841
40.70	0.5841
41.00	0.5841
41.20	0.5843
41.50	0.5841
41.70	0.5844
42.00	0.5844
42.20	0.5843
42.50	0.5846
42.70	0.5846
43.00	0.5847
43.20	0.5846
43.50	0.5848
43.70	0.5849
44.00	0.5851
44.20	0.5850
44.50	0.5851
44.70	0.5851
45.00	0.5855
45.20	0.5857
45.50	0.5857
45.70	0.5858
46.00	0.5859
46.20	0.5859
46.50	0.5860
46.70	0.5860
47.00	0.5864
47.20	0.5866
47.50	0.5869
47.70	0.5870
48.00	0.5872
48.20	0.5870
48.50	0.5877
48.70	0.5877
49.00	0.5877
49.20	0.5881
49.50	0.5883
49.70	0.5887
50.00	0.5892
50.20	0.5891
50.50	0.5894
50.70	0.5894
51.00	0.5901
51.20	0.5904
51.50	0.5907
51.70	0.5910
52.00	0.5915
52.20	0.5916
52.50	0.5922
52.70	0.5922
53.00	0.5929
53.20	0.5932
53.50	0.5940
53.70	0.5942
54.00	0.5947
54.20	0.5950
54.50	0.5958
54.70	0.5958
55.00	0.5968
55.20	0.5973
55.50	0.5980
55.70	0.5983
56.00	0.5992
56.20	0.5996
56.50	0.6004
56.70	0.6004
57.00	0.6020
57.20	0.6026
57.50	0.6036
57.70	0.6043
58.00	0.6054
58.20	0.6060
58.50	0.6069
58.70	0.6069
59.00	0.6088
59.20	0.6099
59.50	0.6106
59.70	0.6120
60.00	0.6133
60.20	0.6139
60.50	0.6155
60.70	0.6155
61.00	0.6179
61.20	0.6188
61.50	0.6203
61.70	0.6214
62.00	0.6230
62.20	0.6242
62.50	0.6258
62.70	0.6258
63.00	0.6284
63.20	0.6298
63.50	0.6314
63.70	0.6326
64.00	0.6341
64.20	0.6359
64.40	0.6368
64.70	0.6385
64.90	0.6397
65.20	0.6416
65.40	0.6428
65.70	0.6447
65.90	0.6458
66.20	0.6473
66.40	0.6485
66.70	0.6502
66.90	0.6511
67.20	0.6529
67.40	0.6536
67.70	0.6554
67.90	0.6554
68.20	0.6576
68.40	0.6588
68.70	0.6599
68.90	0.6608
69.20	0.6618
69.40	0.6626
69.70	0.6640
69.90	0.6640
70.20	0.6657
70.40	0.6664
70.70	0.6672
70.90	0.6678
71.20	0.6686
71.40	0.6691
71.70	0.6698
71.90	0.6698
72.20	0.6710
72.40	0.6713
72.70	0.6721
72.90	0.6727
73.20	0.6732
73.40	0.6734
73.70	0.6740
73.90	0.6740
74.20	0.6747
74.40	0.6749
74.70	0.6753
74.90	0.6756
75.20	0.6762
75.40	0.6763
75.70	0.6768
75.90	0.6768
76.20	0.6774
76.40	0.6777
76.70	0.6779
76.90	0.6781
77.20	0.6786
77.40	0.6787
77.70	0.6788
77.90	0.6788
78.20	0.6793
78.40	0.6797
78.70	0.6799
78.90	0.6801
79.20	0.6804
79.40	0.6805
79.70	0.6807
79.90	0.6807
80.20	0.6811
80.40	0.6812
80.70	0.6814
80.90	0.6817
81.20	0.6822
81.40	0.6822
81.70	0.6824
81.90	0.6824
82.20	0.6829
82.40	0.6831
82.70	0.6833
82.90	0.6832
83.20	0.6838
83.40	0.6840
83.70	0.6840
83.90	0.6840
84.20	0.6844
84.40	0.6844
84.70	0.6849
84.90	0.6851
85.20	0.6852
85.40	0.6853
85.70	0.6857
85.90	0.6857
86.20	0.6861
86.40	0.6862
86.70	0.6860
86.90	0.6863
87.20	0.6865
87.40	0.6869
87.70	0.6870
87.90	0.6870
88.20	0.6874
88.40	0.6875
88.70	0.6877
88.90	0.6878
89.20	0.6880
89.40	0.6881
89.70	0.6885
89.90	0.6885
90.20	0.6886
90.40	0.6888
90.70	0.6888
90.90	0.6891
91.20	0.6892
91.40	0.6893
91.70	0.6894
91.90	0.6894
92.20	0.6898
92.40	0.6898
92.70	0.6900
92.90	0.6903
93.20	0.6905
93.40	0.6906
93.70	0.6910
93.90	0.6910
94.20	0.6911
94.40	0.6914
94.70	0.6915
94.90	0.6916
95.20	0.6917
