Date : 9/18/2019	Time : 18:24:04	
C:\UVWINLAB\DNA21U1.SP	
19.40	0.6838
19.60	0.6837
19.80	0.6836
20.00	0.6835
20.20	0.6834
20.40	0.6835
20.60	0.6837
20.80	0.6835
21.00	0.6835
21.20	0.6835
21.40	0.6836
21.60	0.6837
21.80	0.6838
22.00	0.6837
22.20	0.6836
22.40	0.6837
22.60	0.6839
22.80	0.6840
23.00	0.6840
23.20	0.6841
23.40	0.6842
23.60	0.6841
23.80	0.6842
24.00	0.6841
24.20	0.6842
24.40	0.6843
24.60	0.6843
24.80	0.6845
25.00	0.6845
25.20	0.6845
25.40	0.6847
25.60	0.6849
25.80	0.6847
26.00	0.6848
26.20	0.6850
26.40	0.6852
26.60	0.6852
26.80	0.6855
27.00	0.6854
27.20	0.6854
27.40	0.6858
27.60	0.6855
27.80	0.6857
28.00	0.6859
28.20	0.6859
28.40	0.6860
28.60	0.6863
28.80	0.6861
29.00	0.6863
29.20	0.6865
29.40	0.6864
29.60	0.6867
29.80	0.6867
30.00	0.6868
30.20	0.6870
30.40	0.6870
30.60	0.6872
30.80	0.6874
31.00	0.6872
31.20	0.6874
31.40	0.6875
31.60	0.6878
31.80	0.6878
32.00	0.6880
32.20	0.6880
32.50	0.6881
32.70	0.6883
33.00	0.6884
33.20	0.6886
33.50	0.6889
33.70	0.6891
34.00	0.6895
34.20	0.6896
34.50	0.6900
34.70	0.6901
35.00	0.6903
35.20	0.6906
35.50	0.6909
35.70	0.6910
36.00	0.6915
36.20	0.6916
36.50	0.6919
36.70	0.6923
37.00	0.6926
37.20	0.6925
37.50	0.6928
37.70	0.6933
38.00	0.6937
38.20	0.6937
38.50	0.6942
38.70	0.6943
39.00	0.6948
39.20	0.6949
39.50	0.6953
39.70	0.6952
40.00	0.6957
40.20	0.6959
40.50	0.6966
40.70	0.6966
41.00	0.6973
41.20	0.6978
41.50	0.6982
41.70	0.6985
42.00	0.6989
42.20	0.6992
42.50	0.6993
42.70	0.6993
43.00	0.7002
43.20	0.7007
43.50	0.7014
43.70	0.7015
44.00	0.7017
44.20	0.7022
44.50	0.7028
44.70	0.7028
45.00	0.7041
45.20	0.7047
45.50	0.7052
45.70	0.7053
46.00	0.7063
46.20	0.7070
46.50	0.7076
46.70	0.7076
47.00	0.7088
47.20	0.7095
47.50	0.7100
47.70	0.7106
48.00	0.7112
48.20	0.7118
48.50	0.7125
48.70	0.7125
49.00	0.7136
49.20	0.7145
49.50	0.7152
49.70	0.7156
50.00	0.7166
50.20	0.7172
50.50	0.7182
50.70	0.7182
51.00	0.7200
51.20	0.7204
51.50	0.7211
51.70	0.7220
52.00	0.7230
52.20	0.7235
52.50	0.7246
52.70	0.7246
53.00	0.7264
53.20	0.7268
53.50	0.7279
53.70	0.7287
54.00	0.7299
54.20	0.7305
54.50	0.7317
54.70	0.7317
55.00	0.7335
55.20	0.7344
55.50	0.7354
55.70	0.7364
56.00	0.7377
56.20	0.7384
56.50	0.7396
56.70	0.7396
57.00	0.7418
57.20	0.7423
57.50	0.7435
57.70	0.7444
58.00	0.7460
58.20	0.7467
58.50	0.7478
58.70	0.7478
59.00	0.7496
59.20	0.7502
59.50	0.7513
59.70	0.7523
60.00	0.7533
60.20	0.7541
60.50	0.7553
60.70	0.7553
61.00	0.7573
61.20	0.7578
61.50	0.7589
61.70	0.7597
62.00	0.7607
62.20	0.7613
62.50	0.7623
62.70	0.7623
63.00	0.7639
63.20	0.7644
63.50	0.7655
63.70	0.7658
64.00	0.7668
64.20	0.7676
64.40	0.7680
64.70	0.7688
64.90	0.7694
65.20	0.7701
65.40	0.7705
65.70	0.7711
65.90	0.7719
66.20	0.7726
66.40	0.7728
66.70	0.7736
66.90	0.7741
67.20	0.7746
67.40	0.7750
67.70	0.7755
67.90	0.7755
68.20	0.7765
68.40	0.7767
