Date : 9/13/2019	Time : 10:05:07	
C:\UVWINLAB\DNA01U1.SP	
24.00	0.6532
24.20	0.6531
24.40	0.6532
24.60	0.6534
24.80	0.6532
25.00	0.6532
25.20	0.6534
25.40	0.6534
25.60	0.6536
25.80	0.6534
26.00	0.6535
26.20	0.6536
26.40	0.6537
26.60	0.6536
26.80	0.6535
27.00	0.6536
27.20	0.6537
27.40	0.6535
27.60	0.6536
27.80	0.6534
28.00	0.6535
28.20	0.6534
28.40	0.6535
28.60	0.6536
28.80	0.6535
29.00	0.6538
29.20	0.6537
29.40	0.6537
29.60	0.6539
29.80	0.6539
30.00	0.6539
30.20	0.6539
30.40	0.6540
30.60	0.6541
30.80	0.6539
31.00	0.6539
31.20	0.6540
31.40	0.6540
31.60	0.6540
31.80	0.6540
32.00	0.6540
32.20	0.6540
32.50	0.6540
32.70	0.6541
33.00	0.6539
33.20	0.6541
33.50	0.6541
33.70	0.6541
34.00	0.6541
34.20	0.6542
34.50	0.6542
34.70	0.6543
35.00	0.6543
35.20	0.6544
35.50	0.6543
35.70	0.6546
36.00	0.6546
36.20	0.6548
36.50	0.6548
36.70	0.6549
37.00	0.6548
37.20	0.6549
37.50	0.6550
37.70	0.6552
38.00	0.6551
38.20	0.6553
38.50	0.6553
38.70	0.6555
39.00	0.6554
39.20	0.6555
39.50	0.6557
39.70	0.6558
40.00	0.6560
40.20	0.6561
40.50	0.6562
40.70	0.6564
41.00	0.6566
41.20	0.6568
41.50	0.6567
41.70	0.6569
42.00	0.6570
42.20	0.6573
42.50	0.6575
42.70	0.6576
43.00	0.6576
43.20	0.6579
43.50	0.6581
43.70	0.6585
44.00	0.6585
44.20	0.6586
44.50	0.6591
44.70	0.6592
45.00	0.6595
45.20	0.6596
45.50	0.6602
45.70	0.6602
46.00	0.6604
46.20	0.6609
46.50	0.6611
46.70	0.6614
47.00	0.6618
47.20	0.6622
47.50	0.6626
47.70	0.6629
48.00	0.6635
48.20	0.6637
48.50	0.6641
48.70	0.6645
49.00	0.6651
49.20	0.6653
49.50	0.6658
49.70	0.6658
50.00	0.6669
50.20	0.6674
50.50	0.6680
50.70	0.6687
51.00	0.6695
51.20	0.6700
51.50	0.6710
51.70	0.6710
52.00	0.6724
52.20	0.6729
52.50	0.6739
52.70	0.6745
53.00	0.6758
53.20	0.6763
53.50	0.6777
53.70	0.6777
54.00	0.6796
54.20	0.6803
54.50	0.6816
54.70	0.6826
55.00	0.6840
55.20	0.6851
55.50	0.6865
55.70	0.6865
56.00	0.6896
56.20	0.6905
56.50	0.6923
56.70	0.6934
57.00	0.6955
57.20	0.6968
57.50	0.6986
57.70	0.6986
58.00	0.7013
58.20	0.7026
58.50	0.7045
58.70	0.7061
59.00	0.7083
59.20	0.7095
59.50	0.7120
59.70	0.7120
60.00	0.7154
60.20	0.7168
60.50	0.7188
60.70	0.7204
61.00	0.7230
61.20	0.7241
61.50	0.7263
61.70	0.7263
62.00	0.7296
62.20	0.7309
62.50	0.7328
62.70	0.7339
63.00	0.7360
63.20	0.7371
63.50	0.7391
63.70	0.7391
64.00	0.7418
64.20	0.7428
64.40	0.7436
64.70	0.7451
64.90	0.7464
65.20	0.7477
65.40	0.7484
65.70	0.7495
65.90	0.7504
66.20	0.7515
66.40	0.7521
66.70	0.7533
66.90	0.7538
67.20	0.7549
67.40	0.7554
67.70	0.7562
67.90	0.7567
68.20	0.7576
68.40	0.7580
68.70	0.7587
68.90	0.7591
69.20	0.7596
69.40	0.7601
69.70	0.7607
69.90	0.7610
70.20	0.7615
70.40	0.7618
70.70	0.7620
70.90	0.7623
71.20	0.7630
71.40	0.7632
71.70	0.7636
71.90	0.7637
72.20	0.7640
72.40	0.7644
72.70	0.7647
72.90	0.7649
73.20	0.7653
73.40	0.7654
73.70	0.7655
73.90	0.7658
74.20	0.7660
74.40	0.7663
74.70	0.7665
74.90	0.7666
75.20	0.7669
75.40	0.7671
75.70	0.7674
75.90	0.7674
76.20	0.7677
76.40	0.7678
76.70	0.7677
76.90	0.7677
77.20	0.7681
77.40	0.7682
77.70	0.7685
77.90	0.7687
78.20	0.7689
78.40	0.7691
78.70	0.7690
78.90	0.7690
79.20	0.7695
79.40	0.7695
79.70	0.7697
79.90	0.7699
80.20	0.7701
80.40	0.7702
80.70	0.7704
80.90	0.7704
81.20	0.7708
81.40	0.7708
81.70	0.7711
81.90	0.7709
82.20	0.7711
82.40	0.7713
82.70	0.7715
82.90	0.7715
83.20	0.7717
83.40	0.7720
83.70	0.7722
83.90	0.7725
84.20	0.7724
84.40	0.7726
84.70	0.7729
84.90	0.7729
85.20	0.7730
85.40	0.7734
85.70	0.7733
85.90	0.7734
86.20	0.7736
86.40	0.7737
86.70	0.7738
86.90	0.7738
87.20	0.7741
87.40	0.7743
87.70	0.7745
87.90	0.7744
88.20	0.7746
88.40	0.7747
88.70	0.7749
88.90	0.7749
89.20	0.7750
89.40	0.7751
89.70	0.7752
89.90	0.7754
90.20	0.7755
90.40	0.7756
90.70	0.7758
90.90	0.7758
91.20	0.7760
91.40	0.7761
91.70	0.7763
91.90	0.7764
92.20	0.7764
92.40	0.7767
92.70	0.7764
92.90	0.7764
93.20	0.7768
93.40	0.7769
93.70	0.7770
93.90	0.7771
94.20	0.7773
94.40	0.7775
94.70	0.7777
94.90	0.7777
95.20	0.7776
95.40	0.7779
95.70	0.7780
95.90	0.7778
96.20	0.7782
96.40	0.7782
96.70	0.7783
96.90	0.7783
97.20	0.7785
97.40	0.7785
97.70	0.7786
