Date : 9/12/2019	Time : 12:27:25	
C:\UVWINLAB\DNA21U1.SP	
21.00	0.6695
21.20	0.6698
21.40	0.6698
21.60	0.6700
21.80	0.6701
22.00	0.6700
22.20	0.6701
22.40	0.6702
22.60	0.6704
22.80	0.6706
23.00	0.6710
23.20	0.6710
23.40	0.6709
23.60	0.6712
23.80	0.6714
24.00	0.6714
24.20	0.6717
24.40	0.6718
24.60	0.6721
24.80	0.6720
25.00	0.6723
25.20	0.6723
25.40	0.6724
25.60	0.6727
25.80	0.6728
26.00	0.6728
26.20	0.6732
26.40	0.6732
26.60	0.6735
26.80	0.6736
27.00	0.6738
27.20	0.6740
27.40	0.6742
27.60	0.6745
27.80	0.6746
28.00	0.6748
28.20	0.6752
28.40	0.6750
28.60	0.6755
28.80	0.6757
29.00	0.6760
29.20	0.6760
29.40	0.6763
29.60	0.6768
29.80	0.6770
30.00	0.6774
30.20	0.6774
30.40	0.6777
30.60	0.6778
30.80	0.6781
31.00	0.6783
31.20	0.6782
31.40	0.6788
31.60	0.6792
31.80	0.6794
32.00	0.6796
32.20	0.6800
32.50	0.6803
32.70	0.6809
33.00	0.6810
33.20	0.6815
33.50	0.6820
33.70	0.6825
34.00	0.6832
34.20	0.6836
34.50	0.6842
34.70	0.6846
35.00	0.6854
35.20	0.6858
35.50	0.6865
35.70	0.6869
36.00	0.6877
36.20	0.6881
36.50	0.6888
36.70	0.6891
37.00	0.6900
37.20	0.6904
37.50	0.6913
37.70	0.6920
38.00	0.6928
38.20	0.6937
38.50	0.6946
38.70	0.6954
39.00	0.6963
39.20	0.6971
39.50	0.6981
39.70	0.6987
40.00	0.6998
40.20	0.7006
40.50	0.7016
40.70	0.7025
41.00	0.7036
41.20	0.7043
41.50	0.7054
41.70	0.7064
42.00	0.7077
42.20	0.7084
42.50	0.7096
42.70	0.7101
43.00	0.7108
43.20	0.7112
43.50	0.7129
43.70	0.7129
44.00	0.7154
44.20	0.7166
44.50	0.7179
44.70	0.7189
45.00	0.7204
45.20	0.7213
45.50	0.7228
45.70	0.7228
46.00	0.7252
46.20	0.7259
46.50	0.7272
46.70	0.7284
47.00	0.7295
47.20	0.7305
47.50	0.7319
47.70	0.7319
48.00	0.7339
48.20	0.7349
48.50	0.7359
48.70	0.7369
49.00	0.7378
49.20	0.7387
49.50	0.7397
49.70	0.7397
50.00	0.7415
50.20	0.7424
50.50	0.7433
50.70	0.7441
51.00	0.7451
51.20	0.7455
51.50	0.7466
51.70	0.7466
52.00	0.7479
52.20	0.7484
52.50	0.7491
52.70	0.7497
53.00	0.7504
53.20	0.7508
53.50	0.7516
53.70	0.7516
54.00	0.7528
54.20	0.7534
54.50	0.7539
54.70	0.7542
55.00	0.7553
55.20	0.7557
55.50	0.7564
55.70	0.7564
56.00	0.7575
56.20	0.7580
56.50	0.7583
56.70	0.7588
57.00	0.7591
57.20	0.7593
57.50	0.7598
57.70	0.7598
58.00	0.7607
58.20	0.7609
58.50	0.7616
58.70	0.7617
59.00	0.7622
59.20	0.7626
59.50	0.7628
59.70	0.7628
60.00	0.7636
60.20	0.7638
60.50	0.7644
60.70	0.7645
61.00	0.7651
61.20	0.7653
61.50	0.7656
61.70	0.7656
62.00	0.7664
62.20	0.7665
62.50	0.7671
62.70	0.7674
63.00	0.7677
63.20	0.7678
63.50	0.7683
63.70	0.7683
64.00	0.7689
64.20	0.7691
64.40	0.7692
64.70	0.7695
64.90	0.7696
65.20	0.7703
65.40	0.7705
65.70	0.7709
65.90	0.7712
66.20	0.7713
66.40	0.7714
66.70	0.7718
66.90	0.7722
67.20	0.7723
67.40	0.7726
67.70	0.7729
67.90	0.7731
68.20	0.7736
68.40	0.7737
68.70	0.7738
68.90	0.7740
69.20	0.7745
69.40	0.7747
69.70	0.7750
69.90	0.7750
70.20	0.7754
70.40	0.7757
70.70	0.7757
70.90	0.7757
71.20	0.7762
71.40	0.7764
71.70	0.7766
71.90	0.7768
72.20	0.7771
72.40	0.7772
72.70	0.7775
72.90	0.7775
73.20	0.7780
73.40	0.7777
73.70	0.7782
73.90	0.7784
74.20	0.7786
74.40	0.7786
74.70	0.7790
74.90	0.7790
75.20	0.7795
75.40	0.7795
75.70	0.7794
75.90	0.7798
76.20	0.7799
76.40	0.7799
76.70	0.7802
76.90	0.7802
77.20	0.7805
