Date : 9/13/2019	Time : 20:30:53	
C:\UVWINLAB\DNA161U1.SP	
22.40	-0.0002
22.60	-0.0002
22.80	-0.0001
23.00	-0.0003
23.20	-0.0002
23.40	-0.0003
23.60	-0.0002
23.80	-0.0002
24.00	-0.0001
24.20	0.0000
24.40	-0.0002
24.60	-0.0001
24.80	-0.0002
25.00	-0.0002
25.20	0.0001
25.40	-0.0001
25.60	-0.0001
25.80	0.0000
26.00	0.0000
26.20	0.0000
26.40	0.0001
26.60	0.0002
26.80	0.0002
27.00	0.0000
27.20	0.0000
27.40	0.0000
27.60	0.0000
27.80	0.0002
28.00	0.0000
28.20	0.0001
28.40	0.0002
28.60	0.0002
28.80	0.0001
29.00	0.0002
29.20	0.0001
29.40	0.0002
29.60	0.0002
29.80	0.0003
30.00	0.0004
30.20	0.0003
30.40	0.0003
30.60	0.0005
30.80	0.0004
31.00	0.0003
31.20	0.0002
31.40	0.0002
31.60	0.0004
31.80	0.0005
32.00	0.0004
32.20	0.0005
32.50	0.0006
32.70	0.0006
33.00	0.0005
33.20	0.0006
33.50	0.0007
33.70	0.0007
34.00	0.0007
34.20	0.0008
34.50	0.0006
34.70	0.0007
35.00	0.0010
35.20	0.0009
35.50	0.0011
35.70	0.0009
36.00	0.0010
36.20	0.0011
36.50	0.0012
36.70	0.0012
37.00	0.0014
37.20	0.0013
37.50	0.0014
37.70	0.0014
38.00	0.0015
38.20	0.0014
38.50	0.0016
38.70	0.0014
39.00	0.0018
39.20	0.0020
39.50	0.0019
39.70	0.0018
40.00	0.0019
40.20	0.0020
40.50	0.0023
40.70	0.0022
41.00	0.0023
41.20	0.0025
41.50	0.0025
41.70	0.0026
42.00	0.0026
42.20	0.0026
42.50	0.0029
42.70	0.0029
43.00	0.0030
43.20	0.0031
43.50	0.0033
43.70	0.0034
44.00	0.0034
44.20	0.0036
44.50	0.0039
44.70	0.0038
45.00	0.0040
45.20	0.0040
45.50	0.0043
45.70	0.0043
46.00	0.0047
46.20	0.0046
46.50	0.0048
46.70	0.0050
47.00	0.0053
47.20	0.0054
47.50	0.0055
47.70	0.0055
48.00	0.0060
48.20	0.0061
48.50	0.0064
48.70	0.0066
49.00	0.0070
49.20	0.0071
49.50	0.0074
49.70	0.0074
50.00	0.0078
50.20	0.0081
50.50	0.0084
50.70	0.0086
51.00	0.0092
51.20	0.0092
51.50	0.0097
51.70	0.0097
52.00	0.0102
52.20	0.0106
52.50	0.0112
52.70	0.0114
53.00	0.0119
53.20	0.0122
53.50	0.0128
53.70	0.0128
54.00	0.0137
54.20	0.0142
54.50	0.0147
54.70	0.0149
55.00	0.0159
55.20	0.0162
55.50	0.0169
55.70	0.0169
56.00	0.0181
56.20	0.0189
56.50	0.0195
56.70	0.0201
57.00	0.0210
57.20	0.0214
57.50	0.0224
57.70	0.0224
58.00	0.0240
58.20	0.0246
58.50	0.0256
58.70	0.0262
59.00	0.0274
59.20	0.0284
59.50	0.0293
59.70	0.0293
60.00	0.0312
60.20	0.0322
60.50	0.0339
60.70	0.0351
61.00	0.0361
61.20	0.0371
61.50	0.0391
61.70	0.0391
62.00	0.0411
62.20	0.0421
62.50	0.0434
62.70	0.0446
63.00	0.0461
63.20	0.0471
63.50	0.0490
63.70	0.0490
64.00	0.0517
64.20	0.0526
64.40	0.0537
64.70	0.0554
64.90	0.0564
65.20	0.0583
65.40	0.0592
65.70	0.0604
65.90	0.0614
66.20	0.0630
66.40	0.0640
66.70	0.0653
66.90	0.0664
67.20	0.0676
67.40	0.0685
67.70	0.0697
67.90	0.0706
68.20	0.0716
68.40	0.0723
68.70	0.0732
68.90	0.0742
69.20	0.0751
69.40	0.0757
69.70	0.0766
69.90	0.0771
70.20	0.0780
70.40	0.0784
70.70	0.0791
70.90	0.0798
71.20	0.0803
71.40	0.0807
71.70	0.0813
71.90	0.0818
72.20	0.0823
72.40	0.0829
72.70	0.0833
72.90	0.0833
73.20	0.0839
73.40	0.0843
73.70	0.0847
73.90	0.0848
74.20	0.0852
74.40	0.0854
74.70	0.0860
74.90	0.0860
75.20	0.0862
75.40	0.0867
75.70	0.0870
75.90	0.0871
76.20	0.0874
76.40	0.0875
76.70	0.0879
76.90	0.0879
77.20	0.0883
77.40	0.0884
77.70	0.0886
77.90	0.0889
78.20	0.0890
78.40	0.0892
78.70	0.0894
78.90	0.0894
79.20	0.0898
79.40	0.0900
79.70	0.0902
79.90	0.0905
80.20	0.0904
80.40	0.0907
80.70	0.0908
80.90	0.0908
81.20	0.0912
81.40	0.0913
81.70	0.0917
81.90	0.0917
82.20	0.0919
82.40	0.0920
82.70	0.0921
82.90	0.0921
83.20	0.0925
83.40	0.0926
83.70	0.0929
83.90	0.0928
84.20	0.0932
84.40	0.0933
84.70	0.0934
84.90	0.0934
85.20	0.0939
85.40	0.0939
85.70	0.0941
85.90	0.0942
86.20	0.0943
86.40	0.0943
86.70	0.0945
86.90	0.0945
87.20	0.0948
87.40	0.0950
87.70	0.0951
87.90	0.0953
88.20	0.0953
88.40	0.0956
88.70	0.0955
88.90	0.0954
89.20	0.0957
89.40	0.0958
89.70	0.0962
89.90	0.0961
90.20	0.0966
