Date : 8/8/2019	Time : 10:31:44	
C:\UVWINLAB\CG131U1.SP	
16.00	0.6093
16.20	0.6095
16.40	0.6094
16.60	0.6096
16.80	0.6095
17.00	0.6097
17.20	0.6097
17.40	0.6097
17.60	0.6098
17.80	0.6098
18.00	0.6099
18.20	0.6099
18.40	0.6099
18.60	0.6099
18.80	0.6101
19.00	0.6102
19.20	0.6103
19.40	0.6103
19.60	0.6106
19.80	0.6107
20.00	0.6109
20.20	0.6111
20.40	0.6113
20.60	0.6112
20.80	0.6115
21.00	0.6115
21.20	0.6117
21.40	0.6119
21.60	0.6119
21.80	0.6121
22.00	0.6122
22.20	0.6122
22.40	0.6122
22.60	0.6123
22.80	0.6123
23.00	0.6125
23.20	0.6125
23.40	0.6127
23.60	0.6128
23.80	0.6129
24.00	0.6131
24.20	0.6132
24.40	0.6132
24.60	0.6136
24.80	0.6139
25.00	0.6141
25.20	0.6143
25.40	0.6145
25.60	0.6148
25.80	0.6150
26.00	0.6150
26.20	0.6152
26.40	0.6154
26.60	0.6157
26.80	0.6159
27.00	0.6159
27.20	0.6163
27.40	0.6163
27.60	0.6167
27.80	0.6169
28.00	0.6171
28.20	0.6173
28.40	0.6174
28.60	0.6176
28.80	0.6177
29.00	0.6180
29.20	0.6181
29.40	0.6181
29.60	0.6183
29.80	0.6185
30.00	0.6187
30.20	0.6186
30.40	0.6189
30.60	0.6190
30.80	0.6193
31.00	0.6194
31.20	0.6198
31.40	0.6198
31.60	0.6200
31.80	0.6201
32.00	0.6204
32.20	0.6205
32.50	0.6207
32.70	0.6208
33.00	0.6210
33.20	0.6212
33.50	0.6217
33.70	0.6219
34.00	0.6222
34.20	0.6224
34.50	0.6227
34.70	0.6232
35.00	0.6237
35.20	0.6240
35.50	0.6244
35.70	0.6248
36.00	0.6252
36.20	0.6254
36.50	0.6259
36.70	0.6262
37.00	0.6268
37.20	0.6270
37.50	0.6274
37.70	0.6277
38.00	0.6284
38.20	0.6287
38.50	0.6292
38.70	0.6297
39.00	0.6303
39.20	0.6306
39.50	0.6311
39.70	0.6315
40.00	0.6320
40.20	0.6322
40.50	0.6330
40.70	0.6330
41.00	0.6345
41.20	0.6352
41.50	0.6360
41.70	0.6366
42.00	0.6375
42.20	0.6381
42.50	0.6389
42.70	0.6389
43.00	0.6405
43.20	0.6412
43.50	0.6421
43.70	0.6429
44.00	0.6438
44.20	0.6444
44.50	0.6453
44.70	0.6453
45.00	0.6472
45.20	0.6481
45.50	0.6491
45.70	0.6500
46.00	0.6511
46.20	0.6518
46.50	0.6531
46.70	0.6531
47.00	0.6550
47.20	0.6559
47.50	0.6573
47.70	0.6579
48.00	0.6593
48.20	0.6601
48.50	0.6612
48.70	0.6612
49.00	0.6634
49.20	0.6641
49.50	0.6654
49.70	0.6662
50.00	0.6675
50.20	0.6683
50.50	0.6695
50.70	0.6695
51.00	0.6715
51.20	0.6723
51.50	0.6734
51.70	0.6741
52.00	0.6753
52.20	0.6757
52.50	0.6769
52.70	0.6769
53.00	0.6786
53.20	0.6791
53.50	0.6801
53.70	0.6807
54.00	0.6817
54.20	0.6821
54.50	0.6830
54.70	0.6830
55.00	0.6843
55.20	0.6848
55.50	0.6855
55.70	0.6861
56.00	0.6868
56.20	0.6870
56.50	0.6878
56.70	0.6878
57.00	0.6887
57.20	0.6890
57.50	0.6898
57.70	0.6902
58.00	0.6907
58.20	0.6913
58.50	0.6916
58.70	0.6916
59.00	0.6923
59.20	0.6929
59.50	0.6933
59.70	0.6937
60.00	0.6940
60.20	0.6943
60.50	0.6948
60.70	0.6948
61.00	0.6956
61.20	0.6959
61.50	0.6966
61.70	0.6968
62.00	0.6973
62.20	0.6974
62.50	0.6977
62.70	0.6977
63.00	0.6985
63.20	0.6989
63.50	0.6995
63.70	0.6995
64.00	0.7001
64.20	0.7004
64.40	0.7008
64.70	0.7011
64.90	0.7013
65.20	0.7020
65.40	0.7022
65.70	0.7028
65.90	0.7030
66.20	0.7035
66.40	0.7036
66.70	0.7041
66.90	0.7044
67.20	0.7049
67.40	0.7053
67.70	0.7056
67.90	0.7057
68.20	0.7065
68.40	0.7068
68.70	0.7069
68.90	0.7074
69.20	0.7078
69.40	0.7082
69.70	0.7086
69.90	0.7086
70.20	0.7091
70.40	0.7094
70.70	0.7097
70.90	0.7101
71.20	0.7104
71.40	0.7106
71.70	0.7111
71.90	0.7111
72.20	0.7117
72.40	0.7116
72.70	0.7121
72.90	0.7126
73.20	0.7127
73.40	0.7130
73.70	0.7133
73.90	0.7133
74.20	0.7139
74.40	0.7141
74.70	0.7144
74.90	0.7145
75.20	0.7149
75.40	0.7151
75.70	0.7154
75.90	0.7154
76.20	0.7159
76.40	0.7163
76.70	0.7165
76.90	0.7168
77.20	0.7169
77.40	0.7172
77.70	0.7175
77.90	0.7175
78.20	0.7181
78.40	0.7183
78.70	0.7186
78.90	0.7187
79.20	0.7192
79.40	0.7192
79.70	0.7196
79.90	0.7196
80.20	0.7200
80.40	0.7202
80.70	0.7204
80.90	0.7209
81.20	0.7211
81.40	0.7215
81.70	0.7218
81.90	0.7218
82.20	0.7221
82.40	0.7223
82.70	0.7226
82.90	0.7227
83.20	0.7232
83.40	0.7234
83.70	0.7235
83.90	0.7235
84.20	0.7242
84.40	0.7242
84.70	0.7247
84.90	0.7248
85.20	0.7250
85.40	0.7253
85.70	0.7256
85.90	0.7256
86.20	0.7261
86.40	0.7262
86.70	0.7265
86.90	0.7267
87.20	0.7272
87.40	0.7274
87.70	0.7276
87.90	0.7276
88.20	0.7280
88.40	0.7282
88.70	0.7285
88.90	0.7286
89.20	0.7291
89.40	0.7293
89.70	0.7295
89.90	0.7295
90.20	0.7302
90.40	0.7303
90.70	0.7307
90.90	0.7310
91.20	0.7311
91.40	0.7314
91.70	0.7316
91.90	0.7316
92.20	0.7322
92.40	0.7326
92.70	0.7328
92.90	0.7329
93.20	0.7333
93.40	0.7337
93.70	0.7342
93.90	0.7342
94.20	0.7348
94.40	0.7351
94.70	0.7355
94.90	0.7354
95.20	0.7356
95.40	0.7358
95.70	0.7364
95.90	0.7364
96.20	0.7367
96.40	0.7370
96.70	0.7373
96.90	0.7374
97.20	0.7376
97.40	0.7378
97.70	0.7381
97.90	0.7381
