Date : 9/26/2019	Time : 17:27:38	
C:\UVWINLAB\DNA101U1.SP	
15.00	0.5853
15.20	0.5854
15.40	0.5854
15.60	0.5855
15.80	0.5856
16.00	0.5858
16.20	0.5860
16.40	0.5859
16.60	0.5862
16.80	0.5862
17.00	0.5864
17.20	0.5865
17.40	0.5865
17.60	0.5867
17.80	0.5868
18.00	0.5871
18.20	0.5872
18.40	0.5872
18.60	0.5873
18.80	0.5874
19.00	0.5874
19.20	0.5875
19.40	0.5876
19.60	0.5877
19.80	0.5876
20.00	0.5878
20.20	0.5878
20.40	0.5878
20.60	0.5880
20.80	0.5880
21.00	0.5882
21.20	0.5882
21.40	0.5883
21.60	0.5884
21.80	0.5887
22.00	0.5887
22.20	0.5888
22.40	0.5890
22.60	0.5891
22.80	0.5891
23.00	0.5890
23.20	0.5894
23.40	0.5893
23.60	0.5894
23.80	0.5893
24.00	0.5894
24.20	0.5896
24.40	0.5896
24.60	0.5895
24.80	0.5895
25.00	0.5896
25.20	0.5897
25.40	0.5896
25.60	0.5897
25.80	0.5898
26.00	0.5899
26.20	0.5899
26.40	0.5900
26.60	0.5901
26.80	0.5902
27.00	0.5902
27.20	0.5902
27.40	0.5904
27.60	0.5903
27.80	0.5905
28.00	0.5906
28.20	0.5907
28.40	0.5907
28.60	0.5910
28.80	0.5910
29.00	0.5913
29.20	0.5914
29.40	0.5918
29.60	0.5919
29.80	0.5919
30.00	0.5921
30.20	0.5924
30.40	0.5926
30.60	0.5927
30.80	0.5928
31.00	0.5930
31.20	0.5932
31.40	0.5934
31.60	0.5936
31.80	0.5938
32.00	0.5939
32.20	0.5942
32.50	0.5947
32.70	0.5947
33.00	0.5950
33.20	0.5954
33.50	0.5956
33.70	0.5958
34.00	0.5960
34.20	0.5962
34.50	0.5967
34.70	0.5969
35.00	0.5972
35.20	0.5977
35.50	0.5981
35.70	0.5982
36.00	0.5989
36.20	0.5992
36.50	0.5997
36.70	0.5999
37.00	0.6007
37.20	0.6009
37.50	0.6014
37.70	0.6017
38.00	0.6022
38.20	0.6024
38.50	0.6031
38.70	0.6035
39.00	0.6043
39.20	0.6049
39.50	0.6054
39.70	0.6059
40.00	0.6063
40.20	0.6067
40.50	0.6076
40.70	0.6076
41.00	0.6090
41.20	0.6094
41.50	0.6103
41.70	0.6109
42.00	0.6122
42.20	0.6124
42.50	0.6138
42.70	0.6138
43.00	0.6151
43.20	0.6157
43.50	0.6167
43.70	0.6173
44.00	0.6183
44.20	0.6193
44.50	0.6201
44.70	0.6201
45.00	0.6219
45.20	0.6226
45.50	0.6238
45.70	0.6244
46.00	0.6258
46.20	0.6266
46.50	0.6276
46.70	0.6276
47.00	0.6295
47.20	0.6301
47.50	0.6318
47.70	0.6324
48.00	0.6335
48.20	0.6343
48.50	0.6353
48.70	0.6353
49.00	0.6372
49.20	0.6380
49.50	0.6393
49.70	0.6399
50.00	0.6409
50.20	0.6416
50.50	0.6427
50.70	0.6427
51.00	0.6444
51.20	0.6449
51.50	0.6462
51.70	0.6468
52.00	0.6478
52.20	0.6482
52.50	0.6491
52.70	0.6491
53.00	0.6506
53.20	0.6509
53.50	0.6516
53.70	0.6521
54.00	0.6528
54.20	0.6535
54.50	0.6541
54.70	0.6541
55.00	0.6552
55.20	0.6555
55.50	0.6561
55.70	0.6565
56.00	0.6573
56.20	0.6574
56.50	0.6579
56.70	0.6579
57.00	0.6589
57.20	0.6591
57.50	0.6596
57.70	0.6600
58.00	0.6604
58.20	0.6609
58.50	0.6617
58.70	0.6617
59.00	0.6620
59.20	0.6625
59.50	0.6628
59.70	0.6629
60.00	0.6633
60.20	0.6637
60.50	0.6639
60.70	0.6639
61.00	0.6646
61.20	0.6649
61.50	0.6653
61.70	0.6654
62.00	0.6659
62.20	0.6660
62.50	0.6662
62.70	0.6662
63.00	0.6667
63.20	0.6672
63.50	0.6676
63.70	0.6677
64.00	0.6682
64.20	0.6681
64.40	0.6685
64.70	0.6686
64.90	0.6688
65.20	0.6694
65.40	0.6695
65.70	0.6698
65.90	0.6700
66.20	0.6706
66.40	0.6705
66.70	0.6709
66.90	0.6711
67.20	0.6715
67.40	0.6716
67.70	0.6721
67.90	0.6721
68.20	0.6724
68.40	0.6728
68.70	0.6728
68.90	0.6732
69.20	0.6735
69.40	0.6736
69.70	0.6739
69.90	0.6739
70.20	0.6743
70.40	0.6745
70.70	0.6748
70.90	0.6751
71.20	0.6751
71.40	0.6753
71.70	0.6756
71.90	0.6756
72.20	0.6759
72.40	0.6760
72.70	0.6763
72.90	0.6764
73.20	0.6767
73.40	0.6770
73.70	0.6772
73.90	0.6772
74.20	0.6773
74.40	0.6776
74.70	0.6779
74.90	0.6779
75.20	0.6782
75.40	0.6782
75.70	0.6785
75.90	0.6785
76.20	0.6791
76.40	0.6791
76.70	0.6797
76.90	0.6800
77.20	0.6801
77.40	0.6804
77.70	0.6800
77.90	0.6800
78.20	0.6801
