Date : 9/24/2019	Time : 21:19:38	
C:\UVWINLAB\DNA61U1.SP	
15.00	0.5905
15.20	0.5906
15.40	0.5904
15.60	0.5907
15.80	0.5906
16.00	0.5906
16.20	0.5906
16.40	0.5907
16.60	0.5907
16.80	0.5909
17.00	0.5909
17.20	0.5910
17.40	0.5909
17.60	0.5909
17.80	0.5908
18.00	0.5912
18.20	0.5912
18.40	0.5914
18.60	0.5914
18.80	0.5914
19.00	0.5915
19.20	0.5915
19.40	0.5918
19.60	0.5916
19.80	0.5916
20.00	0.5916
20.20	0.5919
20.40	0.5919
20.60	0.5921
20.80	0.5923
21.00	0.5921
21.20	0.5924
21.40	0.5925
21.60	0.5924
21.80	0.5927
22.00	0.5928
22.20	0.5928
22.40	0.5928
22.60	0.5930
22.80	0.5930
23.00	0.5931
23.20	0.5933
23.40	0.5933
23.60	0.5935
23.80	0.5936
24.00	0.5937
24.20	0.5938
24.40	0.5939
24.60	0.5940
24.80	0.5942
25.00	0.5943
25.20	0.5942
25.40	0.5945
25.60	0.5946
25.80	0.5947
26.00	0.5948
26.20	0.5953
26.40	0.5955
26.60	0.5956
26.80	0.5956
27.00	0.5958
27.20	0.5960
27.40	0.5960
27.60	0.5961
27.80	0.5964
28.00	0.5966
28.20	0.5969
28.40	0.5969
28.60	0.5971
28.80	0.5972
29.00	0.5973
29.20	0.5976
29.40	0.5978
29.60	0.5981
29.90	0.5983
30.10	0.5984
30.30	0.5984
30.50	0.5989
30.70	0.5989
30.90	0.5991
31.10	0.5992
31.30	0.5997
31.50	0.5997
31.70	0.6003
31.90	0.6003
32.10	0.6008
32.40	0.6009
32.60	0.6015
32.90	0.6018
33.10	0.6018
33.40	0.6025
33.60	0.6028
33.90	0.6031
34.10	0.6035
34.40	0.6039
34.60	0.6042
34.90	0.6049
35.10	0.6049
35.40	0.6058
35.60	0.6060
35.90	0.6066
36.10	0.6068
36.40	0.6074
36.60	0.6080
36.90	0.6085
37.10	0.6085
37.40	0.6098
37.60	0.6103
37.90	0.6108
38.10	0.6113
38.40	0.6123
38.60	0.6127
38.90	0.6137
39.10	0.6137
39.40	0.6149
39.60	0.6155
39.90	0.6164
40.10	0.6169
40.40	0.6180
40.60	0.6186
40.90	0.6198
41.10	0.6198
41.40	0.6217
41.60	0.6221
41.90	0.6225
42.10	0.6235
42.40	0.6249
42.60	0.6255
42.90	0.6272
43.10	0.6272
43.40	0.6293
43.60	0.6304
43.90	0.6319
44.10	0.6326
44.40	0.6344
44.60	0.6352
44.90	0.6366
45.10	0.6366
45.40	0.6392
45.60	0.6407
45.90	0.6422
46.10	0.6428
46.40	0.6432
46.60	0.6449
46.90	0.6467
47.10	0.6467
47.40	0.6501
47.60	0.6513
47.90	0.6529
48.10	0.6543
48.40	0.6560
48.60	0.6571
48.90	0.6585
49.10	0.6585
49.40	0.6612
49.60	0.6622
49.90	0.6640
50.10	0.6645
50.40	0.6660
50.60	0.6673
50.90	0.6684
51.10	0.6684
51.40	0.6707
51.60	0.6716
51.90	0.6728
52.10	0.6737
52.40	0.6748
52.60	0.6753
52.90	0.6764
53.10	0.6764
53.40	0.6780
53.60	0.6787
53.90	0.6794
54.10	0.6800
54.40	0.6809
54.60	0.6815
54.90	0.6822
55.10	0.6822
55.40	0.6834
55.60	0.6838
55.90	0.6842
56.10	0.6848
56.40	0.6854
56.60	0.6858
56.90	0.6864
57.10	0.6864
57.40	0.6872
57.60	0.6877
57.90	0.6882
58.10	0.6883
58.40	0.6889
58.60	0.6892
58.90	0.6898
59.10	0.6899
59.40	0.6903
59.60	0.6906
59.90	0.6910
60.10	0.6914
60.40	0.6918
60.60	0.6922
60.90	0.6940
61.10	0.6940
61.40	0.6943
61.60	0.6946
61.90	0.6950
62.10	0.6949
62.40	0.6950
62.60	0.6951
62.90	0.6950
63.10	0.6950
63.40	0.6958
63.60	0.6962
63.90	0.6965
64.10	0.6966
64.30	0.6967
64.50	0.6970
64.70	0.6970
64.90	0.6974
65.20	0.6975
65.40	0.6975
65.70	0.6980
65.90	0.6980
66.20	0.6985
66.40	0.6986
66.70	0.6989
66.90	0.6992
67.20	0.6992
67.40	0.6993
67.70	0.6997
67.90	0.6997
68.20	0.7000
68.40	0.7001
68.70	0.7005
68.90	0.7008
69.20	0.7009
69.40	0.7012
69.70	0.7013
69.90	0.7013
70.20	0.7017
70.40	0.7019
70.70	0.7023
70.90	0.7024
71.20	0.7027
71.40	0.7030
71.70	0.7033
71.90	0.7033
72.20	0.7036
72.40	0.7038
72.70	0.7039
72.90	0.7041
73.20	0.7044
73.40	0.7047
73.70	0.7048
73.90	0.7048
74.20	0.7052
74.40	0.7055
74.70	0.7055
74.90	0.7056
75.20	0.7060
75.40	0.7064
75.70	0.7065
75.90	0.7065
76.20	0.7070
76.40	0.7071
76.70	0.7073
76.90	0.7076
77.00	0.7077
Date : 9/24/2019	Time : 22:40:18	


Date : 9/24/2019	Time : 22:40:18	
C:\UVWINLAB\DNA61D1.SP	
77.00	0.7103
76.80	0.7103
76.60	0.7103
76.30	0.7103
76.10	0.7103
75.80	0.7101
75.60	0.7102
75.30	0.7101
