Date : 9/24/2019	Time : 19:46:47	
C:\UVWINLAB\DNA41U1.SP	
19.80	0.5934
20.00	0.5935
20.20	0.5935
20.40	0.5937
20.60	0.5936
20.80	0.5939
21.00	0.5939
21.20	0.5940
21.40	0.5942
21.60	0.5942
21.80	0.5945
22.00	0.5947
22.20	0.5946
22.40	0.5947
22.60	0.5947
22.80	0.5948
23.00	0.5948
23.20	0.5950
23.40	0.5951
23.60	0.5953
23.80	0.5953
24.00	0.5952
24.20	0.5956
24.40	0.5956
24.60	0.5956
24.80	0.5959
25.00	0.5960
25.20	0.5962
25.40	0.5965
25.60	0.5966
25.80	0.5969
26.00	0.5971
26.20	0.5973
26.40	0.5975
26.60	0.5977
26.80	0.5978
27.00	0.5979
27.20	0.5983
27.40	0.5983
27.60	0.5985
27.80	0.5988
28.00	0.5988
28.20	0.5992
28.40	0.5993
28.60	0.5994
28.80	0.5996
29.00	0.5998
29.20	0.5999
29.40	0.6001
29.60	0.6004
29.80	0.6005
30.00	0.6007
30.20	0.6008
30.40	0.6010
30.60	0.6013
30.80	0.6014
31.00	0.6016
31.20	0.6018
31.40	0.6022
31.60	0.6023
31.80	0.6025
32.00	0.6027
32.20	0.6031
32.50	0.6032
32.70	0.6036
33.00	0.6040
33.20	0.6044
33.50	0.6047
33.70	0.6050
34.00	0.6054
34.20	0.6058
34.50	0.6062
34.70	0.6065
35.00	0.6072
35.20	0.6077
35.50	0.6082
35.70	0.6086
36.00	0.6090
36.20	0.6093
36.50	0.6100
36.70	0.6104
37.00	0.6111
37.20	0.6114
37.50	0.6121
37.70	0.6124
38.00	0.6134
38.20	0.6136
38.50	0.6146
38.70	0.6150
39.00	0.6157
39.20	0.6165
39.50	0.6171
39.70	0.6176
40.00	0.6187
40.20	0.6194
40.50	0.6205
40.70	0.6205
41.00	0.6222
41.20	0.6229
41.50	0.6240
41.70	0.6248
42.00	0.6257
42.20	0.6261
42.50	0.6269
42.70	0.6269
43.00	0.6295
43.20	0.6305
43.50	0.6319
43.70	0.6327
44.00	0.6342
44.20	0.6349
44.50	0.6366
44.70	0.6366
45.00	0.6394
45.20	0.6404
45.50	0.6423
45.70	0.6430
46.00	0.6449
46.20	0.6460
46.50	0.6475
46.70	0.6475
47.00	0.6502
47.20	0.6512
47.50	0.6529
47.70	0.6543
48.00	0.6556
48.20	0.6567
48.50	0.6583
48.70	0.6583
49.00	0.6608
49.20	0.6620
49.50	0.6635
49.70	0.6644
50.00	0.6659
50.20	0.6671
50.50	0.6683
50.70	0.6683
51.00	0.6708
51.20	0.6716
51.50	0.6729
51.70	0.6738
52.00	0.6750
52.20	0.6756
52.50	0.6766
52.70	0.6766
53.00	0.6781
53.20	0.6786
53.50	0.6797
53.70	0.6804
54.00	0.6812
54.20	0.6817
54.50	0.6824
54.70	0.6824
55.00	0.6836
55.20	0.6839
55.50	0.6849
55.70	0.6851
56.00	0.6856
56.20	0.6859
56.50	0.6864
56.70	0.6864
57.00	0.6874
57.20	0.6876
57.50	0.6878
57.70	0.6882
58.00	0.6887
58.20	0.6891
58.50	0.6894
58.70	0.6894
59.00	0.6902
59.20	0.6906
59.50	0.6909
59.70	0.6911
60.00	0.6913
60.20	0.6914
60.50	0.6917
60.70	0.6917
61.00	0.6920
61.20	0.6922
61.50	0.6926
61.70	0.6928
62.00	0.6931
62.20	0.6930
62.50	0.6935
62.70	0.6935
63.00	0.6939
63.20	0.6940
63.50	0.6942
63.70	0.6945
64.00	0.6946
64.20	0.6947
64.40	0.6949
64.70	0.6952
64.90	0.6953
65.20	0.6956
65.40	0.6957
65.70	0.6960
65.90	0.6964
66.20	0.6968
66.40	0.6967
66.70	0.6977
66.90	0.6978
67.20	0.6977
67.40	0.6979
67.70	0.6978
67.90	0.6978
68.20	0.6984
68.40	0.6986
68.70	0.6987
68.90	0.6990
69.20	0.6993
69.40	0.6995
69.70	0.6996
69.90	0.6996
70.20	0.7001
70.40	0.7002
70.70	0.7005
70.90	0.7006
71.20	0.7009
71.40	0.7010
