Date : 8/7/2019	Time : 02:03:10	
C:\UVWINLAB\CG251U1.SP	
25.00	0.6067
25.20	0.6068
25.40	0.6067
25.60	0.6069
25.80	0.6068
26.00	0.6069
26.20	0.6069
26.40	0.6070
26.60	0.6068
26.80	0.6069
27.00	0.6070
27.20	0.6069
27.40	0.6069
27.60	0.6070
27.80	0.6070
28.00	0.6069
28.20	0.6071
28.40	0.6071
28.60	0.6070
28.80	0.6071
29.00	0.6072
29.20	0.6071
29.40	0.6072
29.60	0.6071
29.80	0.6071
30.00	0.6072
30.20	0.6071
30.40	0.6071
30.60	0.6073
30.80	0.6073
31.00	0.6074
31.20	0.6074
31.40	0.6076
31.60	0.6075
31.80	0.6076
32.00	0.6076
32.20	0.6076
32.50	0.6077
32.70	0.6079
33.00	0.6078
33.20	0.6078
33.50	0.6079
33.70	0.6080
34.00	0.6078
34.20	0.6081
34.50	0.6083
34.70	0.6083
35.00	0.6084
35.20	0.6086
35.50	0.6087
35.70	0.6086
36.00	0.6088
36.20	0.6089
36.50	0.6090
36.70	0.6090
37.00	0.6095
37.20	0.6094
37.50	0.6095
37.70	0.6097
38.00	0.6097
38.20	0.6098
38.50	0.6101
38.70	0.6102
39.00	0.6105
39.20	0.6106
39.50	0.6107
39.70	0.6108
40.00	0.6111
40.20	0.6111
40.50	0.6114
40.70	0.6114
41.00	0.6117
41.20	0.6119
41.50	0.6122
41.70	0.6123
42.00	0.6126
42.20	0.6127
42.50	0.6129
42.70	0.6129
43.00	0.6133
43.20	0.6134
43.50	0.6137
43.70	0.6139
44.00	0.6144
44.20	0.6144
44.50	0.6144
44.70	0.6144
45.00	0.6152
45.20	0.6156
45.50	0.6160
45.70	0.6163
46.00	0.6165
46.20	0.6169
46.50	0.6175
46.70	0.6175
47.00	0.6182
47.20	0.6184
47.50	0.6188
47.70	0.6191
48.00	0.6195
48.20	0.6198
48.50	0.6204
48.70	0.6204
49.00	0.6213
49.20	0.6218
49.50	0.6223
49.70	0.6227
50.00	0.6234
50.20	0.6237
50.50	0.6248
50.70	0.6248
51.00	0.6259
51.20	0.6265
51.50	0.6271
51.70	0.6277
52.00	0.6286
52.20	0.6291
52.50	0.6301
52.70	0.6301
53.00	0.6314
53.20	0.6322
53.50	0.6331
53.70	0.6338
54.00	0.6350
54.20	0.6357
54.50	0.6369
54.70	0.6369
55.00	0.6388
55.20	0.6395
55.50	0.6407
55.70	0.6414
56.00	0.6431
56.20	0.6440
56.50	0.6455
56.70	0.6456
57.00	0.6477
57.20	0.6485
57.50	0.6501
57.70	0.6510
58.00	0.6527
58.20	0.6537
58.50	0.6551
58.70	0.6551
59.00	0.6576
59.20	0.6587
59.50	0.6603
59.70	0.6612
60.00	0.6629
60.20	0.6637
60.50	0.6657
60.70	0.6657
61.00	0.6684
61.20	0.6693
61.50	0.6708
61.70	0.6717
62.00	0.6731
62.20	0.6740
62.50	0.6758
62.70	0.6758
63.00	0.6782
63.20	0.6789
63.50	0.6804
63.70	0.6811
64.00	0.6825
64.20	0.6833
64.40	0.6839
64.70	0.6849
64.90	0.6859
65.20	0.6871
65.40	0.6877
65.70	0.6888
65.90	0.6894
66.20	0.6906
66.40	0.6910
66.70	0.6920
66.90	0.6924
67.20	0.6934
67.40	0.6939
67.70	0.6948
67.90	0.6948
68.20	0.6959
68.40	0.6964
68.70	0.6972
68.90	0.6977
69.20	0.6982
69.40	0.6988
69.70	0.6994
69.90	0.6994
70.20	0.7001
70.40	0.7007
70.70	0.7011
70.90	0.7016
71.20	0.7020
71.40	0.7025
71.70	0.7030
71.90	0.7030
72.20	0.7036
72.40	0.7039
72.70	0.7045
72.90	0.7047
73.20	0.7050
73.40	0.7054
73.70	0.7058
73.90	0.7058
74.20	0.7064
74.40	0.7068
74.70	0.7070
74.90	0.7073
75.20	0.7076
75.40	0.7078
75.70	0.7082
75.90	0.7082
76.20	0.7089
76.40	0.7091
76.70	0.7094
76.90	0.7095
77.20	0.7099
77.40	0.7101
77.70	0.7102
77.90	0.7102
78.20	0.7109
78.40	0.7110
78.70	0.7114
78.90	0.7113
79.20	0.7118
79.40	0.7118
79.70	0.7122
79.90	0.7122
80.20	0.7126
80.40	0.7127
80.70	0.7130
80.90	0.7132
81.20	0.7134
81.40	0.7134
81.70	0.7138
81.90	0.7138
82.20	0.7141
82.40	0.7143
82.70	0.7144
82.90	0.7147
83.20	0.7147
83.40	0.7151
83.70	0.7153
83.90	0.7153
84.20	0.7155
84.40	0.7157
84.70	0.7160
84.90	0.7162
85.20	0.7164
85.40	0.7164
85.70	0.7166
85.90	0.7166
86.20	0.7171
86.40	0.7170
86.70	0.7175
86.90	0.7175
87.20	0.7177
87.40	0.7178
87.70	0.7180
87.90	0.7180
88.20	0.7184
88.40	0.7184
88.70	0.7184
88.90	0.7186
89.20	0.7188
89.40	0.7191
89.70	0.7191
89.90	0.7191
90.20	0.7194
90.40	0.7196
90.70	0.7198
90.90	0.7197
91.20	0.7199
91.40	0.7202
91.70	0.7204
91.90	0.7204
92.20	0.7205
92.40	0.7207
92.70	0.7208
92.90	0.7209
93.20	0.7212
93.40	0.7213
93.70	0.7214
93.90	0.7214
94.20	0.7216
94.40	0.7217
94.70	0.7219
94.90	0.7218
95.20	0.7221
95.40	0.7222
95.70	0.7225
95.90	0.7225
96.20	0.7226
96.40	0.7225
96.70	0.7227
96.90	0.7230
97.20	0.7232
97.40	0.7234
