Date : 10/3/2019	Time : 10:28:45	
C:\UVWINLAB\DNA61U1.SP	
15.00	0.6214
15.20	0.6214
15.40	0.6213
15.60	0.6212
15.80	0.6214
16.00	0.6211
16.20	0.6214
16.40	0.6215
16.60	0.6213
16.80	0.6213
17.00	0.6214
17.20	0.6213
17.40	0.6213
17.60	0.6214
17.80	0.6213
18.00	0.6214
18.20	0.6213
18.40	0.6213
18.60	0.6214
18.80	0.6215
19.00	0.6215
19.20	0.6217
19.40	0.6216
19.60	0.6218
19.80	0.6218
20.00	0.6218
20.20	0.6219
20.40	0.6221
20.60	0.6220
20.80	0.6221
21.00	0.6222
21.20	0.6222
21.40	0.6224
21.60	0.6225
21.80	0.6225
22.00	0.6226
22.20	0.6227
22.40	0.6229
22.60	0.6229
22.80	0.6231
23.00	0.6231
23.20	0.6232
23.40	0.6234
23.60	0.6236
23.80	0.6238
24.00	0.6237
24.20	0.6240
24.40	0.6240
24.60	0.6242
24.80	0.6245
25.00	0.6245
25.20	0.6247
25.40	0.6250
25.60	0.6251
25.80	0.6252
26.00	0.6253
26.20	0.6257
26.40	0.6258
26.60	0.6260
26.80	0.6262
27.00	0.6265
27.20	0.6270
27.40	0.6271
27.60	0.6274
27.80	0.6276
28.00	0.6278
28.20	0.6281
28.40	0.6284
28.60	0.6288
28.80	0.6291
29.00	0.6294
29.20	0.6297
29.40	0.6301
29.60	0.6304
29.80	0.6306
30.00	0.6309
30.20	0.6314
30.40	0.6318
30.60	0.6319
30.80	0.6323
31.00	0.6324
31.20	0.6329
31.40	0.6333
31.60	0.6336
31.80	0.6340
32.00	0.6342
32.20	0.6346
32.50	0.6348
32.70	0.6351
33.00	0.6355
33.20	0.6360
33.50	0.6364
33.70	0.6368
34.00	0.6372
34.20	0.6374
34.50	0.6377
34.70	0.6381
35.00	0.6385
35.20	0.6389
35.50	0.6393
35.70	0.6397
36.00	0.6403
36.20	0.6404
36.50	0.6408
36.70	0.6412
37.00	0.6416
37.20	0.6421
37.50	0.6424
37.70	0.6426
38.00	0.6428
38.20	0.6433
38.50	0.6439
38.70	0.6443
39.00	0.6448
39.20	0.6450
39.50	0.6455
39.70	0.6458
40.00	0.6465
40.20	0.6468
40.50	0.6474
40.70	0.6474
41.00	0.6484
41.20	0.6489
41.50	0.6493
41.70	0.6494
42.00	0.6501
42.20	0.6503
42.50	0.6511
42.70	0.6511
43.00	0.6518
43.20	0.6520
43.50	0.6522
43.70	0.6526
44.00	0.6535
44.20	0.6539
44.50	0.6545
44.70	0.6545
45.00	0.6555
45.20	0.6559
45.50	0.6566
