Date : 11/5/2020	Time : 18:43:36	
C:\UVWINLAB\AT_NMR_bfr_pH_20.8_3-16-2020_r11U1.SP	
15.00	0.5280
15.50	0.5280
16.00	0.5283
16.50	0.5282
17.00	0.5284
17.50	0.5285
18.00	0.5285
18.50	0.5287
19.00	0.5288
19.50	0.5288
20.00	0.5290
20.50	0.5290
21.00	0.5293
21.50	0.5292
22.00	0.5296
22.50	0.5299
23.00	0.5301
23.50	0.5303
24.00	0.5304
24.50	0.5306
25.00	0.5308
25.50	0.5310
26.00	0.5314
26.50	0.5315
27.00	0.5321
27.50	0.5325
28.00	0.5328
28.50	0.5335
29.00	0.5339
29.50	0.5347
30.00	0.5352
30.50	0.5360
31.00	0.5367
31.50	0.5376
32.00	0.5382
32.50	0.5389
33.00	0.5398
33.50	0.5404
34.00	0.5412
34.50	0.5417
35.00	0.5424
35.50	0.5429
36.00	0.5437
36.50	0.5443
37.00	0.5451
37.50	0.5457
38.00	0.5466
38.50	0.5473
39.00	0.5481
39.50	0.5486
40.00	0.5496
40.50	0.5503
41.00	0.5510
41.50	0.5517
42.00	0.5527
42.50	0.5534
43.00	0.5543
43.50	0.5549
44.00	0.5558
44.50	0.5566
45.00	0.5575
45.50	0.5585
46.00	0.5593
46.50	0.5602
47.00	0.5612
47.50	0.5622
48.00	0.5629
48.50	0.5638
49.00	0.5648
49.50	0.5659
50.00	0.5669
50.50	0.5679
51.00	0.5689
51.50	0.5699
52.00	0.5711
52.50	0.5720
53.00	0.5729
53.50	0.5739
54.00	0.5752
54.50	0.5762
55.00	0.5772
55.50	0.5784
56.00	0.5796
56.50	0.5807
57.00	0.5816
57.50	0.5827
58.00	0.5841
58.50	0.5854
59.00	0.5864
59.50	0.5875
60.00	0.5886
60.50	0.5893
61.00	0.5905
61.50	0.5915
62.00	0.5923
62.50	0.5934
63.00	0.5944
63.50	0.5954
64.00	0.5965
64.50	0.5974
65.00	0.5981
65.50	0.5990
66.00	0.5999
66.50	0.6007
67.00	0.6018
67.50	0.6026
68.00	0.6034
68.50	0.6043
69.00	0.6047
69.50	0.6053
70.00	0.6065
70.50	0.6074
71.00	0.6081
71.50	0.6088
72.00	0.6094
72.50	0.6105
73.00	0.6114
73.50	0.6116
74.00	0.6119
74.50	0.6123
75.00	0.6130
75.50	0.6136
76.00	0.6139
76.50	0.6144
77.00	0.6150
77.50	0.6154
78.00	0.6158
78.50	0.6160
79.00	0.6168
79.50	0.6171
80.00	0.6179
80.50	0.6183
81.00	0.6188
81.50	0.6189
82.00	0.6191
82.50	0.6195
83.00	0.6200
83.50	0.6203
84.00	0.6206
84.50	0.6208
85.00	0.6211
85.50	0.6214
86.00	0.6222
86.50	0.6224
87.00	0.6229
87.50	0.6231
88.00	0.6236
88.50	0.6238
89.00	0.6244
89.50	0.6248
90.00	0.6251
90.50	0.6254
91.00	0.6256
91.50	0.6264
92.00	0.6267
92.50	0.6269
93.00	0.6272
93.50	0.6277
94.00	0.6280
94.50	0.6282
95.00	0.6287
95.50	0.6290
96.00	0.6296
96.50	0.6305
97.00	0.6301
97.50	0.6299
98.00	0.6297
Date : 11/5/2020	Time : 20:24:37	


Date : 11/5/2020	Time : 20:24:37	
C:\UVWINLAB\AT_NMR_bfr_pH_20.8_3-16-2020_r11D1.SP	
98.00	0.6325
97.50	0.6327
97.00	0.6329
96.50	0.6332
96.00	0.6332
95.50	0.6334
95.00	0.6336
94.50	0.6336
94.00	0.6336
93.50	0.6338
93.00	0.6339
92.50	0.6339
92.00	0.6341
91.50	0.6343
