Date : 8/10/2019	Time : 00:02:02	
C:\UVWINLAB\CG171U1.SP	
16.60	0.6020
16.80	0.6019
17.00	0.6021
17.20	0.6021
17.40	0.6022
17.60	0.6022
17.80	0.6024
18.00	0.6023
18.20	0.6025
18.40	0.6026
18.60	0.6026
18.80	0.6029
19.00	0.6029
19.20	0.6030
19.40	0.6031
19.60	0.6033
19.80	0.6033
20.00	0.6035
20.20	0.6037
20.40	0.6038
20.60	0.6038
20.80	0.6040
21.00	0.6042
21.20	0.6043
21.40	0.6045
21.60	0.6048
21.80	0.6049
22.00	0.6049
22.20	0.6053
22.40	0.6055
22.60	0.6056
22.80	0.6057
23.00	0.6057
23.20	0.6061
23.40	0.6061
23.60	0.6064
23.80	0.6065
24.00	0.6068
24.20	0.6071
24.40	0.6072
24.60	0.6075
24.80	0.6076
25.00	0.6078
25.20	0.6080
25.40	0.6082
25.70	0.6084
25.90	0.6084
26.10	0.6090
26.30	0.6090
26.50	0.6096
26.70	0.6096
26.90	0.6100
27.10	0.6103
27.30	0.6103
27.50	0.6103
27.70	0.6110
27.90	0.6110
28.10	0.6115
28.30	0.6115
28.50	0.6120
28.70	0.6120
28.90	0.6127
29.10	0.6127
29.30	0.6134
29.50	0.6134
29.70	0.6140
29.90	0.6140
30.10	0.6145
30.30	0.6145
30.50	0.6152
30.70	0.6152
30.90	0.6158
31.10	0.6158
31.30	0.6165
31.50	0.6165
31.70	0.6173
31.90	0.6173
32.10	0.6179
32.40	0.6185
32.60	0.6190
32.90	0.6198
33.10	0.6198
33.40	0.6207
33.60	0.6212
33.90	0.6218
34.10	0.6222
34.40	0.6230
34.60	0.6237
34.90	0.6242
35.10	0.6242
35.40	0.6255
35.60	0.6260
35.90	0.6269
36.10	0.6275
36.40	0.6285
36.60	0.6292
36.90	0.6300
37.10	0.6300
37.40	0.6320
37.60	0.6327
37.90	0.6336
38.10	0.6341
38.40	0.6355
38.60	0.6362
38.90	0.6373
39.10	0.6373
39.40	0.6386
39.60	0.6394
39.90	0.6408
40.10	0.6418
40.40	0.6434
40.60	0.6442
40.90	0.6460
41.10	0.6460
41.40	0.6485
41.60	0.6494
41.90	0.6508
42.10	0.6512
42.40	0.6521
42.60	0.6536
42.90	0.6552
43.10	0.6552
43.40	0.6581
43.60	0.6593
43.90	0.6609
44.10	0.6620
44.40	0.6636
44.60	0.6648
44.90	0.6663
45.10	0.6663
45.40	0.6691
45.60	0.6699
45.90	0.6716
46.10	0.6727
46.40	0.6741
46.60	0.6752
46.90	0.6765
47.10	0.6765
47.40	0.6787
47.60	0.6797
47.90	0.6808
48.10	0.6818
48.40	0.6831
48.60	0.6836
48.90	0.6851
49.10	0.6851
49.40	0.6866
49.60	0.6873
49.90	0.6882
50.10	0.6887
50.40	0.6897
50.60	0.6902
50.90	0.6911
51.10	0.6911
51.40	0.6925
51.60	0.6928
51.90	0.6936
52.10	0.6938
52.40	0.6945
52.60	0.6950
52.90	0.6953
53.10	0.6953
53.40	0.6964
53.60	0.6967
53.90	0.6973
54.10	0.6976
54.40	0.6980
54.60	0.6983
54.90	0.6988
55.10	0.6988
55.40	0.6993
55.60	0.6995
55.90	0.6998
56.10	0.7003
56.40	0.7006
56.60	0.7008
56.90	0.7011
57.10	0.7011
57.40	0.7017
57.60	0.7018
57.90	0.7023
58.10	0.7024
58.40	0.7027
58.60	0.7029
58.90	0.7031
59.10	0.7031
59.40	0.7038
59.60	0.7040
59.90	0.7041
60.10	0.7045
60.40	0.7045
60.60	0.7050
60.90	0.7052
61.10	0.7052
61.40	0.7057
61.60	0.7059
61.90	0.7060
62.10	0.7063
62.40	0.7065
62.60	0.7068
62.90	0.7074
63.10	0.7074
63.40	0.7078
63.60	0.7082
63.90	0.7084
64.10	0.7086
64.30	0.7085
64.50	0.7086
64.70	0.7086
64.90	0.7090
65.20	0.7091
65.40	0.7094
65.70	0.7096
65.90	0.7101
66.20	0.7104
66.40	0.7107
66.70	0.7109
66.90	0.7111
67.20	0.7110
67.40	0.7110
67.70	0.7114
67.90	0.7114
68.20	0.7120
68.40	0.7121
68.70	0.7121
68.90	0.7125
69.20	0.7127
69.40	0.7129
69.70	0.7133
69.90	0.7133
70.20	0.7137
70.40	0.7137
70.70	0.7140
70.90	0.7140
71.20	0.7144
71.40	0.7145
71.70	0.7145
