SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2AAG_m1A_10C/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

234 points for Peak 1

Converged after 246 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.098e-002    1.033e+000  
T     =      11.314s      153.855s  

RSS   =   1.369e-003
SD    =   2.419e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.975e-001   -2.451e-003
    2       2.000s    9.948e-001    9.933e-001   -1.541e-003
    3       3.000s    9.897e-001    9.889e-001   -8.445e-004
    4       4.000s    9.846e-001    9.843e-001   -2.635e-004
    5       5.000s    9.794e-001    9.797e-001    2.345e-004
    6       6.000s    9.743e-001    9.749e-001    6.131e-004
    7       7.000s    9.691e-001    9.700e-001    9.181e-004
    8       8.000s    9.639e-001    9.650e-001    1.132e-003
    9       9.000s    9.587e-001    9.599e-001    1.241e-003
   10      10.000s    9.536e-001    9.548e-001    1.249e-003
   11      11.000s    9.483e-001    9.496e-001    1.309e-003
   12      12.000s    9.430e-001    9.444e-001    1.381e-003
   13      13.000s    9.377e-001    9.391e-001    1.371e-003
   14      14.000s    9.325e-001    9.338e-001    1.344e-003
   15      15.000s    9.271e-001    9.284e-001    1.305e-003
   16      16.000s    9.219e-001    9.231e-001    1.205e-003
   17      17.000s    9.166e-001    9.177e-001    1.119e-003
   18      18.000s    9.113e-001    9.123e-001    9.635e-004
   19      19.000s    9.061e-001    9.069e-001    7.458e-004
   20      20.000s    9.008e-001    9.014e-001    6.104e-004
   21      21.000s    8.955e-001    8.960e-001    4.918e-004
   22      22.000s    8.902e-001    8.906e-001    3.595e-004
   23      23.000s    8.849e-001    8.852e-001    2.277e-004
   24      24.000s    8.797e-001    8.797e-001    9.062e-005
   25      25.000s    8.744e-001    8.743e-001   -1.115e-004
   26      26.000s    8.692e-001    8.689e-001   -3.052e-004
   27      27.000s    8.640e-001    8.635e-001   -4.521e-004
   28      28.000s    8.588e-001    8.582e-001   -6.225e-004
   29      29.000s    8.536e-001    8.528e-001   -7.733e-004
   30      30.000s    8.484e-001    8.475e-001   -8.934e-004
   31      31.000s    8.432e-001    8.422e-001   -1.021e-003
   32      32.000s    8.380e-001    8.369e-001   -1.149e-003
   33      33.000s    8.329e-001    8.316e-001   -1.294e-003
   34      34.000s    8.278e-001    8.263e-001   -1.432e-003
   35      35.000s    8.226e-001    8.211e-001   -1.548e-003
   36      36.000s    8.176e-001    8.159e-001   -1.695e-003
   37      37.000s    8.125e-001    8.107e-001   -1.851e-003
   38      38.000s    8.075e-001    8.055e-001   -1.935e-003
   39      39.000s    8.024e-001    8.004e-001   -2.027e-003
   40      40.000s    7.974e-001    7.953e-001   -2.081e-003
   41      41.000s    7.923e-001    7.902e-001   -2.112e-003
   42      42.000s    7.873e-001    7.852e-001   -2.175e-003
   43      43.000s    7.824e-001    7.801e-001   -2.250e-003
   44      44.000s    7.774e-001    7.751e-001   -2.286e-003
   45      45.000s    7.725e-001    7.702e-001   -2.293e-003
   46      46.000s    7.675e-001    7.652e-001   -2.315e-003
   47      47.000s    7.626e-001    7.603e-001   -2.289e-003
   48      48.000s    7.577e-001    7.554e-001   -2.274e-003
   49      49.000s    7.528e-001    7.506e-001   -2.288e-003
   50      50.000s    7.480e-001    7.457e-001   -2.308e-003
   51      51.000s    7.432e-001    7.409e-001   -2.268e-003
   52      52.000s    7.384e-001    7.361e-001   -2.219e-003
   53      53.000s    7.336e-001    7.314e-001   -2.214e-003
   54      54.000s    7.289e-001    7.267e-001   -2.186e-003
   55      55.000s    7.242e-001    7.220e-001   -2.210e-003
   56      56.000s    7.195e-001    7.173e-001   -2.171e-003
   57      57.000s    7.148e-001    7.127e-001   -2.086e-003
   58      58.000s    7.102e-001    7.081e-001   -2.055e-003
   59      59.000s    7.056e-001    7.035e-001   -2.067e-003
   60      60.000s    7.010e-001    6.990e-001   -2.007e-003
   61      61.000s    6.963e-001    6.945e-001   -1.829e-003
   62      62.000s    6.918e-001    6.900e-001   -1.774e-003
   63      63.000s    6.872e-001    6.855e-001   -1.716e-003
   64      64.000s    6.828e-001    6.811e-001   -1.675e-003
   65      65.000s    6.783e-001    6.767e-001   -1.575e-003
   66      66.000s    6.738e-001    6.723e-001   -1.451e-003
   67      67.000s    6.694e-001    6.680e-001   -1.391e-003
   68      68.000s    6.650e-001    6.636e-001   -1.317e-003
   69      69.000s    6.606e-001    6.593e-001   -1.218e-003
   70      70.000s    6.562e-001    6.551e-001   -1.083e-003
   71      71.000s    6.518e-001    6.508e-001   -9.964e-004
   72      72.000s    6.475e-001    6.466e-001   -8.735e-004
   73      73.000s    6.432e-001    6.424e-001   -7.105e-004
   74      74.000s    6.389e-001    6.383e-001   -6.030e-004
   75      75.000s    6.347e-001    6.342e-001   -5.797e-004
   76      76.000s    6.306e-001    6.301e-001   -5.534e-004
   77      77.000s    6.264e-001    6.260e-001   -4.694e-004
   78      78.000s    6.223e-001    6.219e-001   -3.529e-004
   79      79.000s    6.182e-001    6.179e-001   -2.606e-004
   80      80.000s    6.140e-001    6.139e-001   -1.174e-004
   81      81.000s    6.099e-001    6.099e-001   -1.353e-005
   82      82.000s    6.059e-001    6.060e-001    7.441e-005
   83      83.000s    6.019e-001    6.020e-001    1.744e-004
   84      84.000s    5.978e-001    5.981e-001    3.208e-004
   85      85.000s    5.938e-001    5.943e-001    4.769e-004
   86      86.000s    5.898e-001    5.904e-001    6.099e-004
   87      87.000s    5.859e-001    5.866e-001    7.349e-004
   88      88.000s    5.820e-001    5.828e-001    7.816e-004
   89      89.000s    5.782e-001    5.790e-001    8.150e-004
   90      90.000s    5.743e-001    5.753e-001    9.288e-004
   91      91.000s    5.705e-001    5.715e-001    1.089e-003
   92      92.000s    5.667e-001    5.678e-001    1.169e-003
   93      93.000s    5.630e-001    5.642e-001    1.189e-003
   94      94.000s    5.592e-001    5.605e-001    1.274e-003
   95      95.000s    5.555e-001    5.569e-001    1.353e-003
   96      96.000s    5.518e-001    5.533e-001    1.472e-003
   97      97.000s    5.481e-001    5.497e-001    1.604e-003
   98      98.000s    5.445e-001    5.461e-001    1.645e-003
   99      99.000s    5.409e-001    5.426e-001    1.709e-003
  100     100.000s    5.373e-001    5.391e-001    1.764e-003
  101     101.000s    5.337e-001    5.356e-001    1.865e-003
