o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,50,1400,-3.9,9.75,3.2,9.87,34.98,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.649,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1401,-3.9,9.75,3.2,9.87,28.91,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6509,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1402,-3.9,9.75,3.2,9.87,25.36,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6499,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1403,-3.9,9.75,3.2,9.87,22.85,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6501,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,250,1404,-3.9,9.75,3.2,9.87,20.89,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6519,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,300,1405,-3.9,9.75,3.2,9.87,19.3,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6483,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,400,1406,-3.9,9.75,3.2,9.87,16.78,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6475,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,500,1407,-3.9,9.75,3.2,9.87,14.83,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6455,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,600,1408,-3.9,9.75,3.2,9.87,13.23,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6529,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,700,1409,-3.9,9.75,3.2,9.87,11.88,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6505,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,900,1410,-3.9,9.75,3.2,9.87,9.68,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6497,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,1000,1411,-3.9,9.75,3.2,9.87,8.76,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6487,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,1200,1412,-3.9,9.75,3.2,9.87,7.16,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6499,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,1600,1413,-3.9,9.75,3.2,9.87,4.64,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6498,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,2000,1414,-3.9,9.75,3.2,9.87,2.69,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6489,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,2500,1415,-3.9,9.75,3.2,9.87,0.74,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6501,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,3000,1416,-3.9,9.75,3.2,9.87,-0.86,0,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,0,290.6512,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1417,-3.9,9.75,3.2,9.87,28.91,-75,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,75,290.6509,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1418,-3.9,9.75,3.2,9.87,28.91,-125,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,125,290.6479,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1419,-3.9,9.75,3.2,9.87,28.91,-175,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,175,290.6505,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1420,-3.9,9.75,3.2,9.87,28.91,-225,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,225,290.6488,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1421,-3.9,9.75,3.2,9.87,28.91,-275,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,275,290.6503,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1422,-3.9,9.75,3.2,9.87,28.91,-295,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,295,290.6527,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1423,-3.9,9.75,3.2,9.87,28.91,-315,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,315,290.6481,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1424,-3.9,9.75,3.2,9.87,28.91,-335,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,335,290.6483,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1425,-3.9,9.75,3.2,9.87,28.91,-355,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,355,290.65,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1426,-3.9,9.75,3.2,9.87,28.91,-375,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,375,290.6503,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1427,-3.9,9.75,3.2,9.87,28.91,-395,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,395,290.6486,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1428,-3.9,9.75,3.2,9.87,28.91,-415,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,415,290.6508,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1429,-3.9,9.75,3.2,9.87,28.91,-435,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,435,290.6513,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1430,-3.9,9.75,3.2,9.87,28.91,-455,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,455,290.6511,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1431,-3.9,9.75,3.2,9.87,28.91,-475,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,475,290.6492,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1432,-3.9,9.75,3.2,9.87,28.91,-525,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,525,290.6466,8.0166
