Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-295,200,13.9589673681,0.808933633184,0.298281020632
1468,-275,200,15.4048694489,0.613478945474,0.152298299229
1465,-125,200,26.4035255796,1.05296399811,0.514451077238
1464,-75,200,31.1484979057,1.20317351357,0.573749113582
1467,-225,200,18.1439055645,0.792497374499,0.496688793137
1466,-175,200,21.840249213,1.30834131501,0.467263015786
1461,225,150,11.2967570449,0.65923776694,0.330461577764
1460,125,150,19.9028330006,1.12028104377,0.156641225979
1463,625,150,3.76122899464,0.518649003554,0.430665737595
1462,375,150,6.49536807833,0.869661292741,0.267183452336
1490,425,200,7.23528275978,0.597740565309,0.546763427934
1491,625,200,5.42788368184,0.720747886558,0.852966726931
1492,-75,600,30.7551730857,1.28050285872,0.321919930909
1493,-175,600,28.7221948132,0.888402954538,0.341988563482
1494,-275,600,26.5061392243,1.12764683811,0.682610125864
1495,-305,600,25.823859204,1.00458913621,0.217089803796
1496,-335,600,24.2766714649,0.843351927773,0.76776427253
1497,-355,600,23.5590195809,0.837933330302,0.688677667534
1498,-375,600,24.1174807562,0.800492111233,1.07008480445
1499,-395,600,23.5257064168,0.880107831115,0.335464585108
1418,-125,100,16.2961968593,0.752012397256,0.51245653986
1419,-175,100,12.0373682604,0.984944551189,0.50830579906
1410,0,900,30.6318114862,1.26318949352,0.3407222155
1411,0,1000,30.5227423384,1.13999675022,1.42335934805
1412,0,1200,29.5707258172,0.857699361429,1.10211776943
1413,0,1600,29.8544651668,1.15325900606,0.45601277953
1414,0,2000,29.1822891352,1.00730948891,0.987269692354
1415,0,2500,28.1303403839,0.775512578233,1.40787340649
1416,0,3000,29.3522060277,1.00397570623,0.499442628303
1417,-75,100,23.6763218264,0.979359066619,0.952015017581
1510,-2175,600,4.60802114605,0.604791310371,0.393493609139
1483,-775,200,4.6983229726,0.722515288463,0.252576623602
1482,-675,200,5.25656621984,0.930422800749,0.295322493018
1481,-625,200,6.02971840406,0.559925581304,1.44320011859
1480,-575,200,6.77620214268,0.792409653572,0.155988120548
1487,25,200,32.4490772458,1.05302116001,0.56127092266
1486,-1175,200,3.52325185504,0.566660847934,1.43330596226
1485,-975,200,3.72238181729,0.551484064439,1.23309289976
1484,-875,200,4.0079374993,0.672658566155,0.372903740267
1489,225,200,14.3278103345,0.637372830642,0.815446740408
1488,125,200,23.3196863447,1.1633428526,0.278800714942
1409,0,700,30.462978718,0.862650903627,1.461677497
1408,0,600,31.254875805,1.19678640724,0.749709253159
1520,1825,600,5.17099458769,0.599006239112,0.941818772917
1521,2225,600,4.60137177126,0.628660686725,0.571260129481
1522,2625,600,3.94189714079,0.803213790534,0.548502580269
1403,0,200,34.292734483,1.04617814689,0.673716375154
1402,0,150,33.981289178,1.08798607583,0.859761728289
1401,0,100,35.092629378,1.10460876501,1.19181054742
1407,0,500,31.7884288246,1.03752646931,1.45762505722
1406,0,400,32.2881468556,0.996825182635,0.165692018025
1405,0,300,33.135012961,1.0274460962,1.28544612929
1404,0,250,33.6027191034,1.28252927859,0.217217252241
1436,225,100,7.14920283865,0.751171824084,0.934222794654
1437,375,100,4.22675628876,0.677858119136,0.756121351106
1434,25,100,31.7890559117,1.13062295192,0.806813025367
1435,125,100,13.0613896117,0.768321980036,1.1239208252
1432,-525,100,4.9910790738,0.536852520767,1.94325867084
1433,-575,100,3.52474145453,0.595125333274,1.60847413956
1430,-455,100,5.04283688299,0.814787851761,0.210503095132
1431,-475,100,4.41162644622,0.647262533949,0.148251109771
1511,-2575,600,4.66157274183,0.561379945248,1.55084780176
1438,-75,150,28.8036526806,1.12755416307,0.637962052635
1439,-125,150,22.9950685917,1.00570809926,0.436723588242
1421,-275,100,6.93602264817,0.68902329064,0.453864423442
1420,-225,100,8.64968708185,0.859879940754,0.230664947724
1423,-315,100,6.49830388434,0.831871523033,0.335799148762
1422,-295,100,6.62825557151,0.707675117258,1.08048051953
1425,-355,100,6.41621228187,1.00102011355,0.234560004338
1424,-335,100,6.35551566079,0.777581522241,0.301980161468
1427,-395,100,6.01505543202,0.948001471355,0.61982538055
1426,-375,100,6.27266360553,0.969282325462,0.363979427652
1429,-435,100,5.64858168171,0.901134343575,0.16142767417
1428,-415,100,5.40131849993,0.704163597769,1.49434392051
1502,-475,600,20.3611747827,1.09778695321,0.147295939406
1503,-575,600,17.4835872848,0.90959243695,0.0136767206157
1500,-415,600,22.8910617827,0.805215086827,0.0989561852986
1501,-445,600,21.9728186482,0.951315754034,0.514150669563
1506,-975,600,10.1081060343,0.779921621941,0.38184034891
1507,-1175,600,8.34884007389,0.916076463435,0.0632248750615
1504,-675,600,15.9587563202,0.872398682402,0.0794976865883
1505,-775,600,13.3769918192,0.770770914397,0.267149441301
1508,-1375,600,7.06733608768,0.838887622309,0.0337403285653
1509,-1775,600,6.12308167051,0.835433954342,0.235778849061
1454,-575,150,4.8361661352,0.656610467959,0.17422176438
1455,-625,150,5.31288222682,0.6492184731,1.86617265047
1456,-675,150,3.99010579625,0.734279718642,0.586079928943
1457,-775,150,3.95164071015,0.684610767851,0.102997291225
1450,-435,150,7.07312360212,0.630379289226,0.804511730654
1451,-455,150,6.77207158946,0.702062724829,1.40993103247
1452,-475,150,6.23792606527,0.794215040255,0.771152200694
1453,-525,150,5.97524461093,0.763031421096,0.333217910638
1515,225,600,27.0045210104,0.89840813244,0.399842294992
1514,25,600,31.4962907857,1.53962566591,0.361449017154
1517,625,600,15.9919813814,0.994223859792,0.386900081278
1516,425,600,20.6083536805,0.863550674165,1.20449575842
1458,-875,150,3.80809633231,0.660266504011,0.333005376306
1459,25,150,32.1871158499,1.31712812798,0.737355844238
1513,-3375,600,3.66059322261,0.579817220256,0.477239355805
1512,-2975,600,3.96719302568,0.761832735153,0.183322937613
1519,1425,600,6.70826621966,0.624571597759,0.381369369453
1518,1025,600,9.29973684402,0.863702233212,0.334323571988
1447,-375,150,8.66736422422,0.671195283314,0.54702502484
1446,-355,150,8.98622044634,0.972919261046,0.163402169948
1445,-335,150,9.85606852826,0.612003422305,0.851271227491
1444,-315,150,9.95809045841,0.931678980789,0.479080059992
1443,-295,150,10.5683359592,0.670833737294,0.573802203024
1442,-275,150,11.1647009072,0.876450796642,0.556834477294
1441,-225,150,13.6661839259,0.732580664536,0.634002775808
1440,-175,150,17.0532209149,0.718757590951,0.517910580599
1449,-415,150,7.80326437222,0.77158116365,0.529679214504
1448,-395,150,8.28015440452,1.21854954597,0.120813679037
1472,-355,200,11.7137660054,0.730533913988,1.1618008927
1473,-375,200,11.0059698619,0.680795845251,0.577326383421
1470,-315,200,13.3510626877,0.788541164692,0.27316403044
1471,-335,200,12.3883291333,0.812595981545,0.358859142206
1476,-435,200,8.85612922238,0.884386529485,0.439942261276
1477,-455,200,9.15651169746,0.61004350229,0.191932664711
1474,-395,200,11.0829685388,0.854728594565,0.645330942327
1475,-415,200,9.99747087861,0.89678319632,0.331994750073
1478,-475,200,8.58600565517,0.841991479029,0.714462931263
1479,-525,200,6.97760083148,0.711531549235,2.11416542018
