Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-445,600,20.3017482043,0.338184175246,0.827988708743
1468,-415,600,21.2419744641,0.184564636747,0.231945759945
1465,-305,600,24.8052921146,0.287318159973,0.320493397759
1464,-275,600,25.0262262713,0.215504715231,0.398556135092
1467,-375,600,21.9841215666,0.362035282677,1.35456338861
1466,-335,600,23.4617709497,0.207681434764,0.321539471392
1461,1225,400,4.70760518254,0.188065866842,0.239995222178
1460,825,400,7.40765208282,0.207768920945,0.218228892894
1463,-175,600,27.5340671391,0.398585439881,2.03380732044
1462,-75,600,29.335261471,0.392981194011,0.287632689434
1490,-375,1000,24.8940196153,0.319034709212,0.963652275538
1491,-425,1000,24.4374338423,0.290066099476,0.216735591997
1492,-525,1000,22.5526148691,0.147240084573,0.0456632475697
1493,-675,1000,21.9608118377,0.200651228997,0.514646981365
1494,-975,1000,15.2996943914,0.16807578162,0.122167354798
1495,-1275,1000,11.1865678749,0.10960402701,0.131384114806
1496,-1575,1000,9.78705691337,0.262206305788,1.03845236134
1497,-2175,1000,6.66286473851,0.142275269057,0.186464991286
1498,-2775,1000,5.31830014855,0.164878080128,0.169203202587
1499,-3375,1000,4.6688222432,0.238608663387,0.728986969046
1418,-125,200,25.0672496402,0.213575236484,0.314724323208
1419,-175,200,20.9064641388,0.266943193794,0.506536247438
1410,0,900,27.7360891838,0.258011372062,0.295832729557
1411,0,1000,27.4995174255,0.210137166392,0.284397196311
1412,0,1200,27.4142708706,0.354164276913,0.612099375189
1413,0,1600,27.2670441745,0.433484340676,1.45064653948
1414,0,2000,27.1775872722,0.369306849411,0.57140561382
1415,0,2500,26.96119655,0.287314529896,0.460212759342
1416,0,3000,26.9964942769,0.205338491035,0.031640965063
1417,-75,200,29.8038822409,0.256871833706,0.124977696609
1483,1025,600,8.66542378923,0.201211050576,0.372563103825
1482,625,600,13.916296072,0.247635312955,0.156835082793
1481,425,600,18.6982191942,0.278620512949,0.960618445368
1480,225,600,25.1358566382,0.234898495252,0.519194680029
1487,-75,1000,27.9921968233,0.270174430436,0.444987567463
1486,2225,600,3.89655532876,0.104074477158,0.187141981033
1485,1825,600,5.04554079534,0.239673275892,0.145342622721
1484,1425,600,6.24283617942,0.254495918352,0.86043062909
1489,-325,1000,25.163349434,0.273254634221,0.398413873243
1488,-225,1000,26.7356791592,0.316327212191,1.00541283985
1409,0,700,28.8590109939,0.122395927013,0.0632052193295
1408,0,600,29.3223679691,0.262838502039,0.058417868581
1403,0,200,32.4087686414,0.298365324356,0.36667710508
1402,0,150,32.6141276785,0.364110000162,0.589709070842
1401,0,100,33.3517171443,0.850007825766,1.32625670754
1400,0,50,34.3185790478,1.3271189555,7.43410094391
1407,0,500,30.2664400636,0.258820596008,0.235686279169
