Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-445,600,20.2076071586,0.435106411771,1.5716525912
1468,-415,600,21.128346042,0.245615561124,0.364531812569
1465,-305,600,24.0254350143,0.549239296275,0.593913577842
1464,-275,600,24.6816585227,0.438153420708,0.292585328644
1467,-375,600,22.2977779473,0.425629735714,0.602089651087
1466,-335,600,23.4399037329,0.40540708301,0.613665761357
1461,1225,400,5.18573430792,0.354414253948,0.696959733224
1460,825,400,7.0403125509,0.537222689491,1.15824628991
1463,-175,600,26.0714732612,0.168461994288,0.0979336727834
1462,-75,600,28.0974412126,0.492606515435,0.767045213704
1490,-375,1000,24.3785714655,0.48329479879,0.837095728533
1491,-425,1000,23.7460731363,0.406407602096,0.566236456393
1492,-525,1000,21.2232533031,0.234473926526,0.250159536665
1493,-675,1000,21.8005134,0.424115479284,0.629373475562
1494,-975,1000,14.9361142759,0.225948548529,0.264760981805
1495,-1275,1000,11.7058996188,0.259575457379,0.289732695503
1496,-1575,1000,9.60302868722,0.363060525118,0.988009574002
1497,-2175,1000,6.87904459307,0.276935747956,0.379773964904
1498,-2775,1000,5.74158480532,0.198515918625,0.367512723093
1499,-3375,1000,4.51778373383,0.356175540022,0.544938255558
1418,-125,200,23.7077386527,0.229057898696,0.299101631145
1419,-175,200,20.0405038849,0.541509228893,1.45338295656
1410,0,900,26.4248150013,0.329682998544,0.211266397129
1411,0,1000,26.5509102824,0.610780024095,1.84104986226
1412,0,1200,26.6169191586,0.508153086637,0.468106085307
1413,0,1600,25.1465339151,0.312664894795,0.364347808704
1414,0,2000,25.5443317505,0.291148385153,0.495084261566
1415,0,2500,25.1081146057,0.456748271525,0.617150786829
1416,0,3000,25.7108188482,0.693684966701,1.16191066391
1417,-75,200,28.1550001049,0.713556260137,0.853569057301
1483,1025,600,8.55110192053,0.216750226238,0.39014832596
1482,625,600,13.9935146171,0.126991836492,0.0817184004877
1481,425,600,19.0822482096,0.293834985566,0.21552954268
1480,225,600,24.0906817986,0.162919629991,0.0723875539831
1487,-75,1000,27.7260783075,0.330238083689,0.103546660466
1486,2225,600,4.56136932841,0.209694247557,0.306056120938
1485,1825,600,5.07565633348,0.242640706693,0.200615313892
1484,1425,600,6.31806169121,0.143518052131,0.113556007134
1489,-325,1000,24.3995093511,0.483820902461,0.714182660448
1488,-225,1000,25.4999514671,0.357507003155,0.339435750356
1409,0,700,28.3529307344,0.422687885799,0.308152161674
1408,0,600,28.5902357468,0.532195797843,0.827294632711
1403,0,200,31.9377807394,0.413002469721,0.352817956979
1402,0,150,32.1129491301,0.536091979033,0.65393647913
1401,0,100,31.8648821659,0.608146715951,1.32997213326
1400,0,50,33.2576279537,1.38759878198,3.94666164738
1407,0,500,28.7556785488,0.637114546636,1.68197106537
1406,0,400,30.3822950268,0.468984429383,0.456985756194
1405,0,300,31.7208480475,0.287187004683,0.149680678014
1404,0,250,31.8207833846,0.278244159509,0.158072985273
1436,425,200,7.43608527709,0.340175810842,0.5849330109
1437,625,200,5.23948489922,0.277337186615,0.6374689017
1434,125,200,22.1749077809,0.454426098879,0.419814903886
1435,225,200,14.3477787903,0.404541367423,0.280877179761
1432,-775,200,5.15738929374,0.366973901339,1.21710967514
1433,25,200,31.3105874087,0.331757290868,0.268469263232
1430,-625,200,5.62786448743,0.406214740316,0.711044012798
1431,-675,200,5.56322434362,0.195691499028,0.216274835845
1438,-75,400,29.2940185331,0.523970202081,0.688168698623
