Folder,Offset,SLP,Dly,Int,Int_err,nInt,nInt_err
1400,0,150,0.0,1.0,0.0182654196834,1.0,0.0182654196834
1400,0,150,0.009,0.8244,0.0182654196834,0.8244,0.0221560161128
1400,0,150,0.018,0.6785,0.0182654196834,0.6785,0.0269202943012
1400,0,150,0.027,0.5888,0.0182654196834,0.5888,0.0310214328862
1400,0,150,0.036,0.4848,0.0182654196834,0.4848,0.0376761957165
1400,0,150,0.045,0.4165,0.0182654196834,0.4165,0.0438545490597
1400,0,150,0.054,0.3464,0.0182654196834,0.3464,0.0527292716033
1401,0,200,0.0,1.0,0.0123700983219,1.0,0.0123700983219
1401,0,200,0.009,0.8245,0.0123700983219,0.8245,0.015003151391
1401,0,200,0.018,0.6979,0.0123700983219,0.6979,0.017724743261
1401,0,200,0.027,0.5933,0.0123700983219,0.5933,0.0208496516465
1401,0,200,0.036,0.5047,0.0123700983219,0.5047,0.0245098044816
1401,0,200,0.045,0.4214,0.0123700983219,0.4214,0.0293547658327
1401,0,200,0.054,0.3537,0.0123700983219,0.3537,0.034973419061
1402,0,250,0.0,1.0,0.0109911286289,1.0,0.0109911286289
1402,0,250,0.009,0.8581,0.0109911286289,0.8581,0.0128086803739
1402,0,250,0.018,0.6981,0.0109911286289,0.6981,0.0157443469831
1402,0,250,0.027,0.5924,0.0109911286289,0.5924,0.018553559468
1402,0,250,0.036,0.5011,0.0109911286289,0.5011,0.0219340024523
1402,0,250,0.045,0.4293,0.0109911286289,0.4293,0.0256024426482
1402,0,250,0.054,0.3541,0.0109911286289,0.3541,0.0310396177037
1403,0,300,0.0,1.0,0.0168466746078,1.0,0.0168466746078
1403,0,300,0.009,0.8276,0.0168466746078,0.8276,0.0203560592168
1403,0,300,0.018,0.6999,0.0168466746078,0.6999,0.0240701165992
1403,0,300,0.027,0.6014,0.0168466746078,0.6014,0.0280124286794
1403,0,300,0.036,0.5032,0.0168466746078,0.5032,0.0334790830839
1403,0,300,0.045,0.4221,0.0168466746078,0.4221,0.0399115721578
1403,0,300,0.054,0.3609,0.0168466746078,0.3609,0.0466796193067
1404,0,400,0.0,1.0,0.00981707146964,1.0,0.00981707146964
1404,0,400,0.009,0.8562,0.00981707146964,0.8562,0.0114658624967
1404,0,400,0.018,0.7182,0.00981707146964,0.7182,0.0136689939705
1404,0,400,0.027,0.6055,0.00981707146964,0.6055,0.0162131651026
1404,0,400,0.036,0.5202,0.00981707146964,0.5202,0.0188717252396
1404,0,400,0.045,0.4465,0.00981707146964,0.4465,0.0219867222164
1404,0,400,0.054,0.3783,0.00981707146964,0.3783,0.0259504929147
1405,0,500,0.0,1.0,0.0105812533072,1.0,0.0105812533072
1405,0,500,0.009,0.8432,0.0105812533072,0.8432,0.0125489247002
1405,0,500,0.018,0.7211,0.0105812533072,0.7211,0.0146737668939
1405,0,500,0.027,0.6179,0.0105812533072,0.6179,0.0171245400667
1405,0,500,0.036,0.5218,0.0105812533072,0.5218,0.0202783696957
1405,0,500,0.045,0.4519,0.0105812533072,0.4519,0.0234150327665
1405,0,500,0.054,0.3786,0.0105812533072,0.3786,0.0279483711231
1406,0,600,0.0,1.0,0.0147417405709,1.0,0.0147417405709
1406,0,600,0.009,0.8551,0.0147417405709,0.8551,0.0172397854881
1406,0,600,0.018,0.7357,0.0147417405709,0.7357,0.0200377063625
1406,0,600,0.027,0.6191,0.0147417405709,0.6191,0.0238115660974
1406,0,600,0.036,0.5357,0.0147417405709,0.5357,0.027518649563
1406,0,600,0.045,0.4566,0.0147417405709,0.4566,0.0322858970015
1406,0,600,0.054,0.3923,0.0147417405709,0.3923,0.0375777225871
1407,0,700,0.0,1.0,0.00945526061444,1.0,0.00945526061444
1407,0,700,0.009,0.8557,0.00945526061444,0.8557,0.0110497377754
