Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-200,600,20.6575581162,0.443576721515,0.135196792645
1468,-100,600,20.7072782939,0.405287868341,0.201233320998
1465,600,400,6.45946650113,0.235675727827,0.393123101669
1464,400,400,9.95764895496,0.23815254656,0.177918780297
1467,1200,400,3.38082801735,0.179050632447,0.179422048399
1466,800,400,4.98715857548,0.219708654739,0.32622616617
1461,-1400,400,3.42336608038,0.167667934572,0.144867628857
1460,-1200,400,3.73698447485,0.242353764569,0.25162897145
1463,200,400,16.0324655001,0.320084609864,0.302306554247
1462,50,400,21.7532950422,0.641615634059,0.196607759387
1490,1400,600,4.03706879476,0.379923320747,0.183587411865
1491,1800,600,3.21147901052,0.303104017739,0.369426320223
1492,-100,1000,17.8737061394,0.485186868046,0.260914957888
1493,-250,1000,18.1988922465,0.341446869746,0.109838718889
1494,-350,1000,16.620977157,0.326075213456,0.109972978781
1495,-400,1000,16.2093874745,0.433606970484,0.139281713732
1496,-450,1000,15.6163422359,0.335197249443,0.139013919854
1497,-550,1000,14.5111483098,0.311741569691,0.0539865948317
1498,-700,1000,12.9871397928,0.46386646255,0.579349740384
1499,-1000,1000,9.77618996422,0.226764837291,0.0715640912469
1418,-100,200,21.6911790044,0.461369487104,0.249737192314
1419,-150,200,18.9341266662,0.415537858681,0.321428134448
1410,0,900,18.181399664,0.333346376813,0.0265087275836
1411,0,1000,18.0347322553,0.481720034444,0.226209146403
1412,0,1200,17.3374575729,0.343676144154,0.15263611752
1413,0,1400,16.6221374581,0.355064584295,0.172603993128
1414,0,1600,16.2271465104,0.261653493138,0.0607189234805
1415,0,2000,15.8229767199,0.384361692987,0.343905894749
1416,0,2500,15.695630496,0.376087918707,0.17966566018
1417,0,3000,15.9917506897,0.420565706011,0.425815486586
1510,2600,1000,3.77244787145,0.216622817207,0.187097895526
1483,-1200,600,5.47096976231,0.310789942691,0.368978612937
1482,-1000,600,6.75018601516,0.219377221082,0.06106007661
1481,-800,600,9.35201745852,0.441858168919,0.566675082828
1480,-700,600,10.9923296298,0.401098805513,0.210673795336
1487,400,600,12.8408331818,0.455743115596,0.526784544927
1486,200,600,17.1756856031,0.321568221919,0.193085385019
1485,-1800,600,3.66461172179,0.310322429918,0.981653415688
1484,-1400,600,4.56085376639,0.186310339536,0.22277405022
1489,1000,600,5.54580920459,0.270983218063,0.224803103604
1488,600,600,9.31857968684,0.102004277987,0.0383399717726
1409,0,700,19.7273630602,0.628489859492,1.43449575904
1408,0,600,20.6984317262,0.574634398753,0.52555766471
1403,0,200,24.290776327,0.421057253823,0.136856959133
1402,0,150,25.4654517235,1.06731774096,1.56519716052
1401,0,100,24.8685231084,0.397081569709,0.186344596484
1400,0,50,26.124582509,5.43814414973,50.4693328499
1407,0,500,21.6150135316,0.545613290107,0.675446060809
1406,0,400,22.9292551588,0.56007013884,0.232012296111
1405,0,300,23.8636931284,0.54546014618,0.159542718398
1404,0,250,24.2850898299,0.492132146443,0.413377469044
1436,-700,200,5.24399697582,0.286470743067,0.182017781706
1437,100,200,18.3248155096,0.426995386194,0.314354320524
1434,-600,200,6.55110594949,0.188552176419,0.162031404493
1435,-650,200,5.68862036837,0.189709000728,0.107259197582
1432,-500,200,8.16399132153,0.190095903138,0.154079069519
1433,-550,200,7.26493767334,0.295611081224,0.202956296185
1430,-460,200,8.77747413883,0.215312818627,0.0591620596824
1431,-480,200,8.45977667788,0.316462663004,0.0881269643686
1511,3100,1000,3.32838913881,0.276075543608,0.1149264018
1438,200,200,10.8818035626,0.249044703306,0.05780673043
1439,400,200,5.15330690843,0.293366621127,0.622721862904
1421,-250,200,14.0642183973,0.292772192497,0.246536312056
1420,-200,200,15.964579438,0.293565111311,0.0706099303581
1423,-320,200,11.9520248081,0.308856228963,0.292837021298
1422,-300,200,12.452144499,0.311455612576,0.27589307012
1425,-360,200,10.8015726461,0.254198876442,0.343598008616
1424,-340,200,11.3207927799,0.212029882606,0.194678063936
1427,-400,200,10.0566730026,0.267327358114,0.491705198646
1426,-380,200,10.3013283024,0.394749233077,0.630088017261
1429,-440,200,9.227964659,0.337770116196,0.506059988061
1428,-420,200,9.87159146086,0.254469169875,0.598671103806
1502,-2200,1000,4.38071132915,0.256919627072,0.140222050934
1503,-2800,1000,3.61276183327,0.350214790657,0.153701931146
1500,-1300,1000,7.41546935828,0.258876762447,0.290926245145
1501,-1600,1000,6.23435816409,0.209799068859,0.0867257988504
1506,500,1000,13.678417076,0.343121209266,0.180196418643
1507,800,1000,10.2830976404,0.358350553808,0.160613525013
1504,-3400,1000,3.02794488558,0.254451790697,0.463244591587
1505,200,1000,17.2361476523,0.292466303033,0.120241754614
1508,1400,1000,6.56771564029,0.301700637222,0.133118725524
1509,2000,1000,4.34515018449,0.25639518353,0.576156471189
1454,-500,400,13.3367924451,0.320775184401,0.324207242898
1455,-550,400,12.4150858293,0.433391668354,0.234006402338
1456,-600,400,10.9198127873,0.350498565456,0.369779601967
1457,-700,400,8.59328972336,0.175820471208,0.15815636692
1450,-420,400,15.3158412557,0.262224324791,0.108746283136
1451,-440,400,14.9003809109,0.25709126371,0.289262022153
1452,-460,400,14.4427171801,0.335749840516,0.600390717864
1453,-480,400,13.6803791642,0.275023767429,0.137044348748
1458,-850,400,6.26367113723,0.15733612973,0.0455937046655
1459,-1000,400,5.07773209788,0.182121953932,0.137426042157
1447,-360,400,16.9612031963,0.394351894772,0.283638709025
1446,-340,400,17.3715467264,0.208470909423,0.168585851036
1445,-320,400,17.8745663479,0.261305892265,0.0773896752273
1444,-300,400,18.351615069,0.242354049553,0.128439032373
1443,-250,400,20.3281305956,0.35445086778,0.269600816333
1442,-200,400,20.9401614334,0.231274324405,0.100093873564
1441,-100,400,22.371865102,0.68431870977,0.275017051743
1440,600,200,3.57425715912,0.239350146242,0.119681836162
1449,-400,400,15.7328653522,0.220823678021,0.0416932490652
1448,-380,400,16.5453110082,0.431661680888,0.529701006896
1472,-360,600,17.355670668,0.215702053181,0.0366161019297
1473,-380,600,17.1541706827,0.424171656111,0.63219029951
1470,-300,600,18.9489408382,0.513424526372,0.113097019992
1471,-330,600,18.3298478142,0.200690735873,0.0290960143003
1476,-440,600,15.6517186261,0.254954324857,0.239182066444
1477,-470,600,15.676699608,0.218986137894,0.0313789599224
1474,-400,600,16.9459046117,0.257341126187,0.0563390309369
1475,-420,600,16.3941474814,0.419419675892,0.489802468053
1478,-500,600,14.7344402889,0.290466616349,0.114400966666
1479,-600,600,12.8270101264,0.360006819724,0.589801052706
