Folder,Offset,SLP,Dly,Int,Int_err,nInt,nInt_err
1400,0,50,0.0,1.0,0.0141617268904,1.0,0.0141617268904
1400,0,50,0.01,0.5643,0.0141617268904,0.5643,0.0250960958541
1400,0,50,0.02,0.6421,0.0141617268904,0.6421,0.0220553292173
1400,0,50,0.03,0.3833,0.0141617268904,0.3833,0.0369468481358
1400,0,50,0.04,0.3782,0.0141617268904,0.3782,0.0374450737452
1400,0,50,0.05,0.2531,0.0141617268904,0.2531,0.055953089255
1401,0,100,0.0,1.0,0.0150859271027,1.0,0.0150859271027
1401,0,100,0.01,0.7737,0.0150859271027,0.7737,0.0194984194167
1401,0,100,0.02,0.5963,0.0150859271027,0.5963,0.0252992237174
1401,0,100,0.03,0.4771,0.0150859271027,0.4771,0.0316200526152
1401,0,100,0.04,0.367,0.0150859271027,0.367,0.0411060683998
1401,0,100,0.05,0.2929,0.0150859271027,0.2929,0.0515053844408
1402,0,150,0.0,1.0,0.015898285149,1.0,0.015898285149
1402,0,150,0.01,0.7293,0.015898285149,0.7293,0.0217993763184
1402,0,150,0.02,0.6048,0.015898285149,0.6048,0.0262868471379
1402,0,150,0.03,0.459,0.015898285149,0.459,0.0346367868169
1402,0,150,0.04,0.3589,0.015898285149,0.3589,0.044297255918
1402,0,150,0.05,0.2786,0.015898285149,0.2786,0.0570649143897
1403,0,200,0.0,1.0,0.020692048747,1.0,0.020692048747
1403,0,200,0.01,0.7667,0.020692048747,0.7667,0.0269884553893
1403,0,200,0.02,0.6161,0.020692048747,0.6161,0.0335855360282
1403,0,200,0.03,0.4785,0.020692048747,0.4785,0.0432435710491
1403,0,200,0.04,0.3767,0.020692048747,0.3767,0.0549297816485
1403,0,200,0.05,0.298,0.020692048747,0.298,0.0694364051912
1404,0,250,0.0,1.0,0.0125556638278,1.0,0.0125556638278
1404,0,250,0.01,0.769,0.0125556638278,0.769,0.0163272611545
1404,0,250,0.02,0.6149,0.0125556638278,0.6149,0.0204190337092
1404,0,250,0.03,0.483,0.0125556638278,0.483,0.0259951632045
1404,0,250,0.04,0.3699,0.0125556638278,0.3699,0.0339434004536
1404,0,250,0.05,0.3021,0.0125556638278,0.3021,0.0415612837729
1405,0,300,0.0,1.0,0.0244112912369,1.0,0.0244112912369
1405,0,300,0.01,0.7657,0.0244112912369,0.7657,0.0318810124551
1405,0,300,0.02,0.6115,0.0244112912369,0.6115,0.0399203454405
1405,0,300,0.03,0.4893,0.0244112912369,0.4893,0.04989023347
1405,0,300,0.04,0.3801,0.0244112912369,0.3801,0.0642233392183
1405,0,300,0.05,0.3068,0.0244112912369,0.3068,0.079567442102
1406,0,400,0.0,1.0,0.0215077769481,1.0,0.0215077769481
1406,0,400,0.01,0.7712,0.0215077769481,0.7712,0.0278887149224
1406,0,400,0.02,0.6201,0.0215077769481,0.6201,0.0346843685666
1406,0,400,0.03,0.4995,0.0215077769481,0.4995,0.0430586125088
1406,0,400,0.04,0.4001,0.0215077769481,0.4001,0.0537560033695
1406,0,400,0.05,0.3191,0.0215077769481,0.3191,0.0674013693141
1407,0,500,0.0,1.0,0.0132061588486,1.0,0.0132061588486
1407,0,500,0.01,0.7866,0.0132061588486,0.7866,0.0167889128509
1407,0,500,0.02,0.6366,0.0132061588486,0.6366,0.0207448301108
1407,0,500,0.03,0.5315,0.0132061588486,0.5315,0.0248469592635
1407,0,500,0.04,0.4133,0.0132061588486,0.4133,0.0319529611627
1407,0,500,0.05,0.3401,0.0132061588486,0.3401,0.0388302230184
1408,0,600,0.0,1.0,0.0163187680054,1.0,0.0163187680054
1408,0,600,0.01,0.786,0.0163187680054,0.786,0.0207617913555
1408,0,600,0.02,0.6631,0.0163187680054,0.6631,0.0246098145158
1408,0,600,0.03,0.5291,0.0163187680054,0.5291,0.0308425023728
1408,0,600,0.04,0.4342,0.0163187680054,0.4342,0.0375835283405
1408,0,600,0.05,0.3557,0.0163187680054,0.3557,0.0458778971196
1409,0,700,0.0,1.0,0.0109266835395,1.0,0.0109266835395
