Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-200,600,23.7692296598,0.757686840836,1.79011460439
1468,-100,600,25.4018777973,0.661131713011,0.847830996232
1465,600,400,8.15285611849,0.371646004718,0.66451863617
1464,400,400,12.6137308809,0.277487367347,0.31981310148
1467,1200,400,4.35148264355,0.345700740854,0.614263384251
1466,800,400,5.78655460295,0.128124633023,0.122089741788
1461,-1400,400,3.79461492424,0.432749690217,1.13063775462
1460,-1200,400,4.36457453532,0.455791064236,0.927308785219
1463,200,400,19.8040866044,0.468387545196,0.965579914664
1462,50,400,25.9849381048,0.811334035883,1.20094216017
1490,1400,600,4.90550475835,0.356862725811,0.444389938511
1491,1800,600,3.76762890513,0.593319479463,2.13077778479
1492,-100,1000,23.1077039931,0.561357478763,0.708442304386
1493,-250,1000,21.9754151979,0.509542997083,0.855553673968
1494,-350,1000,21.3098340363,0.499190608137,0.724493452838
1495,-400,1000,20.2880883367,0.397391436967,0.465832093397
1496,-450,1000,19.5937512376,0.56011619443,1.0584337368
1497,-550,1000,18.0128651981,0.537994180321,0.975810962868
1498,-700,1000,16.1326853814,0.621704610416,0.97740775597
1499,-1000,1000,12.2613903641,0.581326681699,1.1852463314
1418,-100,200,25.471043596,0.372937304728,0.368161683325
1419,-150,200,21.4673289997,0.381828280785,0.325129629633
1410,0,900,23.2776266194,0.640722022344,0.985920751393
1411,0,1000,22.7771950466,0.796100417281,2.29976735085
1412,0,1200,23.2437662302,0.820114922106,2.02929731051
1413,0,1400,22.1160899929,0.732163732106,0.998696464738
1414,0,1600,21.6082652574,0.530055446471,0.784805541117
1415,0,2000,21.2518154356,0.727034990849,2.65840401614
1416,0,2500,21.602422137,0.353168246899,0.415310108009
1417,0,3000,21.2629091223,0.613401191169,0.52895825059
1510,2600,1000,4.46141380725,0.358272639479,0.744938402615
1483,-1200,600,6.24202440445,0.457973204198,1.21687406811
1482,-1000,600,7.68353461267,0.516828285959,1.84517977981
1481,-800,600,10.5726992217,0.229585664485,0.196074293033
1480,-700,600,11.8596011899,0.385846733864,1.05644143589
1487,400,600,16.1955858531,0.170433376526,0.117933942003
1486,200,600,20.8208632845,0.40000823644,0.660654481315
1485,-1800,600,4.18414618349,0.387780146953,1.38327103315
1484,-1400,600,5.49104231623,0.287673126444,0.442457107587
1489,1000,600,6.86401278579,0.372317229777,0.76086298219
1488,600,600,11.7232579629,0.391383283226,0.810759477269
1409,0,700,24.9020091744,0.95379844524,2.2219083183
1408,0,600,24.862596018,0.927046964363,2.74381760189
1403,0,200,29.2501271827,0.908644723165,1.69824283384
1402,0,150,29.8932888167,0.662445656014,0.6703113762
1401,0,100,30.3336131475,0.820683157175,1.05559256658
1400,0,50,29.5830047391,1.58449543322,3.92121220386
1407,0,500,26.5129048756,0.887428024331,2.02952027107
1406,0,400,27.5593738746,0.815703909128,1.61644359766
1405,0,300,28.4780809707,0.765806446566,0.857256323827
1404,0,250,28.9954065475,0.691279808554,1.453092956
1436,-700,200,4.63957125953,0.294783158216,0.432273279871
1437,100,200,21.654914204,0.492887433579,0.858741815869
1434,-600,200,5.77091523727,0.265341747733,0.315406774418
1435,-650,200,5.78270266526,0.324708487856,0.358401406494
1432,-500,200,7.57634542219,0.324243110341,0.507215172792
1433,-550,200,6.69446558286,0.225743823041,0.373772612096
1430,-460,200,8.51459416896,0.279789240762,0.442465964379
1431,-480,200,8.01663096423,0.494145292077,1.28677105427
1511,3100,1000,4.00990953695,0.305929853402,0.519837418565
1438,200,200,13.4508083366,0.574468806059,1.15226263692
1439,400,200,6.57795788156,0.324045320207,1.17679113273
1421,-250,200,15.5926875391,0.178327079193,0.070038999852
1420,-200,200,17.8156402513,0.779671242988,2.40034933077
1423,-320,200,12.7467637035,0.600862113753,1.87092972431
1422,-300,200,13.1750526436,0.490245489276,0.965609362389
1425,-360,200,11.2421702137,0.189446084582,0.163335517592
1424,-340,200,11.8547835524,0.310287128742,0.635362112597
1427,-400,200,10.0004470686,0.400978286792,0.541904914678
1426,-380,200,10.5591944036,0.410757412111,0.576267055249
1429,-440,200,9.17723984567,0.411525459038,0.960966666559
1428,-420,200,9.52786524977,0.354463434353,0.873428282803
1502,-2200,1000,4.99574188416,0.327369176967,0.87817161361
1503,-2800,1000,4.55019120127,0.346613834402,0.726300095236
1500,-1300,1000,9.42489948869,0.266967118769,0.348375898789
1501,-1600,1000,7.97674984292,0.407278718503,1.09384175573
1506,500,1000,17.3583268846,0.779979497776,1.16287232065
1507,800,1000,13.9211381389,0.505904495441,0.978841357359
1504,-3400,1000,3.68007748348,0.367273943264,0.699658004844
1505,200,1000,22.0287600511,0.445225423219,0.619223001103
1508,1400,1000,8.03124405565,0.47086569195,0.998457382772
1509,2000,1000,5.93452123695,0.51325493285,2.53619041498
1454,-500,400,13.0592923138,0.539576409089,1.02144582288
1455,-550,400,11.8424364135,0.566908855392,1.56088013664
1456,-600,400,11.1971538267,0.309951235641,0.386923371242
1457,-700,400,9.29956787283,0.312840702191,0.542776808375
1450,-420,400,16.0803339525,0.513546249854,1.18991405389
1451,-440,400,15.4079096,0.182033065695,0.176726332681
1452,-460,400,14.3774300487,0.406428273714,0.73158358967
1453,-480,400,14.3039496224,0.438845995123,1.08818543351
1458,-850,400,6.53314953444,0.504318941302,0.931025751812
1459,-1000,400,4.95965080117,0.398130765589,0.962259209274
1447,-360,400,17.8796953954,0.623461575557,1.07365246474
1446,-340,400,18.6523469856,0.515153753089,0.927059003691
1445,-320,400,19.36042746,0.33567206896,0.530823486191
1444,-300,400,20.660403606,0.67775186335,1.44590889957
1443,-250,400,22.4865728153,0.514899553961,0.875465457094
1442,-200,400,23.8475978628,0.842780002802,1.17556374756
1441,-100,400,26.3764090116,0.678756399094,1.29404450598
1440,600,200,3.8404691836,0.295624243716,0.864277741247
1449,-400,400,16.5288690135,0.495788670278,0.683180845273
1448,-380,400,17.5801422033,0.459593913888,0.460160965507
1472,-360,600,20.1653983412,0.259956262324,0.210422579933
1473,-380,600,19.6977486569,0.568196884152,0.962933696239
1470,-300,600,21.4217164657,0.342457848465,0.27102656889
1471,-330,600,20.5973656806,0.580266214411,1.3245603608
1476,-440,600,17.4327078345,0.42173366604,0.780331693505
1477,-470,600,17.1310607549,0.607131852058,1.39448148882
1474,-400,600,19.2120880131,0.566791324253,1.77317925716
1475,-420,600,18.0942490817,0.393981051934,0.41132579204
1478,-500,600,16.3192790675,0.26448296872,0.264203490242
1479,-600,600,14.4386459808,0.59194686591,1.66126480863
