Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-200,600,23.774836918,0.658186726228,1.79018113573
1468,-100,600,25.4407072237,0.478799481292,0.849259097012
1465,600,400,8.17414416187,0.316275514956,0.666073249691
1464,400,400,12.5689875888,0.248756790171,0.323017536765
1467,1200,400,4.36238417576,0.273857549671,0.617944052303
1466,800,400,5.79791278452,0.108347951129,0.124581660022
1461,-1400,400,3.78997479886,0.347259556756,1.13535217907
1460,-1200,400,4.38261899749,0.362568508038,0.928028957633
1463,200,400,19.8171554615,0.399089381601,0.96801480529
1462,50,400,26.016991145,0.682469278013,1.21027670871
1490,1400,600,4.91250575501,0.240937923284,0.44508914716
1491,1800,600,3.76348286291,0.477384479573,2.13082271275
1492,-100,1000,23.0997218883,0.453947496,0.709129252847
1493,-250,1000,21.9361033431,0.398866211072,0.859251688046
1494,-350,1000,21.2799850668,0.384998759608,0.725585372298
1495,-400,1000,20.3055163268,0.339993101646,0.468281624942
1496,-450,1000,19.6247576366,0.489270242815,1.05962561574
1497,-550,1000,18.0083705434,0.453538049592,0.975855004335
1498,-700,1000,16.1609642183,0.508381131596,0.978557163091
1499,-1000,1000,12.2585765466,0.421361955584,1.18554905584
1418,-100,200,25.4316049548,0.302601881858,0.369845088846
1419,-150,200,21.5316801561,0.313935365301,0.334923751945
1410,0,900,23.2735398621,0.546039750041,0.985981752601
1411,0,1000,22.7507637374,0.66356663768,2.30833179548
1412,0,1200,23.2286533162,0.719186462249,2.02966709186
1413,0,1400,22.1332627993,0.550678366202,1.00079961732
1414,0,1600,21.6962746014,0.419199031694,0.793490966273
1415,0,2000,21.286940272,0.699815609425,2.66012374451
1416,0,2500,21.651649262,0.301512933357,0.41836568967
1417,0,3000,21.2658568621,0.479903239154,0.529126520142
1510,2600,1000,4.43557734379,0.323916437611,0.746751101584
1483,-1200,600,6.22560747953,0.361668764103,1.21751911076
1482,-1000,600,7.68445333805,0.468893945462,1.84983320167
1481,-800,600,10.571799968,0.192079459665,0.196139502237
1480,-700,600,11.8202754175,0.334079645559,1.06086768794
1487,400,600,16.1548545063,0.150971087439,0.120689420735
1486,200,600,20.8407209972,0.304306797197,0.661675192696
1485,-1800,600,4.19496438697,0.367145263164,1.3856005876
1484,-1400,600,5.51808189289,0.260785731647,0.443809364936
1489,1000,600,6.81661999145,0.292869129615,0.76900739558
1488,600,600,11.6405965755,0.336320102612,0.823076732095
1409,0,700,24.8656627696,0.848522999575,2.22771812648
1408,0,600,24.9256475604,0.854216139932,2.74961207747
1403,0,200,29.2469780711,0.783660238424,1.69831995203
1402,0,150,29.897267385,0.487499125324,0.670722253969
1401,0,100,30.4421794743,0.639241884414,1.0646984605
1400,0,50,29.5976474323,1.28131546527,3.9213432294
1407,0,500,26.4714625439,0.722994843516,2.03236417783
1406,0,400,27.5861307675,0.678002699691,1.61706711399
1405,0,300,28.4313517346,0.602351188563,0.860154756447
1404,0,250,29.0318866714,0.533305849195,1.45489565701
1436,-700,200,4.60718014408,0.245338604754,0.436986697659
1437,100,200,21.6026476176,0.399366530239,0.864695130753
1434,-600,200,5.7656666079,0.204693179212,0.315906594608
1435,-650,200,5.80454716229,0.23652243122,0.360165198437
1432,-500,200,7.53563100631,0.261722599762,0.510582590213
1433,-550,200,6.72312698995,0.188791718983,0.37609368933
1430,-460,200,8.52015866954,0.242399050773,0.446721257779
1431,-480,200,8.02513029609,0.417237339619,1.28707127543
1511,3100,1000,3.99630785214,0.275016023111,0.520863191582
1438,200,200,13.3979219515,0.495784863425,1.15586625807
1439,400,200,6.54139146232,0.29927049804,1.18569485743
1421,-250,200,15.557839174,0.131804060295,0.0740216435911
1420,-200,200,17.7862010623,0.598814935886,2.40778169244
1423,-320,200,12.6972019999,0.477162671304,1.8766711957
1422,-300,200,13.1870465898,0.410872065856,0.966261838688
1425,-360,200,11.2460186821,0.168770014495,0.163979943619
1424,-340,200,11.832798019,0.29629979572,0.639583078721
1427,-400,200,10.0296894098,0.297163181663,0.543347887917
1426,-380,200,10.5573957109,0.384840104235,0.5764463913
1429,-440,200,9.18008056081,0.342551973534,0.962797722694
1428,-420,200,9.51688753384,0.338998401679,0.875024485217
1502,-2200,1000,4.97552988197,0.27589314796,0.880418008204
1503,-2800,1000,4.56225936069,0.259404836082,0.728723377983
1500,-1300,1000,9.43086985251,0.216000794079,0.349936830883
1501,-1600,1000,8.0195607419,0.347544573699,1.09914943307
1506,500,1000,17.313372374,0.544063679065,1.16734757394
1507,800,1000,13.9352080396,0.419085765214,0.981228943575
1504,-3400,1000,3.67209126312,0.305674720962,0.699890654711
1505,200,1000,22.0373906733,0.378039395735,0.622696959816
1508,1400,1000,8.06330672794,0.365322654964,1.00065375879
1509,2000,1000,5.94047992955,0.468372741622,2.54358928531
1454,-500,400,13.0478455984,0.447143217027,1.02210001201
1455,-550,400,11.8578943462,0.461434557902,1.56135575483
1456,-600,400,11.2156115746,0.251074986384,0.389082740856
1457,-700,400,9.31172668666,0.26414488773,0.546266204533
1450,-420,400,16.143572426,0.392891165013,1.19849318806
1451,-440,400,15.4631856222,0.169262297312,0.181435224607
1452,-460,400,14.3670540312,0.347392567922,0.73174905535
1453,-480,400,14.3386287086,0.406779415255,1.09050582582
1458,-850,400,6.57777798461,0.355271321949,0.9348599514
