Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-200,600,36.3772246638,0.948331878636,0.695168731635
1468,-100,600,37.3561147306,0.817751031959,0.461007894311
1465,600,400,8.30312388274,0.575017010572,0.491711131027
1464,400,400,14.3728458078,0.487373154523,0.352887564715
1467,1200,400,3.69626916226,0.559458720497,0.536637786715
1466,800,400,5.72872702442,0.798468168802,0.502098955304
1461,-1400,400,3.53770385102,0.482388842558,0.347456776189
1460,-1200,400,4.28523850717,0.655996538109,0.58456877622
1463,200,400,26.8471854809,0.822210729597,0.606199982417
1462,50,400,38.9299780618,1.5463779446,0.899127823557
1490,1400,600,4.59276211723,0.88407863447,0.842351945967
1491,1800,600,3.1557124981,0.732313328926,1.13076927568
1492,-100,1000,27.4233974908,1.33429283436,1.27938860115
1493,-250,1000,27.8069869468,0.682560000768,0.60053911703
1494,-350,1000,25.6962591676,0.682184519512,0.53546887174
1495,-400,1000,25.1070338852,0.756980860836,0.379006257648
1496,-450,1000,24.1057834214,0.676209844965,0.431926678171
1497,-550,1000,22.091930739,0.557761227146,0.406255838199
1498,-700,1000,19.1064563289,0.25147051255,0.0490793947551
1499,-1000,1000,13.6235579709,0.705034012878,0.409020926034
1418,-100,200,46.7258439287,0.801549804776,0.223336065398
1419,-150,200,40.1880526986,1.1323639044,1.11658686602
1410,0,900,29.4821691389,0.967710203007,0.713656058723
1411,0,1000,27.2628536319,0.859741177383,0.526102875225
1412,0,1200,24.9350158342,1.1809463976,2.04018423775
1413,0,1400,22.6873967965,0.985776261415,1.48676970618
1414,0,1600,21.9560181231,0.839149195229,1.13494771664
1415,0,2000,21.422776281,0.818933386488,0.900485469708
1416,0,2500,18.919672201,0.765914640156,0.803231258348
1417,0,3000,19.1179998896,0.967307444457,0.877262883232
1510,2600,1000,4.01132260071,0.736769875588,0.659933164282
1483,-1200,600,6.85672817062,0.564264825603,0.38557972192
1482,-1000,600,9.46269463958,0.535812413569,0.43925213764
1481,-800,600,13.2079395481,0.862319417433,0.882225096277
1480,-700,600,17.0556433505,0.746030495248,0.702213780069
1487,400,600,18.4983008138,1.16033903366,1.99595636202
1486,200,600,27.9848103699,0.924483822023,0.824029331283
1485,-1800,600,3.58358033756,0.610717668827,0.422562655358
1484,-1400,600,5.04855165039,0.523689540883,0.369202690357
1489,1000,600,6.16074166871,0.764375258246,0.920851469663
1488,600,600,12.8973051038,0.476427427601,0.274727921841
1409,0,700,33.1419879502,0.907632656652,0.482670559043
1408,0,600,35.362950089,1.17409608022,1.19412507592
1403,0,200,49.8765658131,2.34192345722,2.01453389593
1402,0,150,51.3362915289,3.07706696298,5.85963004278
1401,0,100,51.9292829433,4.25427949165,9.93530583716
1400,0,50,55.9765759201,11.0039147582,58.9985866026
1407,0,500,39.4053503146,1.79028025367,1.88013343054
1406,0,400,43.2161698976,1.41783071441,0.673682835267
1405,0,300,46.4644219157,1.1449252632,0.713502614503
1404,0,250,48.3982709407,1.45553766291,1.03750318963
1436,-700,200,6.86286191216,0.559959224796,0.402515174937
1437,100,200,33.1410734053,1.02069008964,1.05510122278
1434,-600,200,9.8293452253,0.63075634296,0.592017059549
1435,-650,200,7.89937576926,0.500819671125,0.340231374937
1432,-500,200,13.2564495208,0.455636589781,0.445746333845
1433,-550,200,11.6056134527,0.352420144592,0.180673949251
1430,-460,200,15.0212398098,0.529955020184,0.255473145711
1431,-480,200,14.002288222,0.523671180241,0.331173099932
1511,3100,1000,3.05519664867,0.927277104125,0.894618190425
1438,200,200,18.2773999456,1.09225971148,1.52779453724
1439,400,200,7.39264288493,0.934969487448,0.79819151799
1421,-250,200,28.7862520882,0.928265783605,0.554270798523
1420,-200,200,33.3770741841,1.25113646229,1.07810597993
1423,-320,200,22.8386693026,0.376837415006,0.22750303015
1422,-300,200,24.5140482583,0.462914865012,0.186646420856
1425,-360,200,20.5985955812,0.835089543282,0.606641900629
1424,-340,200,21.7434641125,0.352630783942,0.0903946612453
1427,-400,200,17.7969213838,0.599644156604,0.414531368189
1426,-380,200,18.9646197522,0.55461601123,0.543838763267
1429,-440,200,16.1848316444,0.732511397808,0.929116600709
1428,-420,200,17.0965932078,0.430777225643,0.145870507199
1502,-2200,1000,5.00716318815,0.328370970906,0.115457193023
1503,-2800,1000,3.40451780557,0.714568784951,0.539480522337
1500,-1300,1000,9.72985787108,0.402183424003,0.362686900189
1501,-1600,1000,7.15213789248,0.464886230003,0.404879037309
1506,500,1000,18.2093601068,0.456455548346,0.184001070214
1507,800,1000,12.974623099,0.547711064597,0.236542386964
