Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-200,600,36.946410593,2.6709534023,1.71585256942
1468,-100,600,38.5093540763,2.75907734007,0.895866009018
1465,600,400,11.4460130994,1.81216211256,2.20206884902
1464,400,400,18.3457120171,2.15920727681,2.24673438143
1467,1200,400,5.26627416621,2.46739124821,0.581025909773
1466,800,400,8.16319297013,1.76781145095,2.93477090438
1461,-1400,400,4.89960670953,1.60234727959,2.62839830526
1460,-1200,400,6.0532413055,1.93520522183,2.04066294384
1463,200,400,30.9843269797,2.68901076603,0.759666583685
1462,50,400,41.6594070685,3.01440009885,0.946613071293
1490,1400,600,6.45435213231,2.24930329504,1.17723309405
1491,1800,600,5.19681694298,2.14756474846,1.66940442909
1492,-100,1000,33.5735932999,2.76903414759,0.395634451641
1493,-250,1000,30.6588915656,3.24291503033,0.498507437217
1494,-350,1000,28.4713064402,2.42687282441,1.69802096092
1495,-400,1000,28.5022089394,2.60501180224,0.673242254044
1496,-450,1000,28.0450877594,2.65617785416,0.77944773964
1497,-550,1000,25.9703988911,2.36585079845,1.70256499193
1498,-700,1000,22.71233594,2.15164976443,1.33100974192
1499,-1000,1000,16.7741033991,2.44277015797,0.807823172216
1418,-100,200,46.1793210643,3.49618826701,0.633194929398
1419,-150,200,39.0077190182,2.19970456925,2.26963256397
1410,0,900,32.106614711,2.35221754806,1.99623162788
1411,0,1000,31.5828181892,2.79623017827,0.707562034169
1412,0,1200,31.0055413933,2.32861534097,2.23567823192
1413,0,1400,29.6005637936,2.95747419634,0.536508770785
1414,0,1600,29.1096316132,2.66459978077,1.44730188014
1415,0,2000,27.2040256887,2.30118884686,0.717660385198
1416,0,2500,26.2273476142,2.62075243294,1.17922345468
1417,0,3000,25.9076111688,2.36839337035,0.694554668787
1510,2600,1000,5.09017463679,1.92364860369,1.44824355313
1483,-1200,600,8.87917563354,1.75942825083,2.1336035897
1482,-1000,600,10.9479064061,1.89492872949,1.07293935268
1481,-800,600,14.953130991,2.24806653028,0.986453882537
1480,-700,600,17.5857732254,2.65003440716,0.742010940123
1487,400,600,22.3864031376,2.45429475599,2.16630675052
1486,200,600,32.2474158623,2.3380531011,0.832003839041
1485,-1800,600,5.17723477167,1.56572140808,2.18907781272
1484,-1400,600,7.06998215901,1.94998095467,2.13079714945
1489,1000,600,8.66747341175,1.87398067411,2.61782776991
1488,600,600,16.546314272,2.34974811031,0.828188123642
1409,0,700,36.6660554397,2.80667473023,1.12500723471
1408,0,600,39.0319458604,2.37706435172,1.48233330717
1403,0,200,50.6009316863,3.86072943832,2.36896645495
1402,0,150,54.7846536565,3.21513702352,1.39850397752
1401,0,100,55.7240895758,3.85223197708,2.64761832674
1400,0,50,57.407391869,3.84922117795,4.97909523257
1407,0,500,42.5595804959,3.14523707257,1.12027989689
1406,0,400,45.0702011617,2.15026586318,1.46523062137
1405,0,300,49.3360727214,3.0057031304,1.33185246552
1404,0,250,49.2865255233,3.5558116024,0.715613780663
1436,-700,200,6.66516488326,2.02861986757,2.13703758899
1437,100,200,36.2571921434,2.74974240823,1.28986332262
1434,-600,200,8.58489351153,2.05669716511,1.40134900452
1435,-650,200,7.59636524026,2.27685282309,0.89559374958
1432,-500,200,11.6135980473,2.22964857644,1.61770895534
1433,-550,200,10.1152694145,2.0104343476,1.48916240155
1430,-460,200,13.0262827603,2.04718701633,0.615095493845
1431,-480,200,12.0291289706,1.78017755893,1.29447021881
1511,3100,1000,5.11347686092,1.77980111059,1.86043859312
1438,200,200,20.9372184833,2.69119859201,0.422713055398
1439,400,200,8.41870699493,1.99628223902,1.92583870517
1421,-250,200,27.5601887923,2.66579939371,0.957719231887
1420,-200,200,32.8903770263,2.95579795345,0.679080798874
1423,-320,200,20.5030772853,2.14691558677,1.56096950091
1422,-300,200,22.9546490394,2.04606863613,1.85632519574
1425,-360,200,18.5329359853,2.09153898443,1.46036642384
1424,-340,200,19.6193788629,2.04534675736,0.978217576092
1427,-400,200,15.4471452793,2.22330413504,1.15583575308
1426,-380,200,17.1367283944,2.32356341604,1.69306557749
1429,-440,200,13.9046658044,2.05449361528,1.2397258029
1428,-420,200,15.5784310394,1.89132498004,1.88511747259
1502,-2200,1000,6.70966778599,1.86974299112,1.86798606025
1503,-2800,1000,5.92381758609,1.87549565739,1.88869322491
1500,-1300,1000,11.9385400024,2.22771368188,1.30469044414
1501,-1600,1000,10.0171216445,1.99574748911,1.92593838892
1506,500,1000,24.4220687556,3.222332516,1.17860577146
1507,800,1000,18.2354697233,2.12853878481,1.50598006877
1504,-3400,1000,4.06532141448,1.67535115907,2.10228941974
1505,200,1000,29.9315055466,2.81228378516,0.790293619521
1508,1400,1000,9.66374121212,1.88886497959,1.7940023881
