Folder,Offset,SLP,Dly,Int,Int_err,nInt,nInt_err
1400,0,50,0.0,1.0,0.0087271658692,1.0,0.0087271658692
1400,0,50,0.008,0.6355,0.0087271658692,0.6355,0.013732755105
1400,0,50,0.016,0.7302,0.0087271658692,0.7302,0.0119517472873
1400,0,50,0.024,0.5466,0.0087271658692,0.5466,0.0159662749162
1400,0,50,0.032,0.4834,0.0087271658692,0.4834,0.018053715079
1400,0,50,0.04,0.4725,0.0087271658692,0.4725,0.0184701923158
1400,0,50,0.048,0.3351,0.0087271658692,0.3351,0.0260434672313
1401,0,100,0.0,1.0,0.0140194101216,1.0,0.0140194101216
1401,0,100,0.008,0.8163,0.0140194101216,0.8163,0.0171743355649
1401,0,100,0.016,0.6863,0.0140194101216,0.6863,0.0204275245835
1401,0,100,0.024,0.5923,0.0140194101216,0.5923,0.0236694413669
1401,0,100,0.032,0.5381,0.0140194101216,0.5381,0.0260535404602
1401,0,100,0.04,0.4722,0.0140194101216,0.4722,0.0296895597663
1401,0,100,0.048,0.4039,0.0140194101216,0.4039,0.0347101018114
1402,0,150,0.0,1.0,0.011372638732,1.0,0.011372638732
1402,0,150,0.008,0.8407,0.011372638732,0.8407,0.0135275826478
1402,0,150,0.016,0.7266,0.011372638732,0.7266,0.0156518562236
1402,0,150,0.024,0.6214,0.011372638732,0.6214,0.0183016394143
1402,0,150,0.032,0.5504,0.011372638732,0.5504,0.0206624976963
1402,0,150,0.04,0.4678,0.011372638732,0.4678,0.0243108993845
1402,0,150,0.048,0.3988,0.011372638732,0.3988,0.0285171482749
1403,0,200,0.0,1.0,0.0108203443511,1.0,0.0108203443511
1403,0,200,0.008,0.829,0.0108203443511,0.829,0.0130522851038
1403,0,200,0.016,0.745,0.0108203443511,0.745,0.0145239521491
1403,0,200,0.024,0.6309,0.0108203443511,0.6309,0.0171506488367
1403,0,200,0.032,0.5539,0.0108203443511,0.5539,0.0195348336362
1403,0,200,0.04,0.4827,0.0108203443511,0.4827,0.0224162924199
1403,0,200,0.048,0.4117,0.0108203443511,0.4117,0.0262821091841
1404,0,250,0.0,1.0,0.0118177313859,1.0,0.0118177313859
1404,0,250,0.008,0.8638,0.0118177313859,0.8638,0.0136810967654
1404,0,250,0.016,0.7394,0.0118177313859,0.7394,0.0159828663591
1404,0,250,0.024,0.6449,0.0118177313859,0.6449,0.0183249052348
1404,0,250,0.032,0.5651,0.0118177313859,0.5651,0.0209126373844
1404,0,250,0.04,0.4918,0.0118177313859,0.4918,0.0240295473483
1404,0,250,0.048,0.4163,0.0118177313859,0.4163,0.0283875363582
1405,0,300,0.0,1.0,0.0118550555858,1.0,0.0118550555858
1405,0,300,0.008,0.8638,0.0118550555858,0.8638,0.013724306073
1405,0,300,0.016,0.7562,0.0118550555858,0.7562,0.0156771430651
1405,0,300,0.024,0.6608,0.0118550555858,0.6608,0.0179404594217
1405,0,300,0.032,0.5741,0.0118550555858,0.5741,0.0206498094162
1405,0,300,0.04,0.4908,0.0118550555858,0.4908,0.0241545549834
1405,0,300,0.048,0.4403,0.0118550555858,0.4403,0.026924950229
1406,0,400,0.0,1.0,0.00825457260937,1.0,0.00825457260937
1406,0,400,0.008,0.8753,0.00825457260937,0.8753,0.00943056393165
1406,0,400,0.016,0.7604,0.00825457260937,0.7604,0.0108555662932
1406,0,400,0.024,0.662,0.00825457260937,0.662,0.0124691429145
1406,0,400,0.032,0.5787,0.00825457260937,0.5787,0.0142639927586
1406,0,400,0.04,0.5068,0.00825457260937,0.5068,0.0162876334044
1406,0,400,0.048,0.4544,0.00825457260937,0.4544,0.0181658728199
1407,0,500,0.0,1.0,0.00831559344588,1.0,0.00831559344588
1407,0,500,0.008,0.8729,0.00831559344588,0.8729,0.00952639872366
1407,0,500,0.016,0.7702,0.00831559344588,0.7702,0.0107966676784
1407,0,500,0.024,0.6847,0.00831559344588,0.6847,0.0121448713975
1407,0,500,0.032,0.5929,0.00831559344588,0.5929,0.0140252883216
