Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,100,200,12.3352555347,0.371100871209,0.990327649606
1468,-1500,200,2.74836571735,0.29509906749,0.928669548828
1465,-1000,200,3.11834938504,0.268772227267,0.897392097446
1464,-900,200,3.11476906762,0.141545105461,0.333775430545
1467,-1300,200,2.45201694876,0.136829245839,0.346086847041
1466,-1100,200,2.53609033879,0.177381414506,0.545912479208
1461,-700,200,3.28849788408,0.300785089505,0.987590258164
1460,-650,200,3.55736303546,0.300775619524,0.810151469581
1463,-800,200,2.97987625789,0.198727149297,0.944194918956
1462,-750,200,3.28752522144,0.254445404069,0.76480148558
1490,-950,400,4.1656386177,0.22728049566,0.775766161417
1491,-1100,400,3.62073730172,0.1652810793,0.56862677455
1492,-1300,400,3.28900935755,0.279073170852,1.45673448477
1493,-1500,400,3.10834464646,0.232128274582,0.823485341178
1494,-1700,400,2.9986245066,0.186479682973,0.55678017115
1495,-2100,400,2.85801041201,0.229024858627,0.784366841076
1496,-2500,400,2.68503248651,0.292771779753,1.58290536472
1497,100,400,13.697020609,0.136417545198,0.140991913909
1498,300,400,9.63669415347,0.23660238149,0.589182154745
1499,500,400,6.74818112438,0.203474875042,0.421157813508
1418,-250,150,6.11694802574,0.277101699855,0.794765901249
1419,-300,150,4.8435098526,0.215640610095,0.806053378199
1410,0,1200,14.6291166747,0.322341571096,0.907296467843
1411,0,1400,14.6462117289,0.241570150926,0.98304203945
1412,0,1600,14.3926972865,0.442635886693,0.523400908589
1413,0,2000,13.8006665647,0.251237780256,0.603474932526
1414,0,2500,14.5738794321,0.336576061918,0.779689042872
1415,0,3000,14.7687530465,0.316546834592,0.788085917201
1416,-100,150,11.6121481369,0.173324132193,0.451164047302
1417,-200,150,7.36427325092,0.174882037912,0.301548122354
1510,-1100,1000,7.31916762731,0.158948863609,0.297537682539
1483,-540,400,6.89603838553,0.280461671375,0.769362787382
1482,-520,400,7.03218608679,0.274286487742,0.655977855053
1481,-500,400,7.46414231238,0.176987288768,0.355752529739
1480,-480,400,7.56835864603,0.231242344106,1.10817207975
1487,-650,400,5.92526432119,0.22766722712,0.889619945401
1486,-600,400,6.1815302197,0.180530307886,0.506645747192
1485,-580,400,6.29770976278,0.315384284234,1.36820387582
1484,-560,400,6.76068572954,0.302260940262,1.21154920944
1489,-800,400,4.77160579674,0.0755436722872,0.111737722512
1488,-700,400,5.27656647015,0.327281862112,1.48737294292
1409,0,1000,14.8936710215,0.173786574272,0.378422528208
1408,0,900,15.3569536292,0.317300759147,0.678278231274
1520,1900,1000,4.57731790563,0.32074138809,1.15360349434
1521,2500,1000,4.0765081855,0.190095091612,0.678515524927
1522,3000,1000,3.38680302283,0.214297035238,0.815134839359
1523,3500,1000,3.23143993636,0.194111457688,0.741048746542
1403,0,300,15.1244552612,0.457292536831,2.12011513619
1402,0,250,15.1951333381,0.350527468441,1.10465286884
1401,0,200,14.9512136756,0.258392075097,0.356925077745
1400,0,150,15.6016672541,0.587231423427,2.90908859799
1407,0,700,14.7191094346,0.354662203226,1.14323119231
1406,0,600,15.0441968175,0.433236112838,1.84575490862
1405,0,500,14.8610423247,0.222739948264,0.422282822637
1404,0,400,15.2062400228,0.319189715271,1.05630999795
1436,-900,150,2.44851669178,0.210716160134,0.813185346666
1437,-1000,150,2.7088797388,0.159815718446,0.711751291447
1434,-750,150,2.721351449,0.297009639795,0.790602630526
1435,-800,150,2.55484313259,0.180039738336,0.445024723096
1432,-650,150,2.84536700274,0.333825259223,1.57817464454
1433,-700,150,2.96888823857,0.198244926781,0.839117540545
1430,-580,150,3.1343900103,0.214370579123,0.540439272738
1431,-600,150,3.34711898066,0.352135870889,1.30988158549
1511,-1400,1000,6.171535681,0.0809444427029,0.0736087020666
1438,-1100,150,2.6208147072,0.0775668811599,0.174699503801
1439,-1250,150,2.37234114148,0.385550580331,2.94966961914
1421,-400,150,3.96376516313,0.214024147745,0.678583359883
1420,-350,150,4.41439337358,0.162268628574,0.426806225915
1423,-440,150,3.94369996014,0.145250158582,0.355519969077
1422,-420,150,3.73462992945,0.104054472347,0.144130974785
1425,-480,150,3.46396815954,0.213765318236,0.550759643056
1424,-460,150,3.89187744708,0.172193615886,0.470172095221
1427,-520,150,3.26205067889,0.228176780492,1.02700188524
1426,-500,150,3.2885871618,0.294720935558,1.57436098254
1429,-560,150,3.33327144042,0.182558360193,0.190516575906
1428,-540,150,3.70438875191,0.218039535853,0.299368254537
1502,1500,400,3.21873657645,0.193896854584,0.84292374387
1503,-200,1000,14.6705968699,0.193174935125,0.211438319659
1500,700,400,5.19346081949,0.216086369438,0.697753838498
1501,1100,400,3.73786858591,0.273721316923,1.37933845882
1506,-500,1000,11.7918935838,0.260140839881,0.925646199663
1507,-550,1000,11.39365028,0.110198622735,0.158985772596
1504,-350,1000,13.2315612994,0.26927564821,0.599058117156
1505,-450,1000,12.1862531516,0.141886622303,0.198396626232
1508,-650,1000,10.6660723105,0.361788798805,1.84160268595
1509,-800,1000,9.57815436789,0.315330449825,1.20430138167
1454,-500,200,4.50761199226,0.192676474445,0.507188242348
1455,-520,200,3.9099361992,0.316296993632,2.20417099114
1456,-540,200,3.96614146201,0.163809840587,0.259443070238
1457,-560,200,3.65901277016,0.184937146627,0.499379479911
1450,-420,200,4.71513796213,0.207060863684,0.706725560991
1451,-440,200,4.46798469084,0.146558460522,0.427733776919
1452,-460,200,4.50265597346,0.131506976096,0.173493664766
1453,-480,200,4.26401139096,0.163571920998,0.349147274882
1515,-3500,1000,3.11424757202,0.29000359176,1.1305000537
1514,-2900,1000,3.50835979021,0.447339371021,3.42205135374
1517,400,1000,12.6862891444,0.231360442204,0.433420343323
1516,100,1000,14.4729720614,0.414892200152,1.31099518463
1458,-580,200,3.76203190992,0.298645287573,1.14723188849
1459,-600,200,3.50604891589,0.185673465011,0.398809314122
1513,-2300,1000,4.50783289242,0.350183894947,1.09430464379
1512,-1700,1000,5.41147119723,0.169564903617,0.264433375525
1519,1300,1000,6.38192074512,0.189744742092,0.261879155833
1518,700,1000,9.9234623157,0.269247445903,0.491185029514
1447,-300,200,6.35750612089,0.323284271965,1.90465290371
1446,-250,200,7.15929325405,0.136764670947,0.208523570961
1445,-200,200,8.90780390091,0.323839245257,0.71756923869
1444,-100,200,13.0082321725,0.40912484001,0.998474616124
1443,500,150,3.29479616348,0.237392838927,0.835755389889
1442,250,150,5.26668803259,0.176912882746,0.356568803171
1441,100,150,10.6599294523,0.208499502906,0.245122195519
1440,-1500,150,2.70640788586,0.158968469907,0.348087206267
1449,-400,200,5.00174765658,0.136976116608,0.243005381838
1448,-350,200,5.52416479246,0.296156274544,1.54994195269
1472,-50,400,14.8279341704,0.187801355973,0.181009142535
1473,-200,400,13.2256145916,0.288465264062,0.47467911038
1470,300,200,5.96862220225,0.262865114342,0.857819890302
1471,500,200,3.818837102,0.174700265944,0.557120825586
1476,-400,400,8.81016591091,0.146262162986,0.312649729325
1477,-420,400,8.35027174987,0.334769353597,0.848662420174
1474,-300,400,10.3720364883,0.138506549581,0.186787400966
1475,-350,400,9.6332781973,0.336954255265,1.78118194412
1478,-440,400,7.91765536274,0.295720151917,1.33359813107
1479,-460,400,7.81160935317,0.294084731038,1.29639057528
