o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,150,1400,inf,9.75,3.2,12.67,25.36,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1504,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1401,inf,9.75,3.2,12.67,22.85,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.15,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,250,1402,inf,9.75,3.2,12.67,20.89,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1491,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,300,1403,inf,9.75,3.2,12.67,19.3,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1481,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1404,inf,9.75,3.2,12.67,16.78,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1488,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,500,1405,inf,9.75,3.2,12.67,14.83,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1493,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,600,1406,inf,9.75,3.2,12.67,13.23,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.151,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,700,1407,inf,9.75,3.2,12.67,11.88,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1506,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,900,1408,inf,9.75,3.2,12.67,9.68,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1493,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,1000,1409,inf,9.75,3.2,12.67,8.76,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.151,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,1200,1410,inf,9.75,3.2,12.67,7.16,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1499,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,1400,1411,inf,9.75,3.2,12.67,5.81,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1485,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,1600,1412,inf,9.75,3.2,12.67,4.64,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1506,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,2000,1413,inf,9.75,3.2,12.67,2.69,0,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1527,5.8265
