Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,150,400,18.356874758,0.165367621654,0.331993424152
1468,100,400,19.8553446403,0.199131540005,0.527484976032
1465,-1000,400,5.06310186728,0.159765165219,0.638043643925
1464,-800,400,6.34021253699,0.0881470315497,0.158562945512
1467,50,400,20.215366323,0.166469853351,0.443677446685
1466,-1200,400,4.5021740458,0.106579796295,0.636003978256
1461,-400,400,11.6738635476,0.0842723450862,0.167224512842
1460,-300,400,14.8233320551,0.110023451261,0.262703485825
1463,-600,400,8.28282656005,0.132502877919,0.402153753606
1462,-500,400,9.79194731258,0.187264649496,0.902516675894
1490,300,1000,19.0437232055,0.134000346227,0.221278019976
1491,600,1000,15.4492976642,0.135737218989,0.303903727511
1492,900,1000,12.1520458788,0.128405552091,0.355793093252
1493,1200,1000,9.48733343921,0.103882315135,0.210018996401
1494,1800,1000,6.61226227681,0.134003878874,0.411491090669
1495,2400,1000,5.29306531997,0.0963284909491,0.291044430425
1496,3000,1000,4.50320559972,0.0711419845926,0.232460654352
1497,3500,1000,3.88013348161,0.165232888481,1.09225241597
1418,-90,100,12.7135939022,0.162500060314,0.583114782766
1419,-120,100,10.1905087419,0.173583019123,0.692182883581
1410,0,1000,20.5207842716,0.251637421496,0.584627432844
1411,0,1200,20.6920365038,0.20298944987,0.656382124305
1412,0,1600,20.6156538542,0.231093655943,0.938668712751
1413,0,2000,20.4183599005,0.187017450512,0.634378962854
1414,0,2500,19.9754195092,0.211118615988,0.550251147378
1415,0,3000,20.3862033579,0.273800648261,0.922977453109
1416,-30,100,19.8446826402,0.225453845116,0.596625602313
1417,-60,100,16.0709810106,0.0991280575057,0.222798157008
1483,-1200,1000,10.4561311182,0.130193218206,0.234545234044
1482,-900,1000,12.3654394581,0.173497328932,0.782027847211
1481,-600,1000,15.6812351557,0.256243297556,1.06239761135
1480,-300,1000,19.1303240858,0.138635337293,0.343870035183
1487,-3500,1000,3.98958646967,0.101262766032,0.324456766813
1486,-3000,1000,4.42079176255,0.133804889961,0.611064803834
1485,-2400,1000,5.26417418855,0.109397362618,0.432819529796
1484,-1800,1000,6.66767749158,0.100913578845,0.258220852113
1489,150,1000,19.9043241928,0.193234129589,0.613100677629
1488,50,1000,20.5639303556,0.21538467937,0.77755260179
1409,0,900,20.6024303627,0.225923288509,0.500127914007
1408,0,700,20.7486225718,0.266923335195,1.27892806484
1403,0,250,21.3108445125,0.231342164414,0.73797826797
1402,0,200,21.0566465557,0.438014230734,2.12668630366
1401,0,150,21.612242099,0.19658675459,0.484580601355
1400,0,100,21.3361326423,0.264838708298,1.36932143843
1407,0,600,20.760652059,0.259919921409,0.811543593854
1406,0,500,20.9439155458,0.137253228143,0.184007120953
1405,0,400,21.3422678052,0.279625731809,1.01592614973
1404,0,300,21.4382506575,0.195507726343,0.461736063482
1436,-100,200,17.4650218542,0.164462957579,0.528292125135
1437,-150,200,14.671575729,0.152674646089,0.447398448964
1434,-30,200,20.9610825059,0.278546842709,1.31992918374
1435,-60,200,19.9947935863,0.252862696336,0.888411033383
1432,300,100,4.56911434291,0.0767464779974,0.179523364726
1433,350,100,4.247854433,0.0714963347314,0.0960550931591
1430,200,100,5.93748211564,0.172153010879,0.64152999997
1431,250,100,5.06441529836,0.0729351315419,0.203854671025
1438,-200,200,11.8343457769,0.114880431479,0.319839360673
1439,-250,200,9.81694144428,0.157184978502,0.666785582425
1421,-200,100,6.4898682308,0.153546863754,1.05409943043
1420,-150,100,8.43457735639,0.115300271082,0.311952481603
1423,-300,100,4.23104605864,0.177944837561,1.05995016755
1422,-250,100,5.37190796238,0.199425609133,1.65694050057
1425,30,100,19.678559745,0.160846783087,0.319937424606
1424,-350,100,4.05627339607,0.172697800838,0.867779720277
1427,90,100,12.2647869843,0.190678040757,1.05204216488
1426,60,100,16.0393087611,0.154486894568,0.449856941933
1429,150,100,7.97485459027,0.0889451930988,0.154259681481
1428,120,100,9.96330107838,0.197142109622,1.13361857754
1454,500,200,4.9998857389,0.190712980096,1.20414610579
1455,600,200,4.29924480359,0.123649105583,0.495896208101
1456,-50,400,20.6558667809,0.22023260378,0.647585523501
1457,-100,400,19.9845263275,0.171245409611,0.441905688594
1450,250,200,9.49165141058,0.130713409359,0.472853316569
1451,300,200,7.83291000532,0.134473302154,0.409746959709
1452,350,200,6.60291593799,0.137333030397,0.73377236447
1453,400,200,6.15885749532,0.157828344765,0.776769792655
