Folder,Offset,SLP,Dly,Int,Int_err,nInt,nInt_err
1400,0,50,0.0,1.0,0.00829760143096,1.0,0.00829760143096
1400,0,50,0.01,0.7606,0.00829760143096,0.7606,0.010909284027
1400,0,50,0.02,0.7105,0.00829760143096,0.7105,0.0116785382561
1400,0,50,0.03,0.5582,0.00829760143096,0.5582,0.0148649255302
1400,0,50,0.04,0.4949,0.00829760143096,0.4949,0.0167662182885
1400,0,50,0.05,0.4061,0.00829760143096,0.4061,0.020432409335
1401,0,100,0.0,1.0,0.0075761885715,1.0,0.0075761885715
1401,0,100,0.01,0.8105,0.0075761885715,0.8105,0.00934754913201
1401,0,100,0.02,0.685,0.0075761885715,0.685,0.0110601293015
1401,0,100,0.03,0.5986,0.0075761885715,0.5986,0.0126565128157
1401,0,100,0.04,0.4925,0.0075761885715,0.4925,0.015383124003
1401,0,100,0.05,0.4174,0.0075761885715,0.4174,0.0181509069753
1402,0,150,0.0,1.0,0.00913311442798,1.0,0.00913311442798
1402,0,150,0.01,0.824,0.00913311442798,0.824,0.011083876733
1402,0,150,0.02,0.7042,0.00913311442798,0.7042,0.0129694893894
1402,0,150,0.03,0.5809,0.00913311442798,0.5809,0.0157223522603
1402,0,150,0.04,0.5119,0.00913311442798,0.5119,0.0178415988044
1402,0,150,0.05,0.4216,0.00913311442798,0.4216,0.0216629848861
1403,0,200,0.0,1.0,0.00741515752632,1.0,0.00741515752632
1403,0,200,0.01,0.8123,0.00741515752632,0.8123,0.00912859476341
1403,0,200,0.02,0.6944,0.00741515752632,0.6944,0.0106785102626
1403,0,200,0.03,0.5959,0.00741515752632,0.5959,0.0124436273306
1403,0,200,0.04,0.4895,0.00741515752632,0.4895,0.0151484321273
1403,0,200,0.05,0.4093,0.00741515752632,0.4093,0.018116680983
1404,0,250,0.0,1.0,0.00921171275175,1.0,0.00921171275175
1404,0,250,0.01,0.8234,0.00921171275175,0.8234,0.01118740922
1404,0,250,0.02,0.6916,0.00921171275175,0.6916,0.013319422718
1404,0,250,0.03,0.5836,0.00921171275175,0.5836,0.0157842918981
1404,0,250,0.04,0.4826,0.00921171275175,0.4826,0.019087676651
1404,0,250,0.05,0.42,0.00921171275175,0.42,0.0219326494089
1405,0,300,0.0,1.0,0.00731316266883,1.0,0.00731316266883
1405,0,300,0.01,0.8237,0.00731316266883,0.8237,0.00887842985168
1405,0,300,0.02,0.6956,0.00731316266883,0.6956,0.0105134598459
1405,0,300,0.03,0.5809,0.00731316266883,0.5809,0.0125893659302
1405,0,300,0.04,0.488,0.00731316266883,0.488,0.0149859890755
1405,0,300,0.05,0.4246,0.00731316266883,0.4246,0.0172236520698
1406,0,400,0.0,1.0,0.00836819837127,1.0,0.00836819837127
1406,0,400,0.01,0.8442,0.00836819837127,0.8442,0.00991257802804
1406,0,400,0.02,0.722,0.00836819837127,0.722,0.0115903024533
1406,0,400,0.03,0.5915,0.00836819837127,0.5915,0.0141474190554
1406,0,400,0.04,0.5153,0.00836819837127,0.5153,0.0162394689914
1406,0,400,0.05,0.4252,0.00836819837127,0.4252,0.0196806170538
1407,0,500,0.0,1.0,0.00874985852524,1.0,0.00874985852524
1407,0,500,0.01,0.8006,0.00874985852524,0.8006,0.0109291263118
1407,0,500,0.02,0.689,0.00874985852524,0.689,0.0126993592529
1407,0,500,0.03,0.5819,0.00874985852524,0.5819,0.0150367048036
1407,0,500,0.04,0.4843,0.00874985852524,0.4843,0.0180670215264
1407,0,500,0.05,0.4127,0.00874985852524,0.4127,0.0212014987285
1408,0,600,0.0,1.0,0.00863157083991,1.0,0.00863157083991
1408,0,600,0.01,0.8436,0.00863157083991,0.8436,0.0102318288761
1408,0,600,0.02,0.7111,0.00863157083991,0.7111,0.0121383361551
1408,0,600,0.03,0.6014,0.00863157083991,0.6014,0.0143524623211
1408,0,600,0.04,0.505,0.00863157083991,0.505,0.017092219485
1408,0,600,0.05,0.4404,0.00863157083991,0.4404,0.0195993888281
1409,0,700,0.0,1.0,0.0132661326616,1.0,0.0132661326616
1409,0,700,0.01,0.831,0.0132661326616,0.831,0.0159640585579
1409,0,700,0.02,0.7034,0.0132661326616,0.7034,0.0188600123139
1409,0,700,0.03,0.5956,0.0132661326616,0.5956,0.0222735605467
1409,0,700,0.04,0.5124,0.0132661326616,0.5124,0.0258901886449
1409,0,700,0.05,0.4269,0.0132661326616,0.4269,0.0310755040094
1410,0,900,0.0,1.0,0.00917619425999,1.0,0.00917619425999
