Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-800,600,25.9363996707,2.29891696269,0.282186118268
1468,-700,600,31.5945909876,2.46761890506,0.144868063001
1465,-500,600,43.9767895671,2.37441063149,0.537676529858
1464,-450,600,46.8898732936,2.47417153306,0.451774901836
1467,-600,600,36.7346303628,2.36798537512,0.818191850589
1466,-550,600,40.0690465018,2.83929299619,0.723416839384
1461,-350,600,52.922017932,2.77539315447,5.99238862087
1460,-300,600,54.9732106636,2.96599793057,0.451465351899
1463,-400,600,50.1498378829,2.54209909787,1.22803510052
1462,-400,600,51.6331165196,3.4009356706,1.59124316748
1490,-1600,1000,12.562478838,2.15149036421,0.81927853868
1491,-2200,1000,7.17912468577,1.48838929243,0.205113184836
1492,200,1000,42.701144204,2.85414966023,0.635999230978
1493,500,1000,31.8930795991,2.190510111,1.1752360992
1494,800,1000,22.3635873293,2.17797669171,0.28046148442
1495,1400,1000,11.5765544768,1.97104290648,0.308696867262
1496,2000,1000,8.36965943151,1.72773017376,1.86940167725
1418,-200,200,46.7281610966,2.45093294846,0.717136052489
1419,-250,200,40.3368742905,2.6342316411,0.392325730668
1410,0,1200,44.1512291393,2.75228197246,0.237322949712
1411,0,1400,41.1335071375,2.47542858949,0.287137812023
1412,0,1600,38.8991361319,2.63834873507,0.611715509082
1413,0,2000,37.3329628719,2.33578831732,1.27458365085
1414,0,2500,34.3262076464,2.26429137997,0.202497684257
1415,-50,200,75.2896216722,3.74759178608,0.465365941175
1416,-100,200,66.2437280412,3.08699117411,0.155428207258
1417,-150,200,56.6739270366,2.76065309086,0.615203126309
1483,-400,1000,43.9988802129,2.43347503696,0.225162395351
1482,-350,1000,44.7718245707,2.31018707862,0.162058378132
1481,-250,1000,46.9967517603,2.55141013121,0.347583393683
1480,-100,1000,48.4524711057,2.5532008793,0.331679443964
1487,-700,1000,34.4394347379,2.24265989773,0.244432259492
1486,-550,1000,41.0680017335,2.34250944921,0.413900189088
1485,-450,1000,41.6548454964,2.60110325265,0.0995110298851
1484,-400,1000,45.9453324217,2.82438588242,0.409245081191
1489,-1300,1000,17.0143567118,1.95837174835,0.406085833455
1488,-1000,1000,25.8106167031,2.01820079827,0.424029579951
1409,0,1000,47.0294546061,2.85261018558,0.163248692435
1408,0,900,49.9528824287,2.78011379446,0.599315015865
1403,0,300,72.7310936007,3.49495749708,0.797578054379
1402,0,250,70.4174706869,3.20988029176,0.811488086093
1401,0,200,74.058064818,3.58245048467,1.07902779993
1400,0,150,78.5492353132,2.80948763226,0.968990685595
1407,0,700,56.1684994607,3.04379991395,0.188540462919
1406,0,600,59.5240304832,3.04925645401,0.427962094207
1405,0,500,62.9310270771,2.74850455795,0.602917865443
1404,0,400,67.1674457381,3.18190632191,0.216228591412
1436,-300,400,56.1779562506,2.79026427336,0.242732906929
1437,-350,400,51.7035147155,2.82872989845,0.0817423724238
1434,-200,400,65.2798363716,2.80040184539,1.03092107473
1435,-250,400,60.8542218762,2.52358742118,0.498314756679
1432,-100,400,69.9709285576,3.2725236929,0.627478226585
1433,-150,400,68.6431622054,3.5310590439,0.598152486299
1430,400,200,9.8501668918,1.93692165572,0.24000564956
1431,600,200,4.28927080608,1.91969691958,0.0850598743959
1438,-400,400,46.8765354408,2.72611230394,0.172683911239
1439,-400,400,46.453959513,2.88377738352,0.0732495493277
1421,-350,200,28.3664182122,2.60354541844,0.161670954339
1420,-300,200,32.4472290369,2.75460948154,0.623728161303
1423,-400,200,24.2572439494,2.11441228785,1.42141890054
1422,-400,200,26.5509152179,2.37111788468,0.293590533451
1425,-500,200,18.9107760135,1.8578781789,0.196169873647
1424,-450,200,21.6757444591,2.24016973166,0.083189276093
1427,-600,200,13.8329252264,2.06259248664,0.433451565651
1426,-550,200,15.8717212712,1.99327474097,0.438186558745
1429,200,200,27.7733801828,2.23058543641,0.554059258932
1428,100,200,51.4911635222,2.66881115276,0.667559184593
1454,800,400,8.24045850361,1.82013440363,0.524702845701
1455,1000,400,6.18212035947,1.79137995624,1.38142049124
1456,1200,400,4.64125828882,1.35274166456,2.50618116537
1457,-100,600,62.9871932923,3.23347619669,1.00557646785
1450,200,400,42.4782592437,2.81845485493,0.194926852461
1451,350,400,29.627197401,2.2043991201,0.335966880779
1452,500,400,17.210285203,2.0389076354,0.410322491963
1453,650,400,12.4737470759,2.1028366328,0.138978499807
1458,-200,600,61.118577225,2.63588647151,0.229854747561
1459,-250,600,58.1776040789,3.09016167734,0.574808824697
1447,-1000,400,10.7577285429,1.91475803213,0.530857976021
1446,-850,400,17.1660994086,1.71779425994,0.197692747192
1445,-700,400,22.995220711,1.97214289762,0.320154490184
1444,-650,400,26.8286440279,2.06420169501,0.654949781552
1443,-600,400,29.8914727303,2.05728923784,0.221350472735
1442,-550,400,33.4109429269,2.31967958838,0.0889282912605
1441,-500,400,37.8319227835,2.52780889073,0.169656148277
1440,-450,400,43.6511045956,2.60076104209,0.218540333544
1449,50,400,62.4016865456,3.08892205173,0.309055933338
1448,-1150,400,7.73152097941,1.78201000191,0.359422618149
1472,-1400,600,8.46054341789,1.8167557688,0.372407633594
1473,-1800,600,5.81595243741,1.62918287005,0.232306262404
1470,-1000,600,17.0322595805,1.91188543339,0.327901879136
1471,-1200,600,12.5973455498,2.07319632383,0.290069979407
1476,600,600,20.1566724553,2.13870018795,0.222840544996
1477,1000,600,10.6561192739,1.76890513933,0.466663869185
1474,200,600,46.4772833687,2.76954185266,2.27720951104
1475,400,600,30.7690704204,2.47747439868,0.253169439704
1478,1400,600,6.13979811261,1.77383680749,0.38477773911
1479,1800,600,4.89763130448,2.15870642828,0.340973395612
