Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-800,600,14.4680984712,0.988263234126,7.30996754044
1468,-700,600,16.688570985,0.864635389184,4.32244400193
1465,-500,600,21.7302249578,0.63676138213,2.04510185642
1464,-450,600,23.9347216007,0.177541694544,0.195534651719
1467,-600,600,20.506275385,1.03998915993,7.29573484908
1466,-550,600,21.222969085,0.56700857759,2.23497398394
1461,-350,600,24.8345367713,0.714636624525,1.57377567149
1460,-300,600,26.7708310187,0.509330276699,1.01734615099
1463,-400,600,24.4795818523,0.700853864375,1.75032367298
1462,-400,600,23.7424142046,1.19545451052,7.10822071029
1490,-1600,1000,6.97035872691,0.69587848777,3.80649230311
1491,-2200,1000,3.06671010953,0.675765944633,3.37026743032
1492,200,1000,20.6251332195,0.250140885967,0.320625597626
1493,500,1000,16.108389489,0.547685866392,1.71620243953
1494,800,1000,11.7140351454,0.697831798845,4.43813017788
1495,1400,1000,7.7737634733,0.986033888446,8.51772604302
1496,2000,1000,4.21719090076,0.154287698902,0.198797021115
1418,-200,200,21.916609529,1.06853201744,5.05407620787
1419,-250,200,18.7844469153,0.509951802974,1.76801381831
1410,0,1200,21.5512094846,0.700026112392,2.71693941447
1411,0,1400,20.2934516677,0.412800346802,1.03032227211
1412,0,1600,19.5542668523,0.58438312569,2.13241448621
1413,0,2000,18.1158581841,0.51517328729,1.33065278545
1414,0,2500,17.1055648244,0.505164576848,1.1858959896
1415,-50,200,32.4931752813,0.836029008202,2.91651634898
1416,-100,200,29.5168682004,0.634517590459,1.61124575417
1417,-150,200,24.5059670159,0.421840236921,0.604141890728
1483,-400,1000,21.3169534271,0.598885620405,2.31741449293
1482,-350,1000,22.466451314,0.513936231197,1.81732466048
1481,-250,1000,23.2307898864,0.899877292158,4.24805828786
1480,-100,1000,22.4155718778,0.981337939791,3.62084239727
1487,-700,1000,17.0058956733,0.666209677231,2.53556561794
1486,-550,1000,18.2036009113,0.353467075067,0.606407592164
1485,-450,1000,21.038198498,0.469114619175,1.24348857657
1484,-400,1000,21.9580759515,0.337196019343,0.666973788459
1489,-1300,1000,8.92444795419,0.562368684191,2.75708265007
1488,-1000,1000,12.744416548,0.808260198541,3.70559425334
1409,0,1000,22.9595206147,1.02594487127,4.1009456631
1408,0,900,23.4175409465,0.481415914696,0.973480667062
1403,0,300,31.93988681,0.987884158599,3.53264580284
1402,0,250,33.6612779938,0.351077114705,0.359927629992
1401,0,200,34.3833987023,0.944030441996,2.93749731673
1400,0,150,33.8583409722,0.746481372101,1.93116955158
1407,0,700,26.9340083807,0.185195086938,0.134317275955
1406,0,600,27.3941847776,0.38227949053,0.814249673989
1405,0,500,28.6875978398,0.667552390926,1.66759007292
1404,0,400,31.2376079234,0.914966418218,3.3918036517
1436,-300,400,27.3310271257,0.822466676315,2.64288306625
1437,-350,400,23.3580057646,0.460040743034,0.753140825679
1434,-200,400,28.9886690705,0.561936126628,1.46095769536
1435,-250,400,28.221981458,0.794948757614,2.79239800353
1432,-100,400,31.7402793779,0.909207145252,3.57403620792
1433,-150,400,30.6704229749,0.539307047838,0.822913364699
1430,400,200,5.64358362544,0.275614315566,0.598282826488
1431,600,200,4.02184994026,0.681299749531,4.93720040657
1438,-400,400,24.4913037948,1.15510501302,8.93383328569
1439,-400,400,22.4576358013,0.867289558354,2.65615470219
1421,-350,200,13.3277478369,0.33416774581,0.749311345307
1420,-300,200,15.6713024788,0.562436016172,1.35770474058
1423,-400,200,13.1871596353,1.02639132935,8.17610890177
1422,-400,200,13.2344212101,0.931473738216,4.54541424042
1425,-500,200,8.58363256853,1.78331470719,23.5425741479
1424,-450,200,12.0434209285,0.262916168274,0.704152270735
1427,-600,200,9.83993129037,1.14069983393,9.2335992546
1426,-550,200,9.61340446638,0.649872228099,2.95989821161
1429,200,200,12.6197816519,0.891296024348,3.45086953895
1428,100,200,24.1491627329,0.419815747922,0.919948894774
1454,800,400,4.76773613797,0.414461577954,1.20944180348
1455,1000,400,3.50318692756,0.292373436881,0.628436117616
1456,1200,400,3.65173819536,0.366146900318,1.08300690152
1457,-100,600,28.7416453161,0.980925381987,3.84392158868
1450,200,400,21.101668316,0.641932484479,2.27724536555
1451,350,400,13.7210944517,0.609725992106,3.12880439672
1452,500,400,9.43084118995,0.824138369402,5.75390295491
1453,650,400,6.55238077902,0.219090729074,0.34195313435
1458,-200,600,28.5048924347,0.656458613986,2.06860185785
1459,-250,600,28.4749779639,0.41690887534,1.07759562437
1447,-1000,400,7.01311148079,0.714395704405,5.06758450611
1446,-850,400,9.19833611685,0.656307326732,4.90610746513
1445,-700,400,13.7246260723,0.619983215591,2.3904634116
1444,-650,400,15.9026887041,0.715300608212,3.46078286131
1443,-600,400,17.9747346274,0.86854159151,6.12332410698
1442,-550,400,17.850830963,0.75995108348,2.94132313518
1441,-500,400,18.9923676033,0.977458883756,5.16491499138
1440,-450,400,19.8446111101,0.365317656921,0.622303137064
1449,50,400,29.0459211598,0.252230711199,0.284789500525
1448,-1150,400,5.77549822094,0.351838746531,1.2693483307
1472,-1400,600,5.84498467428,0.871991647951,5.48796521695
1473,-1800,600,3.31023675097,1.10979126017,13.0242303449
1470,-1000,600,9.29054473118,0.709199048895,2.35613495815
1471,-1200,600,7.11285624606,0.734464348406,3.79226354925
1476,600,600,10.2339030097,0.736368470608,3.68880277077
1477,1000,600,5.65827243337,0.780788184223,4.8882967855
1474,200,600,21.4577789908,0.945289556882,3.88779653349
1475,400,600,14.7222966896,0.796536158231,3.28496197724
1478,1400,600,3.83359578101,0.638576383803,4.43561488866
1479,1800,600,3.18843901513,0.442882496381,1.49264131377
