Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-800,600,13.8672276329,1.64215085084,1.31772952628
1468,-700,600,16.6578921505,1.47161095662,0.829944793831
1465,-500,600,25.0941947398,1.64744036988,1.41315100028
1464,-450,600,24.2977685834,2.08615188796,1.82235725022
1467,-600,600,19.7531660104,1.49721862781,0.277384229759
1466,-550,600,21.7515383273,1.6480459228,1.60258132555
1461,-350,600,29.0120840225,1.98434634907,0.446830604736
1460,-300,600,35.5193446554,1.79559006072,4.07743089592
1463,-400,600,28.1825400196,1.68392808291,1.59737805222
1462,-400,600,26.1081976418,2.12977263062,0.751010636911
1491,-2200,1000,5.78463145661,1.42685282966,0.207861125699
1492,200,1000,27.0950620475,1.90618602154,0.321319684942
1493,500,1000,21.9258211485,1.75043494209,0.805423071853
1494,800,1000,17.2577786825,1.68158042538,3.23821644574
1495,1400,1000,10.4102670329,1.5069205366,1.12377604902
1496,2000,1000,5.95091779868,1.28153383315,0.710178468871
1418,-200,200,25.0453997577,1.74332976288,0.658840616097
1419,-250,200,22.1491287306,1.74800462106,0.750147701549
1410,0,1200,29.2043010231,1.84391420188,5.11263621114
1411,0,1400,28.7952259245,1.88508361154,1.03605335568
1412,0,1600,29.713898775,1.60146310348,3.015715668
1413,0,2000,28.5556298913,1.72103347574,0.620910919444
1414,0,2500,28.60756455,1.83160827788,0.381768227184
1415,-50,200,38.0674755275,2.15071943444,1.04827942539
1416,-100,200,34.5995417337,1.97116755573,0.704852481029
1417,-150,200,29.4589111515,1.6217636307,0.312681637711
1483,-400,1000,26.3170487731,1.79792751048,0.594117337165
1482,-350,1000,27.7818272787,1.87005328605,0.44224345786
1481,-250,1000,30.1920677771,1.8411293273,0.550625203805
1480,-100,1000,30.4142053887,1.7821748147,1.26236656146
1487,-700,1000,19.4681504544,1.57915008953,0.464571667322
1486,-550,1000,21.1658151983,1.70494376175,2.53929526475
1485,-450,1000,23.680473617,1.63725885489,2.83864574716
1484,-400,1000,27.3546275211,1.59425122263,1.86217697388
1489,-1300,1000,10.9045073983,1.48746606289,0.809799096724
1488,-1000,1000,16.342340782,1.40920496627,0.879367268247
1409,0,1000,26.943649492,1.8029593277,0.878181357281
1408,0,900,26.6216770363,1.80634669486,0.968361854354
1403,0,300,35.8918007438,1.93789716844,1.56321583824
1402,0,250,34.9488949623,1.6758836413,1.663717468
1401,0,200,46.1067008758,1.35580172325,5.6269539102
1400,0,150,43.1412255597,1.4690108458,2.32806193277
1407,0,700,35.0739996834,1.80826022224,1.04347067332
1406,0,600,39.0935947683,1.51438845073,4.67500005787
1405,0,500,35.4006128167,1.78242623275,0.857867445419
1404,0,400,35.13843593,1.96968481146,2.11524243193
1436,-300,400,30.0911241337,2.14381872972,1.17549788513
1437,-350,400,26.8645303664,1.90026715265,1.78664830121
1434,-200,400,34.326420248,1.98746565454,3.78117530891
1435,-250,400,31.400305291,1.62024261901,0.215200106499
1432,-100,400,37.4270645404,1.95234908146,0.16728002579
1433,-150,400,35.8250779757,2.1354023827,0.199051757342
1430,400,200,6.26274877244,1.4741729696,0.788790257667
1431,600,200,3.92245521813,1.46080395031,1.63322236126
1438,-400,400,25.26820987,1.69899122899,0.560299350568
1439,-400,400,24.6266570431,1.59667556352,0.486651154284
1421,-350,200,15.7169937359,1.60744118223,1.14729526321
1420,-300,200,17.3433467154,1.56381627567,1.42806033258
1423,-400,200,12.8614747666,1.468151898,0.648615203495
1422,-400,200,13.6978398766,1.55668892079,0.285580136423
1425,-500,200,10.2553668843,1.28234941277,5.55705985064
1424,-450,200,12.3295737772,1.46242356728,1.26594222758
1427,-600,200,7.58130148425,1.33739994471,2.12409184208
1426,-550,200,8.24048580238,1.41617200919,0.392371837316
1429,200,200,16.8600221068,1.33235807782,1.00184637401
1428,100,200,26.5726325921,1.90541331409,1.07611547393
1454,800,400,5.39869076432,1.42128545453,0.557769365766
1455,1000,400,4.64365289688,1.18637665066,1.16670056946
1456,1200,400,5.47304440914,1.28237914214,0.568310286951
1457,-100,600,34.0871602413,2.17435506703,1.51103143228
1450,200,400,27.4530879983,1.85078115515,2.78476808825
1451,350,400,17.7290048053,1.69940984771,0.640042293364
1452,500,400,10.6931516361,1.42079412907,3.14551007421
1453,650,400,9.72815591736,1.55186386503,0.592327932794
1458,-200,600,34.1820781447,1.80150613989,0.459747743808
1459,-250,600,32.0830271619,1.99961392228,0.361927605149
1447,-1000,400,6.11257900897,1.52735042652,5.33955498992
1446,-850,400,8.74472419553,1.38019899862,0.716566159067
1445,-700,400,13.9669317534,1.39271442976,1.47732940895
1444,-650,400,14.399318002,1.31565013436,0.50514660254
1443,-600,400,14.2003839817,1.40841405093,1.39542157442
1442,-550,400,17.0709925282,1.51979348932,0.413823241218
1441,-500,400,19.7252070604,1.70632462199,1.17701772445
1440,-450,400,22.3429994192,1.83746894287,0.183767007075
1449,50,400,34.7219849345,2.10520265833,0.152214224765
1448,-1150,400,5.92443761377,1.48577868977,0.720962649463
1472,-1400,600,5.50611686266,1.49620919703,1.00627738699
1473,-1800,600,5.89874112769,1.57750265836,0.25671969162
1470,-1000,600,9.83871511248,1.42814175182,1.10064442775
1471,-1200,600,8.35126553235,1.38644770121,1.41220433315
1476,600,600,13.6692400194,1.34636293561,1.4662783887
1477,1000,600,6.58494412411,1.2474943626,2.67211372376
1474,200,600,26.8424234025,1.76459603818,0.558685601753
1475,400,600,20.987223471,1.56830148309,0.846381102649
1478,1400,600,6.38970373429,1.25839452617,2.07130167038
1479,1800,600,4.66691826592,1.36365484482,0.738073858311
