o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,150,1400,-3.42,9.78,3.2,11.57,23.72,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1497,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1401,-3.42,9.78,3.2,11.57,21.21,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1501,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,250,1402,-3.42,9.78,3.2,11.57,19.26,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1484,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,300,1403,-3.42,9.78,3.2,11.57,17.67,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1484,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,400,1404,-3.42,9.78,3.2,11.57,15.16,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1501,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,500,1405,-3.42,9.78,3.2,11.57,13.21,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1487,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,600,1406,-3.42,9.78,3.2,11.57,11.62,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1497,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,700,1407,-3.42,9.78,3.2,11.57,10.27,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.148,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,900,1408,-3.42,9.78,3.2,11.57,8.07,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1494,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,1000,1409,-3.42,9.78,3.2,11.57,7.15,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.149,5.6312
