Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-200.0,200.0,16.0191165892,0.810369294047,30.6572878683,1.62073858809,15.9134834081,30.4460215061,0.105633181088,0.211266362175
-200.0,200.0,16.0412642966,0.908109773799,30.7015832831,1.8162195476,15.9134819593,30.4460186084,0.127782337339,0.255564674677
-50.0,200.0,26.3099299638,1.1485489083,27.8679915047,1.22033321507,25.8069347999,27.333559143,0.502995163936,0.534432361682
-100.0,200.0,22.9450820972,1.21802885873,28.336116294,1.52253607341,22.8658527527,28.2370796133,0.0792293445062,0.0990366806327
-150.0,200.0,19.5338809774,1.00096966144,29.7449072903,1.564015096,19.2355576209,29.2787770457,0.298323356541,0.466130244595
0.0,200.0,27.0098644815,1.33282445785,27.0098644815,1.33282445785,26.5553362283,26.5553362283,0.454528253239,0.454528253239
600.0,200.0,3.43400261135,0.70871034438,21.9115183226,7.0871034438,3.36408479994,21.2123402084,0.0699178114134,0.699178114134
300.0,200.0,8.08039025086,0.74770925298,23.1541413676,2.43005507219,8.06319017853,23.0982411325,0.0172000723273,0.0559002350639
400.0,200.0,5.66749700568,0.805855347956,22.813703788,4.02927673978,5.57013532672,22.3268953932,0.0973616789567,0.486808394784
150.0,200.0,15.7032432191,0.925470034772,23.7595357929,1.44604692933,16.2518569912,24.6167448118,-0.548613772069,-0.857209018857
200.0,200.0,12.2829241465,0.759432025807,23.1849029829,1.51886405161,12.7201592064,24.0593731027,-0.437235059885,-0.87447011977
-300.0,200.0,11.2242212605,0.934949170983,33.3715921489,3.03858480569,11.1220960579,33.0396852403,0.102125202644,0.331906908592
-250.0,200.0,12.6956633307,0.910045180355,30.3749102379,2.33199077466,13.2178510408,31.713016245,-0.52218771009,-1.33810600711
-400.0,200.0,8.02540905297,0.840184848287,34.6032640244,4.20092424143,8.23271999957,35.6398187574,-0.2073109466,-1.036554733
-350.0,200.0,9.38923854803,0.895904066191,33.9146365892,3.6396102689,9.50211839601,34.3732109716,-0.112879847977,-0.458574382405
