Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-600,600,13.8301492194,0.287846234104,0.389129261386
1468,-500,600,16.0730406136,0.291263736501,0.475412605642
1465,-300,600,21.1085621035,0.242536791671,0.186735405845
1464,-250,600,22.0177933947,0.407120376655,0.576772717705
1467,-400,600,18.2349830501,0.289456620607,0.307024141444
1466,-350,600,19.64565651,0.298648353784,0.297642797974
1461,-150,600,23.5869434792,0.560589023975,1.1617955749
1460,-100,600,24.075250487,0.43333394497,0.640463351355
1463,-200,600,22.5718134347,0.230173716088,0.151742576525
1462,-200,600,23.210878568,0.513551261153,0.8105952504
1490,-1400,1000,8.11271256518,0.125286653968,0.0806533166732
1491,-2000,1000,5.07189428499,0.198328955096,0.24388567972
1492,100,1000,20.5134860253,0.329671704404,0.320407252464
1493,400,1000,17.675207118,0.323659140076,0.370404776805
1494,700,1000,13.6445545826,0.3853715435,0.831448560471
1495,1000,1000,10.5161318016,0.245440504979,0.335917954075
1496,1600,1000,6.10122759319,0.196325683354,0.256470450218
1497,2200,1000,4.41498291311,0.241894671515,0.45679905332
1418,-200,200,15.9803583199,0.103824978685,0.0692272976816
1419,-200,200,16.0910836103,0.135958731981,0.0885717048135
1410,0,1200,20.6997260106,0.312435284431,0.369406165842
1411,0,1400,20.0833455456,0.267794762418,0.302196626851
1412,0,1600,19.7253135113,0.519138462678,1.04240687781
1413,0,2000,19.5384751777,0.6719632043,1.71502214645
1414,0,2500,18.757762276,0.371198741797,0.478214906221
1415,-50,200,26.3168977513,0.602509299125,1.10170734709
1416,-100,200,22.9553290204,0.419952043272,0.461361039089
1417,-150,200,19.5672249896,0.457505531078,0.882186807426
1483,-200,1000,20.8941947649,0.335039162116,0.341204366756
1482,-150,1000,21.1748427894,0.47184558059,0.768746618423
1481,-50,1000,21.7184914791,0.399174738502,0.57236143662
1480,1600,600,3.57708032796,0.185493161297,0.271899279666
1487,-500,1000,17.6867067214,0.399161411918,0.769818614718
1486,-350,1000,19.8287237637,0.40998286291,0.578734279289
1485,-250,1000,21.4686678173,0.21348468029,0.142754546618
1484,-200,1000,21.269859558,0.367372855612,0.443109942179
1489,-1100,1000,10.412136287,0.194859581293,0.18302638868
1488,-800,1000,13.8569551482,0.270454393168,0.336181812832
1409,0,1000,21.6555954708,0.502100510739,0.815739753511
1408,0,900,21.9952398473,0.358205234245,0.526658868832
1403,0,300,26.193722962,0.381084616114,0.335467214382
1402,0,250,26.3118956338,0.377838980633,0.28844755756
1401,0,200,27.0412294698,0.761063746857,1.47018648997
1400,0,150,27.2022008088,0.636488037725,1.00837483538
1407,0,700,22.9918579821,0.188409577755,0.0881966578121
1406,0,600,23.7859473021,0.495637366151,0.746908431596
1405,0,500,24.4800138681,0.433542825743,0.438807192388
1404,0,400,25.6493962888,0.419073463737,0.493420502793
1436,-100,400,25.1522812493,0.199418815369,0.120363714967
1437,-150,400,23.7368804518,0.134440631351,0.0675492971923
1434,600,200,3.45276484531,0.328170667536,0.776158361477
1435,-50,400,25.6007240675,0.24371475421,0.174641977037
1432,300,200,8.10117091945,0.21836121691,0.31149438576
1433,400,200,5.73326416932,0.227034354005,0.323297024962
1430,150,200,15.7390050798,0.417731355922,0.806323965991
1431,200,200,12.270698805,0.286125147421,0.49992268776
1438,-200,400,22.1739184208,0.251863544137,0.168966124312
1439,-200,400,22.5235855654,0.303076634152,0.311256448049
1421,-300,200,11.2686393612,0.349323326611,0.548893142511
1420,-250,200,12.6392099574,0.208010939629,0.198176232179
1423,-400,200,7.97115304292,0.271466166639,0.424272089494
1422,-350,200,9.44158337788,0.181111077245,0.177369988021
1425,-500,200,6.27358682782,0.258536166757,0.435595132527
1424,-450,200,7.3918810408,0.179011574981,0.189434397878
1427,-600,200,5.43838767085,0.223648476458,0.286566845798
1426,-550,200,5.64635177177,0.210474306218,0.296594197705
1429,100,200,19.7191849826,0.29111255242,0.241032172956
1428,50,200,23.827071759,0.413301165601,0.385975531825
1454,550,400,8.39077804338,0.193017045232,0.217801679239
1455,700,400,6.05565493577,0.150430967346,0.151014092301
1456,850,400,4.73940327991,0.167457620102,0.205178747364
1457,1000,400,4.24889648804,0.197687093652,0.252232135685
1450,50,400,24.0537969037,0.32076755824,0.23880605817
1451,100,400,22.538956484,0.374126861954,0.407682892097
1452,250,400,16.1120768609,0.269553935498,0.333092113298
1453,400,400,11.2593506532,0.1617610623,0.156371570199
1458,1200,400,3.21497665656,0.139221259063,0.135268562762
1459,-50,600,24.0871170865,0.376061303855,0.358473619741
1447,-800,400,7.37995400125,0.293276312928,0.580763374634
1446,-650,400,9.76474140113,0.265098643748,0.352893710899
1445,-500,400,13.0075326026,0.175898522979,0.179926696357
1444,-450,400,14.3248164264,0.34559930926,0.451720647676
1443,-400,400,15.7235506366,0.335226220423,0.449088607585
1442,-350,400,17.1021488668,0.183774318186,0.105253124806
1441,-300,400,19.4577274169,0.288121859017,0.316690092373
1440,-250,400,20.8592855296,0.500700863177,0.893967567548
1449,-1100,400,4.43824175251,0.326551635284,0.630290593847
1448,-950,400,5.43099583843,0.220202325121,0.266279510833
1472,-1200,600,5.79954762536,0.12728529425,0.106544504565
1473,-1600,600,3.88972897966,0.0840552224302,0.0517474498021
1470,-800,600,10.3632097857,0.240133155387,0.406823581592
1471,-1000,600,7.63427309181,0.192449715179,0.224842526846
1476,400,600,14.7988935333,0.183614665866,0.136983577091
1477,600,600,10.8823179206,0.228308472755,0.22623045846
1474,100,600,22.0556325996,0.422510499449,0.701641871521
1475,200,600,19.9465933087,0.309498433987,0.399233819677
1478,800,600,8.20008559077,0.182622601493,0.221059420917
1479,1200,600,5.20659276789,0.205081330306,0.308011393236
