Folder,Offset,SLP,Dly,Int,Int_err,nInt,nInt_err
1400,0,150,0.0,1.0,0.0101946697083,1.0,0.0101946697083
1400,0,150,0.007,0.8038,0.0101946697083,0.8038,0.0126830924463
1400,0,150,0.014,0.6487,0.0101946697083,0.6487,0.0157155383202
1400,0,150,0.021,0.5245,0.0101946697083,0.5245,0.0194369298538
1400,0,150,0.028,0.4356,0.0101946697083,0.4356,0.0234037412955
1400,0,150,0.035,0.3378,0.0101946697083,0.3378,0.0301796024521
1400,0,150,0.042,0.2756,0.0101946697083,0.2756,0.0369908189707
1401,0,200,0.0,1.0,0.0107069260797,1.0,0.0107069260797
1401,0,200,0.007,0.8023,0.0107069260797,0.8023,0.0133452898912
1401,0,200,0.014,0.6466,0.0107069260797,0.6466,0.0165588092789
1401,0,200,0.021,0.5258,0.0107069260797,0.5258,0.0203631154046
1401,0,200,0.028,0.4229,0.0107069260797,0.4229,0.0253178672966
1401,0,200,0.035,0.3418,0.0107069260797,0.3418,0.0313251201864
1401,0,200,0.042,0.2747,0.0107069260797,0.2747,0.0389767967955
1402,0,250,0.0,1.0,0.0107868493246,1.0,0.0107868493246
1402,0,250,0.007,0.7994,0.0107868493246,0.7994,0.0134936819172
1402,0,250,0.014,0.6493,0.0107868493246,0.6493,0.0166130437773
1402,0,250,0.021,0.5285,0.0107868493246,0.5285,0.0204103109264
1402,0,250,0.028,0.4276,0.0107868493246,0.4276,0.0252264951465
1402,0,250,0.035,0.3418,0.0107868493246,0.3418,0.0315589506279
1402,0,250,0.042,0.2786,0.0107868493246,0.2786,0.0387180521343
1403,0,300,0.0,1.0,0.00921582652924,1.0,0.00921582652924
1403,0,300,0.007,0.8,0.00921582652924,0.8,0.0115197831616
1403,0,300,0.014,0.6478,0.00921582652924,0.6478,0.0142263453678
1403,0,300,0.021,0.5183,0.00921582652924,0.5183,0.0177808731029
1403,0,300,0.028,0.4211,0.00921582652924,0.4211,0.0218851259303
1403,0,300,0.035,0.3445,0.00921582652924,0.3445,0.02675131068
1403,0,300,0.042,0.2817,0.00921582652924,0.2817,0.0327150391524
1404,0,400,0.0,1.0,0.00819422432368,1.0,0.00819422432368
1404,0,400,0.007,0.814,0.00819422432368,0.814,0.0100666146483
1404,0,400,0.014,0.6535,0.00819422432368,0.6535,0.0125389813675
1404,0,400,0.021,0.5336,0.00819422432368,0.5336,0.0153564923607
1404,0,400,0.028,0.4364,0.00819422432368,0.4364,0.0187768660029
1404,0,400,0.035,0.3549,0.00819422432368,0.3549,0.0230888259332
1404,0,400,0.042,0.2932,0.00819422432368,0.2932,0.0279475590849
1405,0,500,0.0,1.0,0.00875864826728,1.0,0.00875864826728
1405,0,500,0.007,0.7979,0.00875864826728,0.7979,0.010977125288
1405,0,500,0.014,0.648,0.00875864826728,0.648,0.0135164325112
1405,0,500,0.021,0.5306,0.00875864826728,0.5306,0.0165070642052
1405,0,500,0.028,0.4353,0.00875864826728,0.4353,0.0201209470877
1405,0,500,0.035,0.3551,0.00875864826728,0.3551,0.0246653006682
1405,0,500,0.042,0.2902,0.00875864826728,0.2902,0.0301814206316
1406,0,600,0.0,1.0,0.00881458554414,1.0,0.00881458554414
1406,0,600,0.007,0.8025,0.00881458554414,0.8025,0.0109839072201
1406,0,600,0.014,0.6575,0.00881458554414,0.6575,0.0134062137553
1406,0,600,0.021,0.5436,0.00881458554414,0.5436,0.0162152051952
1406,0,600,0.028,0.4431,0.00881458554414,0.4431,0.0198929937805
1406,0,600,0.035,0.3589,0.00881458554414,0.3589,0.0245600043024
1406,0,600,0.042,0.2915,0.00881458554414,0.2915,0.0302387154173
1407,0,700,0.0,1.0,0.00842603111831,1.0,0.00842603111831
1407,0,700,0.007,0.8065,0.00842603111831,0.8065,0.0104476517276
1407,0,700,0.014,0.6508,0.00842603111831,0.6508,0.0129471897946
1407,0,700,0.021,0.5399,0.00842603111831,0.5399,0.0156066514508
1407,0,700,0.028,0.4355,0.00842603111831,0.4355,0.0193479474588
1407,0,700,0.035,0.3574,0.00842603111831,0.3574,0.0235759124743
1407,0,700,0.042,0.2953,0.00842603111831,0.2953,0.0285337999265
1408,0,900,0.0,1.0,0.00892717475616,1.0,0.00892717475616
1408,0,900,0.007,0.8102,0.00892717475616,0.8102,0.0110184827896
1408,0,900,0.014,0.6574,0.00892717475616,0.6574,0.0135795174265
1408,0,900,0.021,0.5431,0.00892717475616,0.5431,0.016437442011
1408,0,900,0.028,0.4473,0.00892717475616,0.4473,0.0199579136064
1408,0,900,0.035,0.3671,0.00892717475616,0.3671,0.0243181006705
1408,0,900,0.042,0.2994,0.00892717475616,0.2994,0.0298168829531
