Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-600,600,17.8661107899,0.939877165156,1.16545415059
1468,-500,600,21.6070470764,0.580422039977,0.445013157932
1465,-300,600,28.5562818657,1.03757352698,1.25780944379
1464,-250,600,29.697591044,0.595386355452,0.568730669698
1467,-400,600,24.2945847672,0.499077418572,0.266997819514
1466,-350,600,26.3996887467,0.581299990157,0.336329425714
1461,-150,600,32.7164326812,0.350583652758,0.110644087243
1460,-100,600,33.3736315845,0.451709097748,0.388577149916
1463,-200,600,31.4166767245,0.57443221691,0.262873883398
1462,-200,600,30.7493098442,0.863962540409,0.719727448443
1490,-1400,1000,11.4595872246,0.453612405331,0.369874583848
1491,-2000,1000,7.47092484739,0.303229095417,0.426281026965
1492,100,1000,31.0507766326,0.732831703174,0.481949011792
1493,400,1000,25.263587494,0.553237165829,0.368210172561
1494,700,1000,20.0566120296,0.350686988371,0.183684933897
1495,1000,1000,14.9870204253,0.165786569801,0.0465800981976
1496,1600,1000,8.5513895918,0.501056072385,0.674251867892
1497,2200,1000,6.19633140347,0.693682258117,1.12564138959
1418,-200,200,21.1048772899,0.503250608567,0.267510288525
1419,-200,200,20.5782770276,0.89430123101,1.32743633172
1410,0,1200,30.7658113641,0.930034106427,0.784203080171
1411,0,1400,31.2072143654,0.912526564213,0.913338133833
1412,0,1600,29.9091724576,0.339621848683,0.126135858733
1413,0,2000,30.0707311668,0.679607905896,0.542956816329
1414,0,2500,30.265037863,0.721307708015,0.337393781907
1415,-50,200,36.528698415,0.640713619629,0.255953677677
1416,-100,200,32.1024112213,0.588679199045,0.424615776772
1417,-150,200,25.5763499651,0.558519494801,0.486231123944
1483,-200,1000,30.3619691584,0.48703972328,0.215362831802
1482,-150,1000,30.5892387319,0.730263162585,0.410494114223
1481,-50,1000,31.7117809606,0.226940759838,0.0533073560335
1480,1600,600,4.87159844265,0.319617322259,0.192294581704
1487,-500,1000,25.5621017622,0.654220672898,0.504138264184
1486,-350,1000,28.2222658187,0.46158231141,0.213895729385
1485,-250,1000,29.0505204946,0.34315660929,0.132358632545
1484,-200,1000,30.7401898217,0.768678014228,0.56093709274
1489,-1100,1000,14.1796862377,0.533466806186,0.414472529935
1488,-800,1000,20.083709565,0.757505224648,0.716461760105
1409,0,1000,30.4754253003,0.481253946848,0.238846281494
1408,0,900,31.5316938659,0.833718642531,0.471907031911
1403,0,300,36.6467140893,0.692094098618,0.420001564703
1402,0,250,37.0026564915,0.908439093717,0.694013712684
1401,0,200,38.1415750017,0.897149067629,0.530589411777
1400,0,150,37.9228592695,0.779340761154,0.51312412383
1407,0,700,32.5540168243,0.508125773668,0.391835095688
1406,0,600,33.4373656997,0.499885104056,0.197080687757
1405,0,500,33.0929473538,0.722668713431,0.508635839118
1404,0,400,35.5117257761,0.684852717256,0.571250458427
1436,-100,400,33.9697136256,0.642141888682,0.291913471679
1437,-150,400,32.4558720871,0.462119998205,0.281400812211
1434,600,200,4.50284967792,0.22285679378,0.172964390426
1435,-50,400,35.1568197218,0.701041640414,0.289824092296
1432,300,200,10.0376467736,0.51370499989,0.666525577712
1433,400,200,7.71732912635,0.535016496405,0.557381362396
1430,150,200,22.1697708677,0.272455773466,0.122489569123
1431,200,200,17.8560807205,0.180483234117,0.055398495143
1438,-200,400,29.2865466879,0.631878756632,0.490305657314
1439,-200,400,30.2705449632,0.746136301351,0.530862186543
1421,-300,200,14.1855461174,0.870299963994,1.44831862739
1420,-250,200,17.0386378677,0.420841633748,0.208569854805
1423,-400,200,10.6261689043,0.540104639125,0.572932246882
1422,-350,200,12.6828857297,0.458016721026,0.416062486742
1425,-500,200,7.90499706885,0.675910099233,0.750918397954
1424,-450,200,9.12827917014,0.44354518017,0.39676167652
1427,-600,200,7.15503482318,0.49865926186,0.517527098184
1426,-550,200,7.14936004037,0.538107986225,0.731612712718
1429,100,200,29.0585625156,0.859726433017,0.747003383424
1428,50,200,35.0069311622,0.499056805492,0.238752533201
1454,550,400,11.2803299614,0.462937010623,0.273725362453
1455,700,400,8.53347183269,0.385632270921,0.271668822104
1456,850,400,6.03593727742,0.314931051342,0.232967307589
1457,1000,400,5.14209331139,0.391915999784,0.478479910544
1450,50,400,32.9963819542,0.587784235633,0.457098447931
1451,100,400,31.9034587112,1.21311120296,1.14727993488
1452,250,400,24.4455620096,0.432874095526,0.295569122861
1453,400,400,16.6245105776,0.446414351692,0.586358364908
1458,1200,400,4.76756608632,0.283384594903,0.25553613229
1459,-50,600,33.3305216837,0.978020733283,0.563315380531
1447,-800,400,7.86468350075,0.402208000306,0.216892466638
1446,-650,400,11.6718417374,0.442672734706,0.355965498065
1445,-500,400,16.6474533963,0.335325606486,0.165106225241
1444,-450,400,17.7761504878,0.161002388184,0.0879067792401
1443,-400,400,19.9675457508,0.539048935516,0.50619747368
1442,-350,400,22.6290848888,0.48310420909,0.245253334141
1441,-300,400,24.9329274247,0.49214985503,0.350917380406
1440,-250,400,27.3925858878,0.708978004841,0.868204664124
1449,-1100,400,4.74327994074,0.485956955945,0.418984510661
1448,-950,400,6.24523567761,0.52789773125,1.00232354167
1472,-1200,600,7.59717641212,0.306734437992,0.291139141384
1473,-1600,600,4.66467352594,0.38848237616,0.314346409166
1470,-800,600,13.392403326,0.417625279829,0.347717371472
1471,-1000,600,9.65165963252,0.565098378808,0.578818599765
1476,400,600,22.1325695817,0.595982797389,0.414853065634
1477,600,600,15.9118706034,0.618009950539,0.591655175518
1474,100,600,31.8364499495,0.783537182348,0.378183386917
1475,200,600,28.5500871942,0.418675762223,0.209977933911
1478,800,600,11.447142593,0.371956626062,0.348937091103
1479,1200,600,7.30165421583,0.28525301478,0.144446703586
