Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-600,600,17.8797565766,0.688683084561,1.16578438178
1468,-500,600,21.5846786172,0.499906839567,0.445731359914
1465,-300,600,28.5356693843,0.862857014759,1.25940308924
1464,-250,600,29.8723027625,0.578205057392,0.579600011681
1467,-400,600,24.3120953618,0.386206230574,0.267106914571
1466,-350,600,26.4634767206,0.415178023049,0.337972813289
1461,-150,600,32.7558880094,0.272734623851,0.111129542068
1460,-100,600,33.3483117501,0.496560962613,0.390838750929
1463,-200,600,31.4048699075,0.431981044109,0.262980427036
1462,-200,600,30.7923361038,0.70637891106,0.720484705476
1490,-1400,1000,11.5055842504,0.369552486175,0.378480599461
1491,-2000,1000,7.418757261,0.327160696419,0.429261903036
1492,100,1000,31.1435841078,0.579310207343,0.491479706006
1493,400,1000,25.3197715483,0.470544220546,0.370514748378
1494,700,1000,20.0714225097,0.271638932211,0.183808172449
1495,1000,1000,14.9392677606,0.134616441203,0.0509950986384
1496,1600,1000,8.60769330387,0.439538516984,0.676479608625
1497,2200,1000,6.0997326453,0.565243129304,1.133471077
1418,-200,200,21.0920339302,0.397353649194,0.268276772581
1419,-200,200,20.559421104,0.773665971327,1.32759662407
1410,0,1200,30.6812457686,0.704864264982,0.78643946172
1411,0,1400,31.2466992906,0.781199714886,0.915096354912
1412,0,1600,29.9288405732,0.302175860781,0.131308690755
1413,0,2000,30.1442188897,0.586491236324,0.548923226906
1414,0,2500,30.4622415869,0.550381816702,0.346770911903
1415,-50,200,36.6336680197,0.494450795912,0.259072145236
1416,-100,200,32.0467092849,0.553255652281,0.425477473296
1417,-150,200,25.623703049,0.472430803848,0.487239883697
1483,-200,1000,30.3684802445,0.397812188384,0.216971841153
1482,-150,1000,30.6985758489,0.532040715909,0.414313955313
1481,-50,1000,31.6961889103,0.201838058685,0.0535375030235
1480,1600,600,4.94823296011,0.262388575083,0.19557857492
1487,-500,1000,25.5463800657,0.543692842157,0.50444408637
1486,-350,1000,28.2003800092,0.376775749777,0.217685711124
1485,-250,1000,29.2008240072,0.325935690805,0.138244063422
1484,-200,1000,30.6807062836,0.646428250634,0.562042101377
1489,-1100,1000,14.1033399639,0.436298966955,0.417065834641
1488,-800,1000,20.0337297696,0.625351485249,0.717769312359
1409,0,1000,30.590641323,0.406426879623,0.24623696155
1408,0,900,31.5716341329,0.605210279243,0.472985185376
1403,0,300,36.6659896572,0.601621237287,0.420172350193
1402,0,250,36.8664052026,0.699788264585,0.700663764013
1401,0,200,38.1461768671,0.736126728713,0.530662090143
1400,0,150,37.8637384493,0.734163268263,0.513802110581
1407,0,700,32.5129171346,0.508807956786,0.392364263941
1406,0,600,33.4442179092,0.401570762247,0.19736287966
1405,0,500,33.1333386389,0.58214156265,0.509260015146
1404,0,400,35.540674829,0.579488738571,0.571651343047
1436,-100,400,34.0699388888,0.511501631102,0.297153839678
1437,-150,400,32.464005177,0.424765797063,0.283252870495
1434,600,200,4.48086055174,0.218519272561,0.173633417623
1435,-50,400,35.2190325297,0.501219763817,0.294534400645
1432,300,200,10.0356815405,0.464819621812,0.669983691226
1433,400,200,7.79198729717,0.397073854607,0.5747167883
1430,150,200,22.1825308355,0.240763017668,0.123581457593
1431,200,200,17.9069499108,0.159449995306,0.0580754971374
1438,-200,400,29.3174163657,0.63763982512,0.490565743489
1439,-200,400,30.3191255914,0.604425151523,0.532886422216
1421,-300,200,14.1937146482,0.7278909502,1.4492840482
1420,-250,200,17.0629872315,0.331195551058,0.209186959064
1423,-400,200,10.6720818935,0.484353288479,0.574656046874
1422,-350,200,12.6617117567,0.408516254494,0.41841719457
1425,-500,200,7.77653526885,0.573219577114,0.759973005666
1424,-450,200,9.13719662972,0.349636505736,0.397559680098
1427,-600,200,7.20994752642,0.464720414642,0.521215186053
1426,-550,200,7.14429433482,0.431756436019,0.732061471772
1429,100,200,29.0190431861,0.662464527061,0.748335800848
1428,50,200,35.0196026573,0.445052590242,0.241222443367
1454,550,400,11.2794562568,0.328840563526,0.274097014291
1455,700,400,8.53010105899,0.299162222014,0.271845585847
1456,850,400,6.09621146035,0.271580871286,0.238515678226
1457,1000,400,5.08634025889,0.370117328883,0.480833995628
1450,50,400,33.0645849646,0.53321462753,0.458979098193
1451,100,400,31.8487938235,0.928174469952,1.14808622991
1452,250,400,24.5672805206,0.414100471693,0.30165424429
1453,400,400,16.6116232888,0.486220985291,0.587459347336
1458,1200,400,4.73231555874,0.252911830118,0.25749463569
1459,-50,600,33.346218431,0.662531518262,0.563409791233
1447,-800,400,7.88202492607,0.300928879369,0.218146168451
1446,-650,400,11.7422941825,0.389383577204,0.363872854745
1445,-500,400,16.6082457661,0.241883573463,0.167540700186
1444,-450,400,17.7474690281,0.176595862496,0.0892971378239
1443,-400,400,19.9408481882,0.469557427803,0.506657682537
1442,-350,400,22.635829587,0.377166127697,0.245762254903
1441,-300,400,25.0106357863,0.384364777616,0.353798547738
1440,-250,400,27.4189194244,0.722898789663,0.872299784386
1449,-1100,400,4.70539169583,0.340234284085,0.430799897298
1448,-950,400,6.14659733475,0.486980154933,1.01058159042
1472,-1200,600,7.58081192268,0.322874891281,0.291291509904
1473,-1600,600,4.66520099451,0.305039083634,0.317894815162
1470,-800,600,13.3466392704,0.373973373763,0.348773798549
1471,-1000,600,9.69033739827,0.469319564961,0.579606943359
1476,400,600,22.0667573816,0.487398669881,0.419537536138
1477,600,600,15.9289782392,0.483586182912,0.59190393579
1474,100,600,31.7073417111,0.581795204065,0.381995441199
1475,200,600,28.4393308872,0.341580822973,0.215231508647
1478,800,600,11.4744999316,0.357556360946,0.349347917957
1479,1200,600,7.32403463598,0.26185880379,0.144796120771
