offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-2.400000000000000000e+03,2.000000000000000000e+02,1.535117765138499069e+00,0.000000000000000000e+00,1.960132394508232778e+01,0.000000000000000000e+00,9.999973979114819000e-01
-2.375879396984924824e+03,2.000000000000000000e+02,1.537908049330369620e+00,0.000000000000000000e+00,1.963656433787289757e+01,0.000000000000000000e+00,9.999972864403088302e-01
-2.351758793969849194e+03,2.000000000000000000e+02,1.540795688459981383e+00,0.000000000000000000e+00,1.967310363349858449e+01,0.000000000000000000e+00,9.999971729765504413e-01
-2.327638190954774018e+03,2.000000000000000000e+02,1.543785364777700675e+00,0.000000000000000000e+00,1.971100008983663088e+01,0.000000000000000000e+00,9.999970522444975307e-01
-2.303517587939698387e+03,2.000000000000000000e+02,1.546882092398324637e+00,0.000000000000000000e+00,1.975032100880932262e+01,0.000000000000000000e+00,9.999969250378127894e-01
-2.279396984924623212e+03,2.000000000000000000e+02,1.550091195979099723e+00,0.000000000000000000e+00,1.979113672195057916e+01,0.000000000000000000e+00,9.999967911521172592e-01
-2.255276381909547581e+03,2.000000000000000000e+02,1.553418341007986925e+00,0.000000000000000000e+00,1.983352168481232525e+01,0.000000000000000000e+00,9.999966502669367374e-01
-2.231155778894472405e+03,2.000000000000000000e+02,1.556869561252923750e+00,0.000000000000000000e+00,1.987755485907135267e+01,0.000000000000000000e+00,9.999965020487304734e-01
-2.207035175879396775e+03,2.000000000000000000e+02,1.560451285469723226e+00,0.000000000000000000e+00,1.992331971156400527e+01,0.000000000000000000e+00,9.999963458430463081e-01
-2.182914572864321599e+03,2.000000000000000000e+02,1.564170321416877618e+00,0.000000000000000000e+00,1.997089882117998627e+01,0.000000000000000000e+00,9.999961725382278122e-01
-2.158793969849246423e+03,2.000000000000000000e+02,1.568034139333901900e+00,0.000000000000000000e+00,2.002040409911387542e+01,0.000000000000000000e+00,9.999960047795677376e-01
-2.134673366834170793e+03,2.000000000000000000e+02,1.572050444666329927e+00,0.000000000000000000e+00,2.007192109058456708e+01,0.000000000000000000e+00,9.999958227042226033e-01
-2.110552763819095617e+03,2.000000000000000000e+02,1.576227639133001457e+00,0.000000000000000000e+00,2.012555994328027964e+01,0.000000000000000000e+00,9.999956302364666483e-01
-2.086432160804019986e+03,2.000000000000000000e+02,1.580574689886197648e+00,0.000000000000000000e+00,2.018143446794675810e+01,0.000000000000000000e+00,9.999954271732021116e-01
-2.062311557788944810e+03,2.000000000000000000e+02,1.585101204630741778e+00,0.000000000000000000e+00,2.023966557198210126e+01,0.000000000000000000e+00,9.999952130175845388e-01
-2.038190954773869407e+03,2.000000000000000000e+02,1.589817489157280495e+00,0.000000000000000000e+00,2.030038198132257321e+01,0.000000000000000000e+00,9.999949872258584449e-01
-2.014070351758794004e+03,2.000000000000000000e+02,1.594734608727230718e+00,0.000000000000000000e+00,2.036372079277049352e+01,0.000000000000000000e+00,9.999947492156235906e-01
-1.989949748743718601e+03,2.000000000000000000e+02,1.599864327973934408e+00,0.000000000000000000e+00,2.042981529358115722e+01,0.000000000000000000e+00,9.999944752423541861e-01
-1.965829145728643198e+03,2.000000000000000000e+02,1.605219785229867968e+00,0.000000000000000000e+00,2.049885566147588634e+01,0.000000000000000000e+00,9.999942266979114924e-01
-1.941708542713567795e+03,2.000000000000000000e+02,1.610814467815786744e+00,0.000000000000000000e+00,2.057097859307603471e+01,0.000000000000000000e+00,9.999939483916822081e-01
-1.917587939698492391e+03,2.000000000000000000e+02,1.616663304449887040e+00,0.000000000000000000e+00,2.064636858105535566e+01,0.000000000000000000e+00,9.999936533268150018e-01
-1.893467336683416988e+03,2.000000000000000000e+02,1.622782339457547129e+00,0.000000000000000000e+00,2.072521574855399251e+01,0.000000000000000000e+00,9.999933417112216727e-01
-1.869346733668341585e+03,2.000000000000000000e+02,1.629188903279899625e+00,0.000000000000000000e+00,2.080772260159912435e+01,0.000000000000000000e+00,9.999930129195506723e-01
