offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
3.700000000000000000e+03,1.000000000000000000e+02,-2.118913353597145033e+01,-2.118913353597145033e+01,-2.196152133764427617e+03,-2.196152133764427617e+03,-2.506941907886259369e+00,-2.179454411491304199e+03,-2.019999159863300520e+01,-2.019999159863300520e+01,-2.506914802730354275e+00
3.662814070351758801e+03,1.000000000000000000e+02,-2.118899568246251874e+01,-2.118899568246251874e+01,-2.196151939043680159e+03,-2.196151939043680159e+03,-2.507206720859317617e+00,-2.179454811826859441e+03,-2.019985977381020348e+01,-2.019985977381020348e+01,-2.507178452377038624e+00
3.625628140703517602e+03,1.000000000000000000e+02,-2.118885355903921663e+01,-2.118885355903921663e+01,-2.196151737363604298e+03,-2.196151737363604298e+03,-2.507479743149315432e+00,-2.179455226411561398e+03,-2.019972387618781795e+01,-2.019972387618781795e+01,-2.507450247622954098e+00
3.588442211055276402e+03,1.000000000000000000e+02,-2.118870698758200888e+01,-2.118870698758200888e+01,-2.196151528388744282e+03,-2.196151528388744282e+03,-2.507761317956858083e+00,-2.179455655929388286e+03,-2.019958373629015114e+01,-2.019958373629015114e+01,-2.507730527418154942e+00
3.551256281407035203e+03,1.000000000000000000e+02,-2.118855578056718514e+01,-2.118855578056718514e+01,-2.196151311763198009e+03,-2.196151311763198009e+03,-2.508051806635398062e+00,-2.179456101105832204e+03,-2.019943917573937142e+01,-2.019943917573937142e+01,-2.508019648523352796e+00
3.514070351758794004e+03,1.000000000000000000e+02,-2.118839974048432850e+01,-2.118839974048432850e+01,-2.196151087109109085e+03,-2.196151087109109085e+03,-2.508351589844982410e+00,-2.179456562710961862e+03,-2.019929000667752916e+01,-2.019929000667752916e+01,-2.508317986644580611e+00
3.476884422110552805e+03,1.000000000000000000e+02,-2.118823865921285687e+01,-2.118823865921285687e+01,-2.196150854024997898e+03,-2.196150854024997898e+03,-2.508661068814002970e+00,-2.179457041562750874e+03,-2.019913603117356615e+01,-2.019913603117356615e+01,-2.508625937653075511e+00
3.439698492462311606e+03,1.000000000000000000e+02,-2.118807231730170315e+01,-2.118807231730170315e+01,-2.196150612084011755e+03,-2.196150612084011755e+03,-2.508980666683447769e+00,-2.179457538530693910e+03,-2.019897704054983478e+01,-2.019897704054983478e+01,-2.508943918897771574e+00
3.402512562814070407e+03,1.000000000000000000e+02,-2.118790048321079666e+01,-2.118790048321079666e+01,-2.196150360831929447e+03,-2.196150360831929447e+03,-2.509310829968409262e+00,-2.179458054539753903e+03,-2.019881281469042733e+01,-2.019881281469042733e+01,-2.509272370618524928e+00
3.365326633165829207e+03,1.000000000000000000e+02,-2.118772291255800155e+01,-2.118772291255800155e+01,-2.196150099785054408e+03,-2.196150099785054408e+03,-2.509652030119041033e+00,-2.179458590574650771e+03,-2.019864312126719597e+01,-2.019864312126719597e+01,-2.509611757468981796e+00
3.328140703517588008e+03,1.000000000000000000e+02,-2.118753934720416510e+01,-2.118753934720416510e+01,-2.196149828427905504e+03,-2.196149828427905504e+03,-2.510004765220299472e+00,-2.179459147684564869e+03,-2.019846771492029802e+01,-2.019846771492029802e+01,-2.509962570158954520e+00
3.290954773869346809e+03,1.000000000000000000e+02,-2.118734951431724767e+01,-2.118734951431724767e+01,-2.196149546210643621e+03,-2.196149546210643621e+03,-2.510369561814401074e+00,-2.179459726988254715e+03,-2.019828633638553583e+01,-2.019828633638553583e+01,-2.510325327227085346e+00
3.253768844221105610e+03,1.000000000000000000e+02,-2.118715312539598017e+01,-2.118715312539598017e+01,-2.196149252546324533e+03,-2.196149252546324533e+03,-2.510746976886424786e+00,-2.179460329679674487e+03,-2.019809871152210690e+01,-2.019809871152210690e+01,-2.510700576955808838e+00
